words,tfidf,pos,freq
海岸線,1.0448510338907018,Na,3
寶石,0.7715378870524128,Na,2
濱海,0.7625744782144853,VH,1
環島,0.7071067811865476,VA,1
朝聖,0.7071067811865476,VA,1
台東,0.5962262298906964,Nc,2
車速,0.5823108975406641,Na,2
騎車,0.5015148867883528,VA,2
南迴海天,0.4476926934510274,Na,1
風箏,0.4472135954999579,Na,1
谷歌,0.4472135954999579,Nb,1
拍照,0.4438140960745129,VB,1
南迴公路,0.43996435093951686,Nc,2
南迴線,0.41414316237627224,Na,1
金崙大橋,0.41414316237627224,Nc,1
海岸,0.3857689435262064,Nc,4
遼闊,0.3701170327354864,VH,1
花季,0.36828461634881876,Nd,2
多良,0.3556197758011987,Nb,1
海天一線,0.32524469503283704,Na,2
紅門,0.32524469503283704,Nc,2
海景,0.31599543311451556,Na,2
天海,0.2986624120270104,Nb,1
山脈,0.2780945685835749,Na,1
晨曦,0.2780945685835749,Na,1
一望無際,0.2780945685835749,VH,1
日出,0.2780945685835749,VA,1
快感,0.2688948539253203,Na,1
文化,0.18414230817440938,Na,1
金峰鄉,0.18414230817440938,Nc,1
達仁鄉,0.18414230817440938,Nc,1
花東,0.18414230817440938,Nc,1
海鮮,0.18414230817440938,Na,1
洛神,0.18414230817440938,Nb,1
自然,0.18414230817440938,VH,1
排灣,0.18414230817440938,Nb,1
太麻里鄉,0.18414230817440938,Nc,1
大武鄉,0.18414230817440938,Nc,1
原始,0.18414230817440938,VH,1
傳統,0.18414230817440938,VH,1
一體,0.16262234751641852,Na,1
拍攝點,0.16262234751641852,Na,1
死角,0.16262234751641852,Nc,1
