words,tfidf,pos,freq
雲南,1.3672868736054178,Nc,5
眷村,1.2570673436522362,Nc,7
滇緬,1.2073998384745608,Nc,3
世外桃源,1.0,Na,1
村莊,0.7663073538630414,Nc,3
新村,0.7211928039936382,Nc,4
遼闊,0.7071067811865476,VH,1
度假,0.6671884793341238,VA,1
異域,0.6598380228251102,Nc,3
餐館,0.6299288986752345,Nc,3
佧佤山,0.567411476223928,Nc,2
悠閒,0.5241454445849416,VH,2
農場,0.4885862991745724,Nc,3
胃口,0.43437293402990695,Na,1
村落,0.40195971326198165,Na,1
拍照,0.3862195646364092,VB,1
山景,0.3635295475323613,Na,2
露營區,0.3591649407942953,Nc,2
清幽,0.35891917532552164,VH,1
文化,0.3581019533034492,Na,1
境地,0.3535533905932738,Na,1
清新,0.3535533905932738,VH,1
背包客,0.34960698723201233,Na,2
村口,0.34213139072144944,Nc,1
落日,0.34213139072144944,Na,1
松崗,0.34213139072144944,Nb,1
夜色,0.34213139072144944,Na,1
擺夷,0.30406107338251076,Nb,1
清境山,0.30406107338251076,Nc,1
時空,0.26726124191242434,Na,1
里程,0.26726124191242434,Na,1
散步,0.2333850275659408,VA,1
博望新村,0.2333850275659408,Nb,1
雞油,0.2333850275659408,Na,1
日本,0.22054530285569313,Nc,1
晚餐,0.22054530285569313,Na,1
優勢,0.21530503853508634,Na,1
巴士站,0.21530503853508634,Nc,1
張學友,0.20404078214124904,Nb,1
花田,0.20404078214124904,Na,1
梯田,0.20404078214124904,Na,1
商店,0.20404078214124904,Nc,1
壯觀,0.20404078214124904,VH,1
農莊,0.20404078214124904,Nc,1
歐風,0.20002680561475264,Na,1
清靜,0.20002680561475264,VH,1
攤販,0.1977992141288021,Na,1
水蜜桃,0.1977992141288021,Na,1
土雞城,0.18828873942696958,Nc,1
武嶺,0.18828873942696958,Nb,1
淸境,0.18828873942696958,Na,1
旅舍,0.18362224070131433,Nc,1
雲海,0.18362224070131433,Na,1
