words,tfidf,pos,freq
山毛櫸,3.2315216334555608,Na,16
卡保山,2.224466317989534,Nb,20
山頂,1.5943180881218595,Nc,7
三角點,1.11585383140684,Nc,9
瀑布,1.017941795486447,Na,10
逐鹿山,0.9418471811840725,Nc,7
雲森,0.842327078101137,Nc,7
山徑,0.8329791596810996,Na,3
原始,0.7466497122356911,VH,2
雨靴,0.7071067811865475,Na,1
黃金永,0.6597168801211183,Nb,1
稜線,0.6236434546432592,Na,4
熊空,0.5794894157061089,Na,5
森林,0.5790208667033225,Na,4
葉蘭,0.5773502691896257,Na,2
百岳,0.531699929051055,Neu,1
標高,0.49618956209846216,Na,2
插曲,0.48035238630986493,Na,1
邵氏,0.48035238630986493,Nb,1
山林,0.47876322272062327,Nc,1
山勢,0.36770754113906623,Na,2
腳步,0.33954074284891744,Na,2
林道,0.3351554680131993,Na,1
蕭瑟,0.3351554680131993,Nb,1
天後,0.31902394191475614,Na,1
太平山,0.30019038354229494,Nc,1
陵線,0.29212450318077665,Na,1
金光,0.2890034054890312,Na,1
壯觀,0.2872986787799988,VH,1
橘紅色,0.2872986787799988,Na,1
果園,0.2652428266371228,Nc,1
烏來,0.25574499647382276,Nc,3
登山口,0.25574499647382276,Nc,2
葉片,0.23630470065488235,Na,1
路逕,0.23630470065488235,Na,1
山名,0.22300409646129948,Na,1
譯音,0.22300409646129948,Na,1
泰雅語,0.22300409646129948,Na,1
喀博山,0.22300409646129948,Nc,1
加母山,0.22300409646129948,Nc,1
岔路,0.20424705077768054,Na,2
o型,0.20093899510459634,Na,0
熊空站,0.20093899510459634,Nc,1
雙人,0.20093899510459634,Na,1
鹿山,0.20093899510459634,Nc,8
強雨,0.19106778777907185,Na,1
產道,0.19106778777907185,Na,1
鐘聲,0.19106778777907185,Na,1
山莊,0.19106778777907185,Nc,1
天山,0.19106778777907185,Nc,4
三峽,0.17936184687605453,Nc,2
保山,0.17936184687605453,Nc,21
路線圖,0.17936184687605453,Na,1
登山,0.17936184687605453,VA,3
森山,0.1631810799956535,Na,2
木炭,0.10212352538884027,Na,1
翠峰湖,0.10212352538884027,Nc,1
總距離,0.10212352538884027,Na,1
總落差,0.10212352538884027,Na,1
福山,0.10212352538884027,Nc,1
森氏,0.10212352538884027,Nb,1
杜鵑,0.10212352538884027,Na,1
啟登,0.10212352538884027,Nb,1
崩壁,0.10212352538884027,Na,1
岩壁,0.10212352538884027,Na,1
山景,0.10212352538884027,Na,1
古道,0.10212352538884027,Na,1
三星山,0.10212352538884027,Nc,1
一葉蘭,0.10212352538884027,Na,1
三峽區,0.08159053999782676,Nc,1
分界點,0.08159053999782676,Na,1
奇峰,0.08159053999782676,Na,1
山峰,0.08159053999782676,Na,1
新北市,0.08159053999782676,Nc,1
楓紅,0.08159053999782676,Na,1
烏來區,0.08159053999782676,Nc,1
金字塔型,0.08159053999782676,Na,1
雲層,0.08159053999782676,Na,1
