words,tfidf,pos,freq
古崗樓,2.6207318122350163,Nc,17
古崗湖,2.5674319720132575,Nc,14
古色古香,2.112705916651554,VH,4
金門,1.893414929064169,Nc,16
湖面,1.3952266165949134,Na,9
古蹟,1.1175903249773946,Na,4
古裝,1.1042375248177756,Na,5
拍照,1.0310679330309094,VB,5
散步,0.9291933707039761,VA,2
湖泊,0.9150974611384584,Na,4
悠閒,0.9078518218045284,VH,3
楓葉,0.8079024053892878,Na,1
時侯,0.7809121204798348,Na,2
歷史,0.6960735017573083,Na,2
湖光,0.6543736298448687,Na,3
滿水期,0.6500431298768015,Na,2
莊嚴,0.6466394491843649,VH,1
古崗,0.6391905933910902,Nc,34
拍攝,0.6030936732695565,VC,2
古岡湖,0.5800597761356108,Nc,1
湖畔,0.5508442868180539,Na,2
幽靜,0.5185530644841322,VH,1
天然,0.5102910221891618,A,2
快門,0.5,Na,1
自然,0.5,VH,1
寧靜,0.4808956946802059,VH,3
下午茶,0.47147499212770005,Na,3
坑道,0.4604631054609954,Na,2
翟山,0.4604631054609954,Nc,2
雜草叢生,0.4102565484383621,VH,1
古岡樓,0.40549347409358083,Nc,1
怪手,0.3822316607691119,Na,1
事蹟,0.37637247484866054,Na,1
胡璉,0.37637247484866054,Nb,1
拍照點,0.36551245279345157,Na,1
導覽,0.3640991009142983,VC,1
湖光山色,0.34342581614877765,Na,1
優點,0.3428574704455666,Na,2
污泥,0.3330162152976907,Na,1
清風,0.3330162152976907,Na,1
春色,0.32718681492243434,Na,1
感情,0.3238963843943204,Na,1
藝術,0.3238963843943204,Na,1
夜景,0.3238963843943204,Na,1
金門人,0.3094046857806475,Na,2
煙雨,0.3032262241335043,Na,1
浪漫,0.3032262241335043,VH,1
湖景,0.3032262241335043,Na,1
物外之趣,0.25294969394985073,Na,1
花園,0.25294969394985073,Nc,1
細雨,0.23148542956373833,Na,1
蒼殤,0.23148542956373833,Nb,1
樓台,0.23148542956373833,Na,1
實體,0.22929860285135512,Na,1
冰品,0.22929860285135512,Na,1
伴手禮,0.22929860285135512,Na,1
中國風,0.22929860285135512,Na,1
古人,0.21599379618881853,Na,1
黃昏,0.21599379618881853,Nd,1
戲水,0.21599379618881853,VA,1
青草地,0.21008280281099545,Nc,1
家鄉,0.21008280281099545,Nc,1
軍人,0.21008280281099545,Na,1
地下水,0.21008280281099545,Na,1
冰淇淋,0.19511371350775655,Na,1
孔雀,0.19511371350775655,Na,1
綠樹,0.19511371350775655,Na,1
蛋糕,0.19511371350775655,Na,1
水鴨,0.19511371350775655,Na,1
古老,0.19511371350775655,VH,1
中小學生,0.16913666685993872,Na,1
販售所,0.16913666685993872,Nc,1
釣魚,0.16535058363137697,VA,1
外公,0.16535058363137697,Na,1
舅舅,0.16535058363137697,Na,1
戰地,0.16461048168192,Nc,1
鷺鷥,0.16461048168192,Na,1
鮮奶,0.16461048168192,Na,1
馬屁樓,0.16461048168192,Nc,1
湖色,0.16461048168192,Na,1
淤沙,0.16461048168192,Na,1
品藏,0.16461048168192,Na,1
體驗,0.16461048168192,VC,1
清涼,0.13155432513304885,VH,2
消暑,0.13155432513304885,VA,2
環湖,0.13155432513304885,A,2
學會,0.13155432513304885,Nc,2
心胸,0.13155432513304885,Na,2
榕樹,0.13155432513304885,Na,2
阿偉,0.13155432513304885,Nb,2
珠山,0.10267106891519157,Nc,1
金門城,0.10267106891519157,Nc,1
重簷,0.10267106891519157,Na,1
迴廊,0.10267106891519157,Na,1
蹤跡,0.10267106891519157,Na,1
紅火蟻,0.10267106891519157,Na,1
壯觀,0.10267106891519157,VH,1
漢影,0.10267106891519157,Nc,1
歐厝,0.10267106891519157,Na,1
朱樑,0.10267106891519157,Nb,1
明魯王,0.10267106891519157,Nb,1
乳酪派,0.10267106891519157,Na,1
雲根碣,0.10267106891519157,Na,1
