words,tfidf,pos,freq
夜景,28.067182252681853,Na,140
夕陽,4.528376790290439,Na,18
約會,3.7264637865748544,VB,12
月老廟,2.6092206479261155,Nc,30
沙鹿,2.131453621252491,Nc,9
月老,2.082094906488592,Na,36
日落,1.7470947431893595,VA,4
騎車,1.5669149045661466,VA,9
視線,1.4181040244916998,Na,3
紅土,1.2027327400199366,Na,3
體驗,1.1019118031871922,VC,3
望高寮,1.1013052197739372,Nc,2
台中港,1.0872594009423189,Nc,5
醫生,1.0,Na,1
螢火蟲,1.0,Na,1
星空,0.8702544412615352,Na,2
遼闊,0.852016978251909,VH,3
車震,0.8309175927284862,Na,2
燈火,0.7852542104751489,Na,1
伴侶,0.7570484359706142,Na,1
賤葆,0.6609020300241027,Nb,1
眼睛,0.6221290412407284,Na,1
人煙稀少,0.5773502691896257,Na,1
涼爽,0.5773502691896257,VH,1
拍照,0.572726676340011,VB,2
至高點,0.5514474911372175,Na,1
梧棲,0.5491730632528461,Nc,3
龍井,0.5491730632528461,Nc,2
壯觀,0.5409171609456329,VH,1
廣角,0.5393622590746562,Na,1
社會,0.5272924500984111,Na,1
粽子,0.5248344426722438,Na,1
荒郊,0.5219172240732092,Nc,1
田野,0.5219172240732092,Nc,1
雲層,0.5179216276161505,Na,1
浪漫,0.5047734820477141,VH,2
過年,0.4835458403525202,VA,1
女友,0.481831288169011,Na,1
港口,0.4729468028599561,Nc,1
五指,0.46966876226245224,Na,2
俗人,0.4682586403767755,Na,1
摩天輪,0.4495110683556911,Na,2
夜車,0.4455824434002541,Na,1
看板,0.44509290096063003,Na,1
廣告,0.44509290096063003,Na,1
農地,0.4368908659279926,Na,1
鄉間,0.4368908659279926,Nc,1
休旅車,0.4253425504937412,Na,1
大度山,0.42497436553147566,Nc,1
低光害,0.41821513747105865,Na,1
路人,0.41821513747105865,Na,1
產業道路,0.4097204078917588,Na,2
流星雨,0.40629249030236525,Na,4
人身,0.3925808076869591,Na,1
摩托,0.38474781398956714,Nb,2
美光,0.37722799243013355,Nb,1
朝聖,0.37511897872396804,VA,1
花車,0.3661141278264004,Na,1
喇叭,0.3661141278264004,Na,1
札幌,0.364975700532946,Nc,1
廢物,0.3618538565711121,Na,1
台男,0.36105307818795646,Nb,1
碼表,0.36105307818795646,Na,1
觀察家,0.36105307818795646,Na,1
滷肉飯,0.35872202687752663,Na,1
金成武樹,0.35756600510594994,Nb,1
伯朗大道,0.35756600510594994,Nc,1
梧棲港,0.338998740026735,Nc,1
海風,0.32914648966681864,Na,1
陸橋,0.3278958793370809,Na,1
死角,0.3211212125923836,Nc,1
屁孩,0.3065848416281364,Na,1
商店,0.2958844935873553,Nc,1
排水溝,0.29408821396698037,Na,1
平台,0.2842719080590652,Na,1
黃昏,0.277149904165983,Nd,1
疲勞感,0.27529497067689046,Na,1
晚風,0.27529497067689046,Na,1
內行人,0.26985868066422175,Na,1
三井,0.26683942792782644,Nb,1
火力,0.26683942792782644,Na,1
發電廠,0.26683942792782644,Nc,1
國道三號,0.24934179325130731,Nc,1
高地,0.24540605219045075,Na,1
北風,0.24540605219045075,Na,1
身影,0.24540605219045075,Na,1
電線桿,0.23586393574986197,Na,1
邊邊,0.23586393574986197,Nc,1
車頭燈,0.2323445969950635,Na,1
愛人,0.2323445969950635,Na,1
車流量,0.22443078594733742,Na,1
outlet,0.21321394158588292,FW,1
成效,0.21321394158588292,Na,1
車燈,0.21321394158588292,Na,1
英仙座,0.20314624515118263,Nb,2
來源,0.19489791400846504,Na,1
信號,0.19489791400846504,Na,1
電信,0.19489791400846504,Na,1
海岸線,0.18730932502330733,Na,1
鹹鴨蛋,0.17640573857403505,Na,1
風險,0.1716446106302072,Na,2
交通安全,0.15432280730697098,Na,1
仙女棒,0.15432280730697098,Na,1
濕地,0.15432280730697098,Na,1
高美,0.15432280730697098,Nb,1
油門,0.14745510486097005,Na,1
破洞,0.14745510486097005,Na,1
白癡,0.14745510486097005,Na,1
腦袋,0.14745510486097005,Na,1
死路,0.14745510486097005,Na,1
光明燈,0.14745510486097005,Na,1
好朋友,0.14659892481725714,Na,1
錢財,0.14659892481725714,Na,1
爬山,0.12905730458326678,VA,1
主路,0.12905730458326678,Na,1
煙花,0.12905730458326678,Na,1
自行車,0.12905730458326678,Na,1
青少年,0.12905730458326678,Na,1
絕配,0.12409641291878762,Na,1
宵夜,0.12409641291878762,Na,1
夫妻,0.12409641291878762,Na,1
景觀星,0.10157312257559131,Na,1
月老祠,0.08695290032803504,Nc,3
交界處,0.057968600218690026,Nc,2
公園,0.057968600218690026,Nc,2
哲理,0.057968600218690026,Na,2
大肚山,0.057968600218690026,Nc,2
大雅,0.057968600218690026,Nc,3
部落,0.057968600218690026,Nc,2
眾人,0.028984300109345013,Na,1
權力,0.028984300109345013,Na,1
歷程,0.028984300109345013,Na,1
民族,0.028984300109345013,Na,1
沙鹿區,0.028984300109345013,Nc,1
泥土,0.028984300109345013,Na,1
泰戈爾,0.028984300109345013,Nb,1
賈思勰,0.028984300109345013,Nb,1
策略,0.028984300109345013,Na,1
老廟,0.028984300109345013,Nc,31
至善,0.028984300109345013,Na,1
華茲華斯,0.028984300109345013,Nb,1
教師,0.028984300109345013,Na,1
迫切性,0.028984300109345013,Na,1
鄉道,0.028984300109345013,Nc,1
朗費羅,0.028984300109345013,Nb,1
自然,0.028984300109345013,VH,1
房玄齡,0.028984300109345013,Na,1
愛情,0.028984300109345013,Na,1
思緒,0.028984300109345013,Na,1
後果,0.028984300109345013,Na,1
少兒,0.028984300109345013,Na,1
對策,0.028984300109345013,Na,1
姻緣,0.028984300109345013,Na,1
契可夫,0.028984300109345013,Nb,1
天性,0.028984300109345013,Na,1
大雅區,0.028984300109345013,Nc,1
大都會,0.028984300109345013,Nc,1
培根,0.028984300109345013,Na,1
吉他,0.028984300109345013,Na,1
原則,0.028984300109345013,Na,1
但丁,0.028984300109345013,Nb,1
魯藜,0.028984300109345013,Nb,1
