words,tfidf,pos,freq
鯨魚,1.7333889923142207,Na,8
鹽田,1.1730042458193013,Nc,7
鯨豚,1.1509499665072123,Na,9
布氏鯨,1.0983825073878437,Na,4
鯨豚館,1.031836253006446,Nc,3
生態,0.767596138912761,Na,5
生態園區,0.691853171054391,Na,1
協會,0.6584876337087601,Nc,2
懷舊風,0.6388719873235331,Na,1
生殖器,0.45191740482497833,Na,1
海豚,0.42025072717404366,Na,2
展廳,0.418134463027893,Nc,1
台江,0.40856679381890326,Nb,2
救護站,0.3534502776522554,Nc,2
抹香鯨,0.34720077520656134,Na,2
海龜,0.339479979716765,Na,1
愛心,0.339479979716765,Na,1
歷史,0.3372553415119249,Na,2
北門,0.3301000681297326,Nc,2
骨骼,0.30923440622754816,Na,1
要地,0.30591232617445313,Nc,1
學術,0.30591232617445313,Na,1
留言,0.2958434710823974,Na,1
平房,0.28198366890112064,Na,1
文化村,0.28198366890112064,Nc,1
日式,0.28198366890112064,A,1
展覽,0.2594057133798839,VC,1
安平,0.2594057133798839,Nc,1
椅凳,0.2594057133798839,Na,1
壯觀,0.24948386285900745,VH,1
野鳥館,0.24948386285900745,Nc,1
骨骸,0.24948386285900745,Na,1
文化區,0.20428339690945163,Nc,1
生態館,0.20428339690945163,Nc,1
巨型,0.20428339690945163,Na,1
壁癌,0.18468665770560247,Na,1
說法,0.18468665770560247,Na,1
藥水,0.17755603466597727,Na,1
長期,0.17755603466597727,Na,1
專家,0.1767251388261277,Na,1
文化,0.1647940851156888,Na,3
西門路,0.1647940851156888,Nc,1
鯨屍,0.1647940851156888,Na,1
郊遊,0.1519371280443285,VA,1
紀念品,0.1519371280443285,Na,1
