words,tfidf,pos,freq
步道,10.748050842214248,Na,119
山毛櫸,9.220194174213484,Na,106
森林,2.079883283136686,Na,11
太平山,1.6655030007158675,Nc,13
清新,1.5429004233948507,VH,3
幽靜,1.3961357680256368,VH,4
帝雉,1.2631338660843534,Na,5
生態,1.2512261259088642,Na,8
健走,1.2414685479172576,VA,3
植物,1.2363510172127743,Na,9
芬多精,1.216023900966519,Na,3
山莊,1.091840305020093,Nc,9
僧歐,1.0,Na,1
翠峰,0.9758949654356444,Na,17
金黃色,0.9336966420778426,Na,5
平台,0.9106985145064224,Na,6
親民,0.8955517815714251,VH,2
天然,0.8151954434211567,A,1
純林,0.813390580818051,Na,7
原始,0.7921934547216399,VH,6
黃葉,0.7740256455230291,Na,6
山羌,0.7468721998320754,Na,2
林道,0.7085579544714273,Na,2
稜線,0.7022114068950259,Na,7
雪花,0.6318502394698806,Na,1
雲海,0.6207612884257987,Na,2
森林浴,0.6171405133703006,Na,1
拍照,0.6071925843640996,VB,4
冰河,0.5952124451040548,Na,4
高山,0.5773502691896257,Na,1
夫妻,0.5474031736679715,Na,1
山毛林,0.5374345295099037,Na,1
迷霧,0.5309773779668479,Na,1
樹葉,0.5153594212338353,Na,3
涼爽,0.5111016810068532,VH,1
健身,0.5111016810068532,VA,1
龜山島,0.4945968310324905,Nc,4
活化石,0.48624406273337795,Na,1
苔癬,0.48590543415790877,Na,2
山景,0.47894443447014506,Na,2
大自然,0.47503801485991753,Nc,4
體驗,0.4657768272385268,VC,1
山林,0.4650982568329335,Nc,3
成就感,0.4610006774766339,Na,1
壯觀,0.44449719121572073,VH,1
千層岩,0.44449719121572073,Na,1
山羊,0.44209818924925404,Na,1
月份,0.4379315031080424,Na,4
生命力,0.4376957168624127,Na,2
黃金樹海,0.4345272721843933,Na,1
落光,0.43125383156945474,Na,1
銅山,0.431037673722676,Nc,2
山徑,0.4176404295231844,Na,3
原始林,0.40217014519416927,Na,3
登山口,0.3915597746248256,Nc,2
新苗,0.38047427106254494,Na,1
枯樹,0.38047427106254494,Na,1
登山,0.37344022854099884,VA,15
翠峰湖,0.36702763706830677,Nc,4
紅檜,0.34908218738133356,Na,4
稜脈,0.34443893355738253,Na,4
四季樹,0.3302632763093165,Na,1
觀景台,0.32475159063216624,Nc,3
浪漫,0.3241702053939788,VH,1
仙境,0.32213682576219754,Nc,1
雲瀑,0.3212897808666885,Na,1
銀色,0.3212897808666885,Na,1
至高點,0.3212897808666885,Na,1
動植物,0.31665008771544956,Na,1
健行,0.31629407018922867,VA,2
公園,0.3133089522451471,Nc,2
蹦蹦車,0.30540515999850354,Na,1
橘紅,0.2985801166694091,Na,1
寧靜,0.2913634577971775,VH,1
三毛櫸,0.2913634577971775,Na,1
工寮,0.28835344620169656,Nc,3
轉轍器,0.28835344620169656,Na,3
鐵道,0.28835344620169656,Na,3
遺跡,0.28835344620169656,Na,3
髒污,0.27169779844860964,Na,1
芒草區,0.26830934277583157,Nc,1
山屋,0.26612968443434043,Na,5
