words,tfidf,pos,freq
山泉水,5.640694801721143,Na,17
清涼,1.7553640910395503,VH,4
八仙山,1.5054766515588835,Nc,6
爬山,1.4417887735328043,VA,2
天然,1.1999873712366331,A,5
水桶,1.1454338163449882,Na,5
桶子,0.7587201437050356,Na,2
活力水,0.7333447766035898,Na,1
溫泉,0.7194997572307289,Na,2
自然,0.7175595292261825,VH,3
風鏡,0.7071067811865475,Na,1
淨水器,0.6371309006418664,Na,2
古關,0.6201642802246439,Nc,1
礦泉水,0.5874161992886633,Na,2
商人,0.5773502691896257,Na,1
八仙,0.5759517804242373,Na,7
消暑,0.5391672905244185,VA,1
冷泉,0.5360005340589014,Na,1
大自然,0.5360005340589014,Nc,1
恩賜,0.5360005340589014,Na,1
體驗,0.5138803163704182,VC,1
同好,0.5,Na,1
茶色,0.46576957017974363,Na,1
清味,0.46576957017974363,Na,1
家裝,0.4505536720313816,Na,1
洗車地,0.4472135954999579,Nc,1
谷關,0.42553004186001403,Nc,2
湧泉,0.3318325497408662,Na,1
瓶子,0.3318325497408662,Na,1
山壁,0.32264828557578634,Na,1
茶品,0.2874336173850486,Na,1
水箱,0.2714254688059222,Na,1
行家,0.2714254688059222,Na,1
貨車,0.2714254688059222,Na,1
好心人,0.2633353022169929,Na,1
牌子,0.2581258001440498,Na,1
水垢,0.23670360334123774,Na,1
熱水瓶,0.23670360334123774,Na,1
東勢,0.23382748293425978,Nc,1
品感,0.23163310956671038,Na,1
災難,0.23098647988126467,Na,1
規格,0.22487439752214458,Na,1
水瓶,0.2223050821004629,Na,2
茶味,0.2223050821004629,Na,1
