words,tfidf,pos,freq
南峰,3.6213956848658304,Nc,41
主峰,3.0711304203080383,Na,28
步道,3.0256841666364633,Na,19
昆陽,2.9439192649276276,Nc,25
合歡山,2.7998526280271956,Nc,26
合歡,2.507655369945984,Na,53
登山口,1.2766552337129136,Nc,9
稜線,1.2292233546072846,Na,6
高山,1.1171755456629076,Na,9
山頂,0.9501518467890029,Nc,8
群峰,0.8094867602004343,Na,3
爬山,0.7171672087093419,VA,3
雲瀑,0.7071067811865476,Na,1
雄偉,0.7034054479163542,VH,4
壯觀,0.6341775247633276,VH,2
三角點,0.580354991064488,Nc,2
拍照,0.5240667918595754,VB,4
高海拔,0.5185015082848391,Na,1
日出,0.5180134490352833,VA,5
百岳,0.5015590507042238,Neu,2
健行,0.49319605893362545,VA,3
觀景台,0.47323745305799947,Nc,2
高山症,0.4719746884803059,Na,2
遠足,0.47000442130024317,VA,1
騎車,0.46320041838954756,VA,1
霧虹,0.4201713498127223,Nb,2
杜鵑花,0.38449698742785415,Na,2
登山,0.3812847828405299,VA,15
抹茶山,0.3807206342133782,Nc,1
親民,0.3730935185689259,VH,1
草原,0.36602586234638435,Na,2
玉山,0.3559218364148821,Nc,3
箭竹,0.34671377530921127,Na,4
雲海,0.3374507113334123,Na,3
標高,0.3234256558600196,Na,2
霧霧,0.3148238617440956,Nc,1
紅毛,0.29500605598003343,Na,1
懸鉤子,0.29500605598003343,Na,1
奇萊山,0.29500605598003343,Nc,1
合歡南峰,0.2883599049994337,Na,2
林地,0.2860117835847712,Na,1
霞光,0.2860117835847712,Na,1
山峰,0.2817477201827132,Na,4
公園,0.27821062737733715,Nc,2
太魯閣,0.27821062737733715,Nc,2
山徑,0.27473635376956856,Na,1
山稜,0.27473635376956856,Na,1
草坡,0.26970256035263396,Na,3
小峰,0.25326224798059704,Nb,1
散步,0.25326224798059704,VA,1
氣喘,0.22989035941237196,Na,1
奇萊,0.22960148973275668,Nb,5
線條,0.22777165997901785,Na,2
大會,0.22726592115952124,Na,1
目的地,0.22726592115952124,Nc,1
風衣,0.22726592115952124,Na,1
背包,0.22726592115952124,Na,1
小石坡,0.21983259454040038,Nc,1
新手村,0.18541031487268345,Nc,1
南投,0.18541031487268345,Nc,3
山友,0.18541031487268345,Na,1
台湾,0.18541031487268345,Nc,1
仁愛鄉,0.18541031487268345,Nc,1
遠景,0.16582306498773922,Na,1
網美石,0.16448226561035975,Nb,1
金翼,0.16448226561035975,Nb,1
遼闊,0.15748016679768914,VH,2
切武嶺,0.1566679792265532,Nc,1
南峰頂,0.1566679792265532,Nc,1
死角,0.1566679792265532,Nc,1
合惠山,0.14335909697543095,Nc,3
合會山,0.14335909697543095,Nc,3
最高峰,0.14335909697543095,Na,3
清靜,0.1269303123574867,VH,1
峰頂,0.1269303123574867,Nc,2
草地,0.1269303123574867,Nc,1
農場,0.1269303123574867,Nc,1
箭竹林,0.1269303123574867,Na,1
山坡,0.1269303123574867,Na,1
山景,0.1269303123574867,Na,1
界碑,0.1250280173833972,Na,1
奇萊連峰,0.1250280173833972,Nb,1
短箭竹,0.1250280173833972,Na,1
石塊,0.1250280173833972,Na,1
濁水溪,0.1250280173833972,Nc,1
山區,0.1250280173833972,Nc,1
名山,0.1250280173833972,Na,1
前人,0.1250280173833972,Na,1
標點,0.11452817351008551,Na,1
流星雨,0.11452817351008551,Na,1
紀念照,0.11452817351008551,Na,1
誤會,0.11452817351008551,Na,1
南投縣,0.09557273131695397,Nc,2
生態,0.09557273131695397,Na,2
攝影師,0.09557273131695397,Na,2
山勢,0.09557273131695397,Na,2
尖山,0.09557273131695397,Nc,2
南豐,0.09557273131695397,Nb,2
山谷,0.09557273131695397,Na,2
北峰,0.09557273131695397,Nc,2
自然,0.09557273131695397,VH,2
日落,0.09557273131695397,VA,2
野生,0.09557273131695397,A,2
動植物,0.09557273131695397,Na,2
次數,0.08546805952655213,Na,1
雙乳峰,0.08546805952655213,Na,1
車流,0.08546805952655213,Na,1
筆記,0.08546805952655213,Na,1
界樁,0.08546805952655213,Na,1
步程,0.08546805952655213,Na,1
巨龍,0.08546805952655213,Na,1
標識,0.08546805952655213,Na,1
日光浴,0.08546805952655213,Na,1
山容,0.08546805952655213,Na,1
奇萊連稜,0.08546805952655213,Nb,1
台14甲線,0.08546805952655213,Nc,1
探險家,0.047786365658476986,Na,1
群山,0.047786365658476986,Na,1
黃昏,0.047786365658476986,Nd,1
山脈,0.047786365658476986,Na,1
合歡群,0.047786365658476986,Na,1
險家,0.047786365658476986,Na,2
