words,tfidf,pos,freq
合歡山,1.9617996402928735,Nc,5
星空,1.4933569181314827,Na,3
攤販,0.9596574491899557,Na,3
高山,0.9069748333386102,Na,3
涼爽,0.8732555373652997,VH,2
拍照,0.8217940272422668,VB,1
水果菜,0.7333447766035898,Na,1
關東煮,0.7071067811865475,Na,1
貴婦,0.7071067811865475,Na,1
山景,0.7071067811865475,Na,1
玉山,0.6994479439423538,Nc,2
日落,0.63490799911436,VA,1
拍攝,0.63490799911436,VC,1
避暑,0.6088608780580788,VA,1
申手,0.5251808155362298,Na,1
公園,0.5,Nc,1
天文台,0.5,Nc,1
山巒,0.5,Na,1
疊嶂,0.5,Na,1
市集,0.4998300537936431,Na,2
翠峰,0.48575641728900476,Na,2
清新,0.4684490273936961,VH,1
大自然,0.4684490273936961,Nc,1
蔬果,0.45258480051115024,Na,2
卡爾,0.45258480051115024,Nb,2
武嶺,0.42093386195706073,Nb,1
西瓜,0.4043607773288236,Na,2
鳳蝶,0.4043607773288236,Na,2
蝴蝶,0.4043607773288236,Na,2
露營,0.3656185245040146,VA,2
公交車,0.3656185245040146,Na,1
大拇指,0.3656185245040146,Na,1
標價,0.35924105128407463,Na,2
水蜜桃,0.3568556161404053,Na,2
北峰,0.3497239719711769,Nc,1
一絕,0.31866261777959937,Na,1
果乾,0.31866261777959937,Na,2
豬肉,0.31866261777959937,Na,1
步道,0.294842193319503,Na,1
水果乾,0.28180125482488705,Na,1
攤商,0.28180125482488705,Na,1
車燈,0.254544235532089,Na,1
情形,0.2511053653547499,Na,1
野生動物,0.2511053653547499,Na,1
昆陽,0.22049164482719602,Nc,1
露營區,0.22049164482719602,Nc,1
林地,0.2053107627368465,Na,1
酸筍湯,0.2053107627368465,Na,1
鉤粉蝶,0.2021803886644118,Na,1
高麗菜蝶,0.2021803886644118,Na,1
摩斯,0.17962052564203732,Nb,1
教訓,0.17962052564203732,Na,1
水果店,0.17962052564203732,Nc,1
