words,tfidf,pos,freq
公園,9.140954774036816,Nc,49
散步,3.960904779220172,VA,18
野餐,2.745158344553194,VA,17
風箏,2.23805524263938,Na,24
放風箏,2.1916647728105025,VA,11
花田,2.187120060893457,Na,14
花海,2.1086528220100855,Na,14
后里,2.070806309666322,Nc,19
向日葵,1.850491614382919,Na,4
草坪,1.6082504615614492,Na,4
放電,1.3609768087543712,VA,5
草皮,1.3388376923739227,Na,5
草地,1.0472772900784137,Nc,7
腳踏車,1.0,Na,1
花季,0.9596190178824184,Nd,3
步道,0.9254938113498639,Na,8
花園,0.893664805965537,Nc,3
放風,0.8307989385588961,VA,13
草原,0.7283794893045099,Na,5
花草,0.7184726866719671,Na,2
拍照,0.6563639295855497,VB,4
悠閒,0.6494183964582932,VH,3
波斯菊,0.6151009640898566,Na,2
遼闊,0.6134826778348325,VH,2
藝術,0.5868558873463211,Na,4
流浪狗,0.5567807300642403,Na,1
ubike,0.5530495841654833,FW,1
南寮,0.543003023480842,Nc,1
涼爽,0.532665791792407,VH,2
花樹,0.5291878599243718,Na,1
神形,0.5090231215877978,Na,1
草木,0.5090231215877978,Na,1
萬壽菊,0.5065914505229434,Na,1
花海區,0.4812086018602876,Nc,4
踏青,0.45579082431675977,VA,1
遛小孩,0.4419176453705902,VA,1
老少咸宜,0.4279791147941858,VH,1
社里,0.4279791147941858,Nc,1
休閒區,0.4279791147941858,Nc,1
飛盤,0.424330376817781,Na,2
花圃,0.4226673810086716,Nc,2
蛇類,0.41857582298161095,Na,1
含羞草,0.37152853133251945,Na,1
幽靜,0.36930551645647675,VH,1
約會,0.34274692169202425,VB,1
綠樹,0.3425407098707881,Na,1
芳草,0.340258116132405,Na,1
現況,0.3401319513911281,Na,1
下午茶,0.3279697159135197,Na,1
茶水,0.3279697159135197,Na,1
堤岸,0.32477250429210225,Na,1
忻采,0.32477250429210225,Nb,1
怡沁,0.32477250429210225,Nb,1
藍鵲,0.32477250429210225,Na,1
蝶舞,0.32477250429210225,Na,1
碧坡,0.32477250429210225,Nb,1
春風,0.32477250429210225,Na,1
健身,0.31920781501210677,VA,1
幅員,0.31920781501210677,Na,1
壁紙,0.3182081110253321,Na,1
樹陰,0.316647595405147,Na,1
愜意,0.29650027088142344,VH,1
美瑛,0.28914923241680446,Nb,1
散步道,0.28914923241680446,Na,1
剪影,0.28914923241680446,Na,1
富良野,0.28914923241680446,Na,1
掩埋場,0.27396488478246156,Nc,1
焚化爐,0.27396488478246156,Na,1
綠廊,0.27396488478246156,VH,1
菊花,0.25317512295009076,Na,1
色彩繽紛,0.25317512295009076,Na,1
地貌,0.25317512295009076,Na,1
苗圃,0.2406043009301438,Nc,2
碎石,0.2406043009301438,Na,2
土丘,0.2406043009301438,Na,2
生態池,0.2406043009301438,Na,2
佈景,0.23133462569107882,Na,1
急救箱,0.2262799496612105,Na,1
露營,0.22409614410146522,VA,2
拍攝,0.21457414554540014,VC,1
夕陽照,0.21457414554540014,Na,1
游泳,0.21428387528186457,VA,3
熱氣球,0.20794339012235555,Na,1
臺東,0.20794339012235555,Nc,1
隊長,0.20794339012235555,Na,1
草原區,0.20526240590118955,Nc,2
幾何,0.20403522005834607,Na,2
豐原,0.15690267954293727,Nc,1
五顏六色,0.15690267954293727,Na,1
前身為,0.15690267954293727,Na,1
垃圾場,0.15690267954293727,Nc,1
日草,0.15690267954293727,Na,2
動物,0.13663218429607768,Na,1
網友,0.13663218429607768,Na,1
視線,0.12581344412496465,Na,1
熱鬧,0.12581344412496465,VH,1
馬車,0.11745652042945916,Na,1
螞蟻,0.11745652042945916,Na,1
鐵藝,0.11745652042945916,Na,1
陰涼處,0.11745652042945916,Nc,1
遮蔽處,0.11745652042945916,Nc,1
池塘,0.11745652042945916,Nc,1
紀念,0.11745652042945916,VJ,1
寧靜,0.11745652042945916,VH,1
茂盛,0.1144483316142674,VH,1
后豐,0.1144483316142674,Nc,1
大甲溪,0.1144483316142674,Nc,1
拍照點,0.1144483316142674,Na,1
時間點,0.1144483316142674,Na,1
舊社,0.1144483316142674,Nc,1
草坡,0.1144483316142674,Na,1
草皮區,0.1144483316142674,Nc,1
草花,0.1144483316142674,Na,1
隧道,0.1144483316142674,Na,1
游泳池,0.10714193764093229,Nc,1
浮生,0.10714193764093229,Na,1
雛形,0.10714193764093229,Na,1
噪音,0.10714193764093229,Na,1
池水,0.10714193764093229,Na,1
導覽圖,0.10263120295059477,Na,1
棒棒糖,0.10263120295059477,Na,1
植物,0.10263120295059477,Na,1
波斯,0.10263120295059477,Nc,3
花廊,0.10263120295059477,Nc,1
農業處,0.10263120295059477,Nc,1
說法,0.0789733886345425,Na,1
花朵,0.0789733886345425,Na,1
要件,0.0789733886345425,Na,1
計步器,0.0789733886345425,Na,1
短髮,0.0789733886345425,Na,1
長度,0.0789733886345425,Na,1
長髮,0.0789733886345425,Na,1
陸戰隊員,0.0789733886345425,Na,1
花布,0.0789733886345425,Na,1
雜草叢生,0.0789733886345425,VH,1
焚化廠,0.0789733886345425,Nc,1
海軍,0.0789733886345425,Nc,1
朝氣,0.0789733886345425,Na,1
披肩,0.0789733886345425,Na,1
女郎,0.0789733886345425,Na,1
女孩,0.0789733886345425,Na,1
台中市,0.0789733886345425,Nc,1
化室,0.0789733886345425,Nc,1
風筝,0.0789733886345425,Na,1
