words,tfidf,pos,freq
公園,1.9597738015959987,Nc,8
懷念,1.0,VJ,1
和平鐘,0.9998835893336069,Na,4
歷史,0.9804385158833863,Na,2
二二八,0.7796206411091994,Nb,3
蓮霧,0.49035250126527014,Na,1
凱道,0.44972066236200514,Na,1
出入口處,0.44972066236200514,Nc,1
遊樂,0.4393363830692947,VA,2
紀念,0.4168255628617655,VJ,3
藝術,0.3578766636772734,Na,1
總督,0.2553425121649113,Na,1
兒玉源太郎,0.2553425121649113,Na,1
獅子會,0.2553425121649113,Nc,1
銅像,0.2553425121649113,Na,1
社會,0.21497539582963401,Na,1
紀念館,0.21497539582963401,Nc,1
單槓,0.15084185939867445,Na,1
沙攤,0.15084185939867445,Nc,1
池塘,0.15084185939867445,Nc,1
盪鞦韆,0.15084185939867445,VA,1
動物,0.15084185939867445,Na,1
溜滑梯,0.15084185939867445,VA,1
教學,0.15084185939867445,VA,1
雙槓,0.15084185939867445,Na,1
