words,tfidf,pos,freq
文創,7.1356713060580645,Na,35
市集,6.71166840593051,Na,27
日式,6.672174281608566,A,36
拍照,3.952229930784491,VB,16
悠閒,3.9413698244471496,VH,14
朴子,2.8827702825766064,Nc,12
散步,1.9671790147411135,VA,7
檜意,1.8236582792288587,Na,6
熱鬧,1.7081256980607047,VH,3
水道頭,1.625423656203887,Nc,9
商家,1.6015991641543779,Na,5
森林,1.4484407511569422,Na,8
方舟,1.4484407511569422,Na,8
生活村,1.404955257447745,Nc,4
文化,1.4015219120297133,Na,6
商店,1.3436162997209675,Nc,5
幽靜,1.324872224144491,VH,2
手工,1.2294972656327987,Na,5
藝術,1.2103468782585045,Na,6
文青,1.1651344258768443,Nb,4
清幽,1.0726613074334712,VH,3
藝品,1.0216421955108705,Na,3
寧靜,0.9810298599542758,VH,2
表演,0.9757670616092957,VC,3
攤販,0.9557835459473332,Na,3
建築群,0.9415431609826125,Na,3
文藝,0.932785597993051,Na,2
壯觀,0.9204881089709301,VH,2
下午茶,0.8931468864803066,Na,4
朴通,0.8570351937183256,Nb,3
手作,0.8311200718969138,Na,4
diy,0.7987188305286628,FW,1
嘉義縣,0.7262486947046771,Nc,2
巿集,0.7109988838119979,Na,2
宿舍群,0.6619136876002348,Na,1
古蹟,0.6611369002898186,Na,1
人情味,0.6549035877034791,Na,1
文創展,0.6167954604885962,Na,1
森活村,0.6011363172477836,Nc,2
遛小孩,0.6002346245962805,VA,1
藝文,0.5863273366569614,A,2
人文,0.5823540354009609,Na,1
祖公賽,0.5773502691896258,Na,1
日本,0.5773502691896258,Nc,1
年糞,0.5773502691896258,Na,1
歷史,0.5514690346532427,Na,1
體驗,0.547596294415932,VC,4
嘉藝點,0.5366572731323638,Nb,4
東石,0.5161296744125704,Nc,2
故宮,0.5161296744125704,Nc,2
攤位,0.5000726262924987,Na,1
巧克熊,0.5,Na,1
購買點,0.5,Nc,1
環島,0.5,VA,1
文創區,0.49071182516070666,Nc,1
藝術品,0.48858863803510033,Na,1
貓咪,0.4878753785908839,Na,1
庭口,0.4878753785908839,Nc,1
金工,0.4878753785908839,Na,1
文青網,0.4823045283296712,Nb,1
市集會,0.4676098990862051,Na,1
本事,0.4635429089038857,Na,1
同質性,0.4362383726956928,Na,1
南苑,0.38114046314214634,Nc,1
閒暇,0.3712119197775082,Na,1
卡密拉,0.3705159530812827,Nb,1
村長,0.3705159530812827,Na,1
洋香瓜,0.3705159530812827,Na,1
展覽,0.36184075043763364,VC,1
木偶,0.36184075043763364,Na,1
違和感,0.36184075043763364,Na,1
愜意,0.36149492153792884,VH,1
清潔液,0.36001043709533526,Na,1
紙巾,0.36001043709533526,Na,1
整潔度,0.34699474551316717,Na,1
電信,0.33859991730244676,Na,1
攤商,0.33687882580961387,Na,1
放風,0.33687882580961387,VA,1
水道頭君,0.332200764686444,Na,1
食品廠,0.3251894700439591,Nc,2
桃人,0.3197692009713245,Na,1
板娘,0.31726519651173335,Na,1
公園,0.3112269056973652,Nc,2
魔術師,0.3076866169225359,Na,1
庭園,0.28873997583415506,Na,1
宣傳,0.274231411771083,Na,1
剪刀,0.2708490896327048,Na,3
腳步,0.27024769111505775,Na,1
冰品,0.2690387960141443,Na,1
眷舍,0.2690387960141443,Na,1
勝利星村,0.26394381125245897,Nc,1
屏東,0.26394381125245897,Nc,1
店鋪,0.23778175963440046,Na,1
日造房,0.23778175963440046,Nc,1
實體,0.23778175963440046,Na,1
植物,0.2322945604376304,Na,1
檜木村,0.22943394973288633,Nc,1
全家福,0.22147728427046004,Na,1
眷村,0.21742505127246076,Nc,1
趣味,0.21554964607947416,Na,1
主辦人,0.21074377924424392,Na,1
博士,0.21074377924424392,Na,1
繪畫,0.21074377924424392,Na,1
七桃,0.21074377924424392,Nb,1
黃美賢,0.21074377924424392,Nb,1
導覽,0.21074377924424392,VC,1
嘉義市,0.20336115560785228,Nc,1
自來水塔,0.18200003963149405,Na,1
軌道,0.18200003963149405,Na,1
傳統,0.1764762538579953,VH,1
磁鐵,0.1764762538579953,Na,1
野薑花,0.1764762538579953,Na,1
銀飾,0.1764762538579953,Na,1
碼頭,0.17208651203071615,Nc,1
參拜,0.17208651203071615,VC,1
祈福,0.17208651203071615,VB,1
博物院,0.17208651203071615,Nc,1
朴子市,0.17208651203071615,Nc,1
樸仔腳,0.17208651203071615,Nb,1
鮮蚵,0.17208651203071615,Na,1
粉圓,0.16151011720267877,Na,1
嘉藝,0.16151011720267877,Nb,5
初心,0.16151011720267877,Na,1
日作,0.15375466582754752,Na,2
花圈,0.15375466582754752,Na,2
花藝,0.15375466582754752,Na,2
蛋糕,0.15375466582754752,Na,2
誠農,0.15375466582754752,Nb,2
食堂,0.15375466582754752,Nc,2
業主,0.09028302987756828,Na,1
老房,0.07687733291377376,Na,1
氣泡飲,0.07687733291377376,Na,1
精品,0.07687733291377376,Na,1
老屋,0.07687733291377376,Na,1
桃園,0.07687733291377376,Nc,1
茶飲,0.07687733291377376,Na,1
離島,0.07687733291377376,Nc,1
馬丁,0.07687733291377376,Nb,1
植株,0.07687733291377376,Na,1
過年,0.07687733291377376,VA,1
柔媽,0.07687733291377376,Nb,1
新竹,0.07687733291377376,Nc,1
教師,0.07687733291377376,Na,1
手沖,0.07687733291377376,Na,1
成品,0.07687733291377376,Na,1
年味,0.07687733291377376,Na,1
媒材,0.07687733291377376,Na,1
台南,0.07687733291377376,Nc,1
台北,0.07687733291377376,Nc,1
高雄,0.07687733291377376,Nc,1
