words,tfidf,pos,freq
步道,2.694077780643079,Na,22
茶園,2.5141445897627666,Nc,20
桐花,2.4800176110861454,Na,26
油桐花,1.8352950161047155,Na,8
木雕,1.817457914706044,Na,14
三義,1.804527409152942,Nc,16
博物館,1.5914830299207903,Nc,13
眼鏡蛇,1.0,Na,1
老街,1.0,Nc,1
慈濟,0.921989981975556,Nb,6
健走,0.7391387109017791,VA,1
蝸牛,0.6496341864367022,Na,1
山頂,0.6304223166933436,Nc,3
油桐,0.5980453463130878,Na,12
散步,0.5719364359660029,VA,3
拍照,0.5662026517023551,VB,2
遼闊,0.5323836732791785,VH,3
自然,0.5241803349466426,VH,3
粉多,0.47721928438097866,Na,1
落英,0.44986382934149427,Na,1
山林,0.44857611875647924,Nc,1
爬山,0.43897800263047226,VA,2
仙境,0.4260594961156674,Nc,1
清幽,0.4260594961156674,VH,1
花環,0.39772718805032553,Na,1
好心人,0.39772718805032553,Na,1
大班,0.390369744734738,Nc,1
踏青,0.35943134699632706,VA,2
清新,0.3365721321026396,VH,2
桐花季,0.30978318767563934,Na,2
親子級,0.3078341352997071,Na,1
木雕館,0.2957352014857071,Nc,1
苗栗,0.2740577522709199,Nc,4
花季,0.2625095286886034,Nd,5
郊遊,0.24859492513278053,VA,1
桐花風,0.2284217658713245,Na,1
雲海,0.22360795478273046,Na,1
運動鞋,0.22360795478273046,Na,1
慈濟山,0.2175865952916263,Nc,1
老弱婦孺,0.2175865952916263,Na,1
花期,0.2175865952916263,Na,1
白雪,0.2175865952916263,Na,1
壯觀,0.21078438971534158,VH,1
徑頭,0.21078438971534158,Na,1
藍鵲,0.21078438971534158,Na,1
原始,0.19461817820287125,VH,1
綠意盎然,0.19461817820287125,VH,1
曬太陽,0.1843675622431671,VA,1
體驗,0.17472677831554756,VC,1
親民,0.17472677831554756,VH,1
油桐樹,0.17472677831554756,Na,1
楓采,0.10536553408892393,Na,1
綿連,0.10536553408892393,Na,1
短文,0.10536553408892393,Na,1
玉倫宮,0.10536553408892393,Nc,1
機率,0.10536553408892393,Na,1
山水,0.10536553408892393,Na,1
木牌,0.10536553408892393,Na,1
文青,0.10536553408892393,Nb,1
平地,0.10536553408892393,Na,1
商圈,0.10536553408892393,Nc,1
廣聲,0.09135258409030664,Na,1
枕木,0.09135258409030664,Na,1
新城,0.09135258409030664,Nc,1
登山,0.09135258409030664,VA,1
廣盛村,0.09135258409030664,Nc,1
博物舘,0.09135258409030664,Na,1
三義鄉,0.09135258409030664,Nc,1
苗栗縣,0.09135258409030664,Nc,1
