words,tfidf,pos,freq
落羽松,1.926301939956079,Na,9
散步,1.7665434325405154,VA,5
花海,1.6690453211272853,Na,5
拍照,1.17962906325933,VB,5
悠閒,0.7071067811865476,VH,1
公園,0.6307943475077964,Nc,2
閑暇,0.6290863483862142,Na,1
山脚,0.5943953651378014,Nc,1
草坪,0.5862586739092713,Na,2
自然,0.5836331153197212,VH,2
噴水池,0.526149423792432,Na,1
浪漫,0.5109488602265194,VH,1
落雨松,0.5109488602265194,Na,1
花季,0.49224660585442537,Nd,1
國福里,0.48857825793826426,Nc,1
踏青,0.45499649897094474,VA,1
價期,0.45499649897094474,Na,1
草地,0.4337306546581471,Nc,1
松林,0.4330717071846458,Na,4
郊遊,0.398517345713068,VA,1
花蓮,0.35158393067263277,Nc,3
車速,0.34911054926452284,Na,1
相機,0.34145486649924156,Na,1
素拍,0.34145486649924156,Na,1
防護,0.34145486649924156,Na,1
畫素,0.34145486649924156,Na,1
橘紅,0.3260362679824812,Na,1
色調,0.3260362679824812,Na,1
大自然,0.31136684338086446,Nc,1
心境,0.31136684338086446,Na,1
焦點,0.27225400869464234,Na,1
花園,0.27225400869464234,Nc,1
落羽松林,0.23438928711508852,Na,2
國福,0.23438928711508852,Nb,3
森林,0.22945962065674713,Na,1
紅綠燈口,0.20363802686478832,Na,1
青菜,0.20363802686478832,Na,1
衣褲,0.20363802686478832,Na,1
原住民,0.20363802686478832,Na,1
過年,0.20363802686478832,VA,1
步道,0.20298691473003344,Na,1
瀑布,0.20298691473003344,Na,1
薩庫爾,0.20298691473003344,Nb,1
陽光明媚,0.20298691473003344,Na,1
青山綠水,0.20298691473003344,Na,1
水池,0.11719464355754426,Na,2
民風,0.11719464355754426,Na,1
清幽,0.11719464355754426,VH,1
幽靜,0.11719464355754426,VH,1
花期,0.11719464355754426,Na,1
