words,tfidf,pos,freq
校園,3.0768631744819794,Nc,6
散步,1.412250395424544,VA,3
清幽,1.3656538665036804,VH,2
湖泊,1.3016995175473025,Na,2
悠閒,1.2238133172988994,VH,3
成大,1.1631000162229495,Nc,3
戲水,1.073303461809691,VA,3
歷史,0.9229664750320344,Na,2
成功湖,0.7940100783637188,Nc,2
思古,0.7071067811865476,VH,1
愜意,0.7071067811865476,VH,1
成功人,0.7071067811865476,Na,1
假山,0.6490661580859834,Na,2
文物館,0.6428733489207776,Nc,1
湖面,0.6095015076776302,Na,2
野餐,0.5999297507620979,VA,1
小島,0.5969553565523544,VH,2
生態池,0.5109488602265194,Na,1
教學,0.5109488602265194,VA,1
湖光山色,0.4756816916163932,Na,2
寧靜,0.4756816916163932,VH,2
腳步,0.47567134524710963,Na,1
生態,0.4400036134685894,Na,3
池塘,0.4382088040528801,Nc,2
消暑,0.4319826822700223,VA,1
白鵝,0.4319826822700223,Na,1
學生會,0.43111260529151174,Na,1
水池,0.43111260529151174,Na,1
傳統,0.41414316237627224,VH,1
游泳,0.38898913733004287,VA,1
榕樹,0.37796447300922725,Na,1
花園,0.37796447300922725,Nc,1
一角,0.3686735488975505,Nc,1
鵝群,0.3686735488975505,Na,1
噴泉,0.35736151541717187,Na,1
台南,0.3333738773887268,Nc,2
動物,0.32943190217237395,Na,2
浪漫,0.31894383358108286,VH,1
悠久,0.31894383358108286,VH,1
氣分,0.31894383358108286,Na,1
外語,0.313745229753683,Na,1
湖景,0.2952747772414124,Na,1
園遊會,0.22432762139929652,Na,1
堤岸,0.2200018067342947,Na,1
水泥牆,0.2200018067342947,Na,1
水路,0.2200018067342947,Na,1
浩劫,0.2200018067342947,Na,1
腦袋,0.2200018067342947,Na,1
週圍,0.2200018067342947,Nc,1
父母,0.21910440202644005,Na,1
規矩,0.21910440202644005,Na,1
水里,0.141507658780605,Nc,1
湖里,0.141507658780605,Nc,1
漢語,0.141507658780605,Na,1
語言,0.141507658780605,Na,1
