words,tfidf,pos,freq
展覽,23.458326283657232,VC,152
文學,18.6559532857886,Na,252
歷史,9.738321253465283,Na,57
文學館,9.702317257504093,Nc,84
台南,8.726104391802577,Nc,79
古蹟,7.60940866672386,Na,35
文化,5.205105971918121,Na,40
體驗,3.3507787930532373,VC,20
州廳,3.268156831957622,Nc,18
作家,2.86851805266428,Na,21
藝術,2.7165232399587746,Na,9
互動式,2.537484225970635,A,11
導覽,2.4761633807709806,VC,21
展場,2.4617894803868525,Nc,7
文青,2.402321870188748,Nb,7
博物館,2.320572269089643,Nc,17
新舊,2.2045106799842937,Na,6
美術館,2.1423562222446817,Nc,11
展覽館,2.1126896131217476,Nc,3
圖書館,2.0411498518864333,Nc,10
孔廟,1.8182232767225777,Nc,8
典雅,1.722915289871862,Nv,8
文學史,1.6892095132631966,Na,8
拍照,1.665086925128123,VB,7
文物,1.6609810966595366,Na,7
圓環,1.5354251800868188,Nc,7
悠閒,1.453632815645842,VH,3
清幽,1.4185407217092165,VH,4
禁書展,1.369623032888658,Na,4
台南市,1.3294141990763562,Nc,11
文學展,1.137513577414364,Na,5
內涵,1.13625549361836,Na,3
日式,1.1358099865371631,A,5
動物,1.005582989123223,Na,5
台羅,1.0,Nb,1
工法,0.9850301583737179,Na,4
復古,0.9697394475142643,VHC,3
詞彙,0.9635662057831169,Na,2
宏偉,0.9490945153972481,VH,3
雄偉,0.9256536473573271,VH,2
寓教於樂,0.9246989322363729,VA,4
文創,0.8656764695241761,Na,3
台文館,0.8640772588064656,Nc,5
紀念品,0.8523398521233637,Na,5
商店,0.8246229872836242,Nc,4
個展,0.7987578281028668,Na,1
機構,0.7911702009063216,Na,4
古色古香,0.7755179072029057,VH,2
森山松之助,0.7718155456340969,Na,4
句子,0.7602934496101935,Na,2
文本,0.7412858140693,Na,4
教學,0.7074264250302298,VA,3
貝貝,0.7071067811865476,Nb,1
立貝,0.7071067811865476,Nb,1
脈絡,0.7000192652877198,Na,2
素養,0.6912874213779279,Na,2
書店,0.6903406984983214,Nc,5
文藝,0.6879709813728214,Na,4
湯德章,0.6697586223612357,Nb,4
中西區,0.6528848936086885,Nc,6
手稿,0.6495719471643974,Na,2
本土,0.6459768567988382,Nc,3
文史,0.6428039603000306,Na,2
寧靜,0.6254678494312305,VH,2
籤詩,0.610095810916055,Na,4
人文,0.5999329855825509,Na,3
騎車,0.5978559309230632,VA,2
臺南人,0.5790467085773066,Na,2
互動區,0.5758930934292485,Nc,3
綠園,0.5600506532580567,Nc,3
日本,0.5547588151863955,Nc,2
吵雜聲,0.5377838645917772,Na,1
展覽物,0.5360534167120067,Na,1
文學力,0.5322187122656555,Na,3
臺南,0.5224179330409181,Nc,9
中英,0.521352335857516,Nc,2
