words,tfidf,pos,freq
體驗,2.777044424080792,VC,9
傳統,1.226665708489765,VH,4
童玩,1.2097213637036266,Na,3
教學,1.1787403373111054,VA,5
宋江陣,1.0968355361440152,Na,4
民俗,0.7227619820869282,Na,2
陳鎮莊,0.7071067811865476,Nb,1
宋江,0.7071067811865476,Nb,5
金桔,0.6344949461110245,Na,3
外在,0.5943953651378014,Na,1
父母,0.5943953651378014,Na,1
文化,0.58593785757893,Na,2
農莊,0.4631495845929782,Nc,2
古老,0.46196893232655517,VH,1
金桔茶,0.43694469263282765,Na,1
布袋戲,0.417636285750471,Na,2
閩南語,0.3755027396922392,Na,1
安親班,0.37170412413770315,Nc,1
布袋戲偶,0.36939700754902643,Na,1
桔茶,0.36939700754902643,Na,2
農事,0.36939700754902643,Na,1
玩法,0.34493235284675194,Na,1
美濃,0.34493235284675194,Nc,1
旗山,0.34493235284675194,Nc,1
中低年級,0.3268802118942851,Na,1
斗笠,0.3268802118942851,Na,1
高蹺,0.3268802118942851,Na,2
庄主,0.3218474739557518,Na,1
農村,0.3218474739557518,Nc,1
玩童,0.2865454281126933,Na,1
金棗茶,0.2865454281126933,Na,1
導覽,0.2865454281126933,VC,1
寓教於樂,0.22031248948473048,VA,1
農庄,0.22031248948473048,Nc,1
金吉茶,0.22031248948473048,Nb,1
採果趣,0.2094031633794592,Na,1
果園,0.2094031633794592,Nc,1
射箭場,0.2094031633794592,Nc,1
採果樂,0.2094031633794592,Na,1
客家,0.1996333837045652,Na,1
手作,0.1996333837045652,Na,1
菜包,0.1996333837045652,Na,1
餡料,0.1996333837045652,Na,1
兵器,0.18136734298899007,Na,1
哥哥,0.18136734298899007,Na,1
圓潭,0.18136734298899007,Nc,1
