words,tfidf,pos,freq
櫻花,4.7523966659427055,Na,25
拍照,1.8361474500904547,VB,4
九重葛,1.7113185748371478,Na,5
步道,1.0471808962724376,Na,6
炮仗花,1.0025591787238828,Na,3
櫻花樹,0.8228641417221203,Na,2
花季,0.7625744782144853,Nd,2
土城,0.7400484809777919,Nc,4
散步,0.5439247634968835,VA,2
鳳梨花,0.465512312129498,Na,1
紫藤花,0.4549194051331646,Na,3
矢分,0.45134709832256636,Nb,1
溝渠,0.45093071889524616,Na,2
砲仗花,0.4286279074811274,Na,1
拍攝,0.37961809579383854,VC,1
五光,0.35736151541717187,Na,1
燈火,0.35736151541717187,Na,1
五彩,0.31931742261580087,Na,1
櫻花季,0.31931742261580087,Na,1
貨饒里,0.3164266304026341,Nc,2
新北市,0.24579906113077893,Nc,2
水溝味,0.24515812644801677,Na,1
惡臭味,0.236910911010294,Na,1
吉野櫻,0.23614754490317266,Na,1
杜鵑花,0.22020891120905534,Na,1
櫻花道,0.22020891120905534,Na,1
河道,0.22020891120905534,Na,1
大排溝,0.2009981577412421,Na,1
寧靜,0.12702892846951408,VH,1
花期,0.12702892846951408,Na,1
越裡處,0.12702892846951408,Nc,1
花草,0.12702892846951408,Na,1
綠葉,0.12702892846951408,Na,1
海山,0.12702892846951408,Nc,1
沼氣味,0.12702892846951408,Na,1
仕紳,0.12289953056538946,Na,1
公園,0.12289953056538946,Nc,1
圳路,0.12289953056538946,Na,1
川河,0.12289953056538946,Na,1
板橋,0.12289953056538946,Nc,1
死水,0.12289953056538946,Na,1
淡水河,0.12289953056538946,Nc,1
滯水池,0.12289953056538946,Na,1
靈魂,0.12289953056538946,Na,1
首長,0.12289953056538946,Na,1
