words,tfidf,pos,freq
公園,3.723654380234117,Nc,17
溜滑梯,1.6797618058159252,VA,6
放電,0.8588325069554505,VA,2
寧靜,0.8545041674881024,VH,1
滑梯,0.7071067811865476,Na,8
紙板,0.5411175856426286,Na,2
遊樂,0.5221007872892982,VA,3
丘陵,0.4603052631796987,Na,1
優點,0.4603052631796987,Na,1
地形,0.4603052631796987,Na,1
紙箱,0.40614195296395744,Na,1
墓仔埔,0.3683664739951257,Nc,1
規片,0.3683664739951257,Na,1
真濟人,0.3683664739951257,Na,1
山坡,0.3683664739951257,Na,1
居家,0.3612546443329259,Na,1
坐墊,0.27628661633234264,Na,1
溜石場,0.2705587928213143,Nc,1
碗型,0.2705587928213143,Na,1
攀爬架,0.15257651494047356,Na,1
盪鞦韆,0.15257651494047356,VA,1
滑草,0.15257651494047356,VH,2
住戶,0.15257651494047356,Na,1
新北,0.15257651494047356,Nc,1
洗手檯,0.15257651494047356,Na,1
觀景亭,0.1390485857867635,Nc,1
體健區,0.1390485857867635,Nc,1
青山,0.1390485857867635,Na,1
土城區,0.1390485857867635,Nc,1
腳踏車,0.10162790912372668,Na,1
樹叢,0.10162790912372668,Na,1
紅黃線,0.10162790912372668,Na,1
磚瓦,0.10162790912372668,Na,1
碰碰車,0.10162790912372668,VA,1
明德路,0.10162790912372668,Nc,1
中小型,0.10162790912372668,Na,1
散步,0.10162790912372668,VA,1
蟲鳴聲,0.10162790912372668,Na,1
