words,tfidf,pos,freq
部落,6.47127588134002,Nc,35
原住民,3.5203676312009042,Na,19
多納,2.662930481117971,Nc,18
原始,2.6321015380046986,VH,7
深山,2.06004756587162,Na,5
世外桃源,1.9529092493913598,Na,4
石板屋,1.778321083449696,Na,9
溫泉,1.6311486539812106,Na,5
大自然,1.4248095991509584,Nc,3
村落,1.198802152621818,Na,5
悠閒,1.1024065397244236,VH,3
魯凱族,1.0850005335674113,Nb,4
寧靜,0.9249782285875882,VH,3
文化,0.9067414233817352,Na,4
石板,0.8876247842292344,Na,17
健走,0.8281528671593441,VA,1
魯凱,0.804015006291012,Nb,7
台灣味,0.7959170705853674,Na,1
天然,0.7701748296546344,A,2
自然,0.7415725961412549,VH,5
霧台,0.7011730316421612,Nc,3
山地,0.604204600191611,Nc,2
山清水秀,0.5908081454296558,VH,1
山水,0.5632512983217558,Na,1
高雄市,0.5629914550869296,Nc,2
茂林,0.5569592433503475,Nb,4
老姑娘,0.5386859972158672,Na,2
峽谷,0.5242773644245555,Na,1
散步,0.4618492789803233,VA,1
傳統,0.4489737438230558,VH,2
商店,0.4345177691177266,Nc,1
開店率,0.4345177691177266,Na,1
裡多納,0.408248290463863,Nc,1
山巒,0.408248290463863,Na,1
原住民族,0.3803453530127398,Na,1
導覽,0.37638670016842957,VC,2
風光明媚,0.37429463991257345,VH,1
野溪,0.36793368219108086,Nc,2
步道,0.3652631501954384,Na,3
石板牆,0.3616987400887454,Na,2
杉林區,0.35101559652706205,Nc,1
石版屋,0.35101559652706205,Na,1
原著民,0.35101559652706205,Na,1
多納里,0.35101559652706205,Nb,1
山景,0.34094465869307256,Na,1
溪流,0.34094465869307256,Na,1
群山,0.3377243091595083,Na,2
茂林區,0.33180578246033443,Nc,2
攤販,0.32876820867447937,Na,2
冠軍,0.32373351643197235,Na,1
清新,0.3014635789635628,VH,1
漢人,0.30088345626645907,Na,1
體驗,0.30088345626645907,VC,1
人文,0.30088345626645907,Na,1
風景區,0.2965923752724604,Nc,1
壯觀,0.29061723195920364,VH,2
長城,0.29061723195920364,Nc,2
村莊,0.26931231575681924,Nc,1
碳酸泉,0.2595891782391253,Na,1
多娜,0.2595891782391253,Nb,1
貴賓,0.25435713700716733,Na,1
吊橋,0.2492685928109971,Na,3
山河,0.24730108305965412,Na,1
龍頭山,0.24730108305965412,Nc,1
高吊橋,0.24730108305965412,Na,1
民風,0.24730108305965412,Na,1
屬地,0.24730108305965412,Na,1
多納村,0.24730108305965412,Nc,1
小米束,0.20485312284593,Na,2
森林,0.20283977111095816,Na,1
熱鬧,0.195580330013883,VH,3
山豬肉,0.18316009950930756,Na,1
蛋糕,0.18316009950930756,Na,1
雙線道,0.18316009950930756,Na,1
圍墻,0.16980797243579723,Na,1
拍照,0.15588516818571901,VB,2
鼻子,0.14632056717394223,Na,1
社交,0.14632056717394223,Na,1
山林,0.14632056717394223,Nc,1
場合,0.14632056717394223,Na,1
吉拿富,0.14632056717394223,Nb,1
菜單,0.13038688667592202,Na,2
粉塵,0.1296911786394771,Na,1
過年,0.1296911786394771,VA,1
工地,0.1296911786394771,Na,1
工作室,0.11732497789970818,Nc,1
男子,0.102426561422965,Na,1
黑米,0.102426561422965,Na,2
頭目,0.102426561422965,Na,1
頭台,0.102426561422965,Na,1
祭典,0.102426561422965,Na,1
黑米祭,0.102426561422965,Na,1
獵人,0.102426561422965,Na,1
戰道,0.102426561422965,Na,1
少女,0.102426561422965,Na,1
定情束,0.102426561422965,Na,1
毛線,0.102426561422965,Na,1
烤雞,0.06519344333796101,Na,1
路人,0.06519344333796101,Na,1
紫蝶,0.06519344333796101,Na,1
粽子,0.06519344333796101,Na,1
瑪姿,0.06519344333796101,Nb,1
料理店,0.06519344333796101,Nc,1
柴火,0.06519344333796101,Na,1
木棧,0.06519344333796101,Na,1
彩繪壺,0.06519344333796101,Na,1
幽谷,0.06519344333796101,Nc,1
伴手禮,0.06519344333796101,Na,1
香樂,0.06519344333796101,Na,1
