words,tfidf,pos,freq
瀑布,5.5851977188237285,Na,43
夢幻寺,2.7664500612648815,Nc,17
幽靜,1.3019950551657864,VH,2
三貂嶺,1.001613021439493,Nc,7
世外桃源,1.0,Na,1
壯觀,0.9839743313315105,VH,2
步道,0.9459922592413511,Na,6
人煙稀少,0.909798163185496,Na,1
古道,0.8824365823895585,Na,2
寺廟,0.6005465402006516,Nc,3
師父,0.5770412026319808,Na,3
原汁,0.46619348710476477,Na,1
天然,0.46619348710476477,A,1
山羌,0.45499649897094463,Na,1
三貂,0.45499649897094463,Nb,8
黃犬,0.40076390792260475,Na,1
狂吠聲,0.40076390792260475,Na,1
佛寺,0.40076390792260475,Nc,1
老弱,0.37939351557169554,Na,1
陰寒,0.37939351557169554,Na,1
寺狗,0.3751163399692498,Na,1
大自然,0.313148982785377,Nc,2
石階,0.2937467793836914,Na,3
生態,0.2905297316958733,Na,1
原始,0.2905297316958733,VH,1
爬蟲類,0.2905297316958733,Na,1
瀑布群,0.27915483471988767,Na,2
目的地,0.24572544663406679,Nc,1
低速檔,0.24265369967877365,Na,1
大水,0.1937849114588208,Na,1
大路,0.1937849114588208,Nc,1
壞人,0.1703891004211843,Na,1
侯牡,0.1587709536376212,Nb,1
農路,0.1587709536376212,Nc,1
貨櫃,0.1587709536376212,Na,1
石壁坑,0.1587709536376212,Na,1
百靈,0.1587709536376212,Na,1
金字橋,0.1587709536376212,Nc,1
合谷,0.13957741735994383,Nc,1
新寮,0.13957741735994383,Nc,1
枇杷洞,0.13957741735994383,Na,1
碩仁,0.13957741735994383,Nb,1
野人谷,0.13957741735994383,Nc,1
平溪,0.13957741735994383,Nc,1
孤芳型,0.13957741735994383,Na,1
大華,0.13957741735994383,Nb,1
基隆河,0.13957741735994383,Nc,1
侯三公路,0.13957741735994383,Nb,1
三紹嶺,0.13957741735994383,Nc,1
清新,0.13957741735994383,VH,1
秀麗,0.13957741735994383,VH,1
自然,0.13957741735994383,VH,3
名氣,0.13471809047708155,Na,1
老街,0.09791559312789716,Nc,1
瑞芳區,0.09791559312789716,Nc,1
谷底,0.09791559312789716,Nc,1
禪修,0.09791559312789716,Na,1
石碇,0.09791559312789716,Nc,1
登山鞋,0.09791559312789716,Na,1
騎車,0.09791559312789716,VA,1
步伐,0.09791559312789716,Na,1
岩壁,0.09791559312789716,Na,1
反應,0.09791559312789716,Na,1
餵養,0.09791559312789716,VC,1
寧靜,0.09791559312789716,VH,1
野溪,0.09791559312789716,Nc,1
