words,tfidf,pos,freq
公園,7.044802345965799,Nc,45
流浪漢,3.4263887301438976,Na,10
散步,1.1965812118721981,VA,6
遊樂,1.1233404365152229,VA,7
籃球場,1.010806986440327,Nc,7
樹海,1.0,Nb,1
籃球,0.887177577559295,Na,9
悠閒,0.7333447766035898,VH,1
三重,0.6749973154440297,Nc,5
放電,0.6703354978814597,VA,1
溜滑梯,0.6054465202080191,VA,4
刨冰店,0.5773502691896257,Nc,1
二手菸,0.560013350079723,Na,1
酒鬼,0.547712528549268,Na,3
懷念,0.5376604912346317,VJ,1
三重區,0.5160690279132769,Nc,2
檳榔,0.48384105379412135,Na,2
茶室,0.4755418471439485,Nc,2
清茶,0.458052285374162,Na,1
魚肉,0.458052285374162,Na,1
酒瓶,0.4255301413628942,Na,2
牌子,0.42093386195706073,Na,1
邊緣,0.4186181319784836,Nc,1
遊樂場,0.3999688080565275,Nc,1
野餐,0.3876395228033547,VA,3
保母,0.3606496199253014,Na,1
手工,0.34608318887907275,Na,1
肉粥,0.34608318887907275,Na,1
雞捲,0.34608318887907275,Na,1
收容所,0.34605877262114904,Nc,1
街友,0.33813264891436384,Na,2
三重味,0.29772065222367844,Na,1
攤販,0.29772065222367844,Na,1
明牌,0.29772065222367844,Na,1
球場,0.2879422898881468,Nc,9
家當,0.2826213209340966,Na,1
心聲,0.26359021178107933,Na,2
賭場,0.23486266618565058,Nc,1
果皮,0.23486266618565058,Na,1
稅收,0.23486266618565058,Na,1
菸酒,0.23486266618565058,Na,1
腳踏車,0.22405760663416738,Na,2
社會,0.22297356236622162,Na,1
修德,0.22297356236622162,Nb,1
傷痕,0.21384295768317027,Na,1
歷史,0.21384295768317027,Na,1
起落,0.21384295768317027,Na,1
新北市,0.20932204390176,Nc,1
象棋,0.20202024406787628,Na,1
青少年,0.2008961813887769,Na,1
健身,0.2008961813887769,VA,1
草坪,0.20065016006866354,Na,2
菸蒂,0.19423789485745768,Na,1
主管,0.15932039769037093,Na,1
煙味,0.15932039769037093,Na,1
煙蒂,0.15932039769037093,Na,1
市容,0.1439711449440734,Na,1
常客,0.1439711449440734,Na,1
悲劇,0.1439711449440734,Na,1
手臂,0.1439711449440734,Na,1
防護欄,0.1439711449440734,Na,1
賭徒,0.13179510589053967,Na,1
黑版,0.13179510589053967,Na,1
阿公,0.13179510589053967,Na,1
賭鬼,0.13179510589053967,Na,1
賭王,0.13179510589053967,Na,1
行業,0.13179510589053967,Na,1
話題,0.13179510589053967,Na,1
看板,0.13179510589053967,Na,1
煙鬼,0.13179510589053967,Na,1
女人,0.13179510589053967,Na,1
菸鬼,0.13179510589053967,Na,1
樹叢,0.11202880331708369,Na,1
重陽路,0.11202880331708369,Nc,1
花草,0.11202880331708369,Na,1
租借處,0.11202880331708369,Nc,1
磚瓦,0.11202880331708369,Na,1
樹葉,0.11202880331708369,Na,1
大同北路,0.11202880331708369,Nc,1
植物,0.11202880331708369,Na,1
停靠站,0.11202880331708369,Nc,1
休息椅,0.11202880331708369,Na,1
中小型,0.11202880331708369,Na,1
三段,0.11202880331708369,Nc,1
慶典,0.10440753994133685,Na,1
花市,0.10440753994133685,Nc,1
