words,tfidf,pos,freq
蚊子館,2.5604900587866353,Nc,10
展覽,1.1712369282291024,VC,3
媽祖,1.1216733327086965,Nb,7
海邊,1.0563361944541483,Na,4
巨金,1.0,Na,1
蓮花座,0.715387117643367,Nb,4
夕陽,0.7014244880055709,Na,2
文化,0.6744273462241885,Na,3
大安,0.6040232242416386,Nc,3
diy,0.5507663655621,FW,0
拍照,0.5436079773556795,VB,2
海浪,0.5185015082848391,Na,1
白鯨,0.5185015082848391,Na,1
體驗,0.5185015082848391,VC,1
軍人,0.4718647342352846,Na,1
平台,0.4643865069227182,Na,4
媽祖廟,0.43643412094314865,Nc,1
教召,0.4007311795511967,Na,2
雙港,0.3758111038909709,Nc,1
稅金,0.3639362832335462,Na,1
海豚,0.3573615154171718,Na,1
蓮花台,0.3573615154171718,Na,1
蓮花,0.33396832141306626,Na,7
預算,0.33396832141306626,Na,2
海風,0.3316124629181315,Na,2
大安區,0.3249636410575815,Nc,1
潛力股,0.3249636410575815,Na,1
草地,0.2991608118535807,Nc,1
音樂會,0.2991608118535807,Na,1
沙灘,0.2991608118535807,Na,1
任內,0.2936363233004544,Na,1
盧秀燕,0.2936363233004544,Nb,1
雕像,0.2914051332966204,Na,4
功用,0.22099398880938043,Na,1
網友,0.22099398880938043,Na,1
便服,0.21875733332853065,Na,1
大甲,0.21875733332853065,Nc,1
集合地,0.21875733332853065,Nc,1
石片,0.1457025666483102,Na,2
濱海,0.12597733436324215,VH,1
護城河,0.12597733436324215,Na,1
虹橋,0.12597733436324215,Na,1
漁港,0.12597733436324215,Nc,1
海灘,0.12597733436324215,Na,1
樂園,0.12597733436324215,Na,1
排水道,0.12597733436324215,Na,1
北汕溪,0.12597733436324215,Nc,1
北汕,0.12597733436324215,Nc,2
園案,0.0728512833241551,Na,1
宮燈,0.0728512833241551,Na,1
底座,0.0728512833241551,Na,1
恩澤,0.0728512833241551,Na,1
意願,0.0728512833241551,Na,1
爭議,0.0728512833241551,Na,1
石材,0.0728512833241551,Na,1
興富發,0.0728512833241551,Nb,1
藝術品,0.0728512833241551,Na,1
裂痕,0.0728512833241551,Na,1
防護,0.0728512833241551,Na,1
雨露,0.0728512833241551,Na,1
