words,tfidf,pos,freq
西峰,2.90607055133445,Ncd,37
大屯山,2.62839541732626,Nc,27
南峰,2.334173179022773,Nc,29
步道,2.1857703261701564,Na,22
二子坪,1.992587250421478,Nc,22
大屯,1.7416367605891723,Nc,48
陽明山,1.456738653308513,Nc,5
主峰,1.4187646353978653,Na,16
原始,1.2616048837639124,VH,8
登山鞋,1.1897835432212294,Na,4
爬山,1.0964881468954393,VA,3
山頂,0.9170046277755975,Nc,8
手腳,0.9023922359735828,Na,4
繩索,0.7713037084123915,Na,5
攀岩,0.7644907492837905,VA,4
登山,0.7382835586821643,VA,13
繩子,0.7289549001093216,Na,4
攀爬,0.687487621897453,VC,5
遠足,0.6758793040262051,VA,2
泥土,0.6207790832461016,Na,5
台北,0.6101730444044379,Nc,9
方向感,0.5943953651378014,Na,1
小油坑,0.5214443803994804,Nc,5
體驗,0.4643640666572455,VC,1
面天坪,0.4564508233521126,Nc,4
繩陡,0.42447480603198273,Na,1
連峰,0.40827112577309493,Nb,5
泥巴,0.3729738991563336,Na,4
早鳥,0.36134345412421764,Na,1
基隆河,0.3418586543598837,Nc,1
平原,0.3418586543598837,Na,1
關渡,0.3418586543598837,Nc,1
遼闊,0.3402701267536775,VH,2
登山口,0.3248205158185044,Nc,3
在來,0.32422685205812357,Na,1
景像,0.312565016252833,Na,1
蒲葦,0.312565016252833,Na,1
叉路,0.2959664115280617,Na,1
套鞋,0.2950489450449916,Na,1
巴拉卡,0.2906993184485273,Nb,3
清天宮,0.2817078075544164,Nc,1
西南峰,0.2817078075544164,Nc,1
心智,0.2774237830318655,Na,1
泥人,0.2712854558932486,Na,1
台北市,0.2666755689690507,Nc,1
山脈,0.2666755689690507,Na,1
o型,0.2567304255091126,Na,0
臺北,0.25423183967493346,Nc,1
魔王級,0.24831158311056936,Na,2
平台,0.21827881565051666,Na,2
大屯坪,0.20401109810038282,Nc,3
爛泥巴,0.20295824065726242,Na,1
水尾,0.20191924104630374,Nc,2
石階,0.20191924104630374,Na,3
樹枝,0.1882105662338541,Na,1
大腿,0.18644631614120774,Na,1
群山,0.18644631614120774,Na,1
繁花,0.18644631614120774,Na,1
肌力,0.18644631614120774,Na,1
陰雨天,0.18644631614120774,Na,1
醣酵解,0.18399586290447348,Na,1
繩背,0.18399586290447348,Na,1
闊背肌,0.18399586290447348,Na,1
樹根,0.1825806221825621,Na,2
草叢,0.16842346610626918,Na,2
自然,0.15487324425088675,VH,3
石稜路,0.15487324425088675,Nc,2
助航台,0.14372308032886333,Nc,1
狹道,0.14258115132930305,Nc,1
峰頂,0.14258115132930305,Nc,1
成就感,0.14258115132930305,Na,1
土壤,0.14210833662520808,Na,1
石塊,0.14210833662520808,Na,1
氣喘,0.14210833662520808,Na,1
山峰,0.14210833662520808,Na,1
助航站,0.14210833662520808,Nc,1
人性,0.14210833662520808,Na,1
淡水河,0.13639063272011767,Nc,1
向天山,0.13639063272011767,Nc,1
海岸線,0.13639063272011767,Na,1
活動柱,0.13639063272011767,Na,1
台北港,0.13639063272011767,Nc,1
出海口,0.13639063272011767,Nc,1
麗娟,0.12415579155528468,Nb,1
夫妻,0.12415579155528468,Na,1
雅慧,0.12415579155528468,Nb,1
蜘蛛俠,0.12415579155528468,Nb,1
芒草叢,0.12415579155528468,Na,1
專車,0.12415579155528468,Na,1
竹子湖,0.12415579155528468,Nc,1
天坪,0.12415579155528468,Nb,5
四肢,0.12415579155528468,Na,1
劍竹林,0.12415579155528468,Na,1
伏地,0.12415579155528468,Na,1
溜滑梯,0.12415579155528468,VA,1
魔王段,0.12292230699872873,Na,1
袖套,0.12292230699872873,Na,1
芒花,0.12292230699872873,Na,2
山徑,0.12292230699872873,Na,1
柏油,0.0974248034826201,Na,1
頂湖,0.0974248034826201,Nc,1
陽明溪畔,0.0974248034826201,Nc,1
觀測站,0.0974248034826201,Nc,1
石板,0.0974248034826201,Na,1
陰涼處,0.0974248034826201,Nc,1
山友車,0.0974248034826201,Na,1
夜市,0.0974248034826201,Nc,1
劍潭站,0.0974248034826201,Nc,1
元氣,0.0974248034826201,Na,1
停車處,0.0974248034826201,Nc,1
山勢,0.07743662212544337,Na,1
遺跡,0.07743662212544337,Na,1
遺址,0.07743662212544337,Nc,1
警告牌,0.07743662212544337,Na,1
石階路,0.07743662212544337,Na,1
石屋,0.07743662212544337,Na,1
棉手套,0.07743662212544337,Na,1
松木橋,0.07743662212544337,Nc,1
木橋,0.07743662212544337,Na,2
浪漫,0.07743662212544337,VH,1
土泥地,0.07743662212544337,Na,1
土徑,0.07743662212544337,Na,1
凱達格蘭,0.07743662212544337,Nb,1
凱逹格蘭,0.07743662212544337,Nb,1
公園,0.07743662212544337,Nc,1
交叉點,0.07743662212544337,Nc,1
中正山,0.07743662212544337,Nc,1
一號,0.07743662212544337,Nc,1
大石,0.0690028969091966,Na,1
民航局,0.0690028969091966,Nc,1
爛泥路,0.0690028969091966,Na,1
