words,tfidf,pos,freq
古蹟,5.520009988435582,Na,29
砲台,4.397642673149509,Na,69
歷史,3.6386213675599133,Na,22
大武崙,3.5645244730171264,Nc,76
情人湖,3.0173516264166067,Nc,22
步道,2.8255066243282885,Na,16
基隆,2.784180167089481,Nc,48
大武崙山,2.134063285346434,Nc,17
散步,2.0374596177789304,VA,4
海景,1.8179015201381978,Na,7
健行,1.764667614386065,VA,5
遺址,1.2196662644109195,Nc,8
戰爭,1.2161957137091988,Na,18
百岳,1.2038996128338721,Neu,7
大砲,1.1983253160897935,Na,4
遺跡,1.1795497163857522,Na,6
砲臺,0.9516015457939757,Na,10
營房,0.9271949988044578,Nc,9
爬山,0.7875908317512847,VA,3
外木山,0.7414812587951217,Nc,5
軍事,0.7413467594700044,Na,7
壯觀,0.7333447766035898,VH,1
峰頂,0.7256250852639639,Nc,1
海邊,0.7217964800557801,Na,2
避暑,0.6775592303131509,VA,1
古跡,0.658548717240458,Na,1
骨肌,0.658548717240458,Na,1
健身,0.658548717240458,VA,1
基隆嶼,0.6556517502297862,Nc,3
環山,0.6394882533263367,VH,2
彈藥庫,0.6262460025559934,Na,5
清幽,0.602198898248277,VH,1
悠久,0.590049206249029,VH,2
思古,0.56898331414378,VH,2
三角點,0.5500198760568202,Nc,4
炮台,0.5358560316976833,Na,4
堡壘,0.5307766761933993,Na,10
噪音,0.5226056762201745,Na,4
營舍,0.5219358969740995,Nc,5
日軍,0.5187415734762042,Na,6
解說牌,0.5140068376080278,Na,2
海門,0.5090231215877978,Na,1
砲台區,0.49775567655495484,Nc,4
夜景,0.4948839545352497,Na,1
文化,0.4934186572507569,Na,6
拍照,0.4925976057594221,VB,4
北海岸,0.4859870781536065,Nc,3
古老,0.4695173382504716,VH,2
溽暑,0.46021753179152675,Na,1
清涼,0.46021753179152675,VH,2
觀景台,0.43415143149450497,Nc,3
世界史,0.41988402515494,Na,1
老鷹岩,0.41154175053239606,Na,3
山區,0.41068997280502056,Nc,2
滿天星,0.3993307675633776,Na,1
文物,0.39362146974310946,Na,1
穿越機,0.3919542571651308,Na,3
一絕,0.39157194462069755,Na,1
寧靜,0.38373992033216403,VH,1
史蹟,0.3814947867717825,Na,1
週線,0.3814947867717825,Na,1
鳳蝶,0.3797186072127502,Na,1
老鷹,0.3797186072127502,Na,4
基隆市,0.37771375714184513,Nc,8
空拍,0.37632762265615677,Na,3
公園,0.3693519271941764,Nc,3
海岸,0.366700355819926,Nc,6
港口,0.36260378690085443,Nc,3
房舍,0.34639112230677366,Na,1
煤礦,0.340147029608988,Na,1
戰火,0.340147029608988,Na,1
兵家,0.340147029608988,Na,1
福爾摩沙,0.340147029608988,Nc,1
潮濕度,0.3387205698273232,Na,1
牌告,0.3387205698273232,Na,1
貨船,0.33820790647517857,Na,1
踏青,0.33466013442413534,VA,1
砲彈,0.3344939062670078,Na,3
清涼感,0.33116090981783974,Na,1
營地,0.32661083457846324,Nc,1
沿革,0.3186474218132066,Na,1
構造,0.3167543317435063,Na,6
吊橋,0.3148671391551617,Na,2
膽子,0.30982559965479073,Na,1
蝙蝠,0.30982559965479073,Na,1
歷史性,0.3014958971609778,Na,1
權責,0.3014958971609778,Na,1
海防,0.29519675949038177,Na,3
拍攝,0.29440694374084486,VC,1
膠囊,0.29440694374084486,Na,1
光陰,0.29440694374084486,Na,1
遼闊,0.291405636419322,VH,1
山坡,0.291405636419322,Na,1
仙島,0.291405636419322,Nc,1
漁港,0.2762225839697747,Nc,3
木山,0.2682512895259605,Nc,8
空拍機,0.26130283811008725,Na,2
異地,0.2577228184402329,Nc,1
駐軍,0.2577228184402329,Na,1
高點,0.25747105451970675,Na,4
蝴蝶,0.25747105451970675,Na,1
石碑,0.24945255915915915,Na,1
隧道,0.24945255915915915,Na,1
起始,0.24670932862537845,Na,1
磚頭,0.24670932862537845,Na,1
淵源,0.24670932862537845,Na,1
古代,0.24670932862537845,Nd,1
情人塔,0.2368329473367252,Na,1
海岸線,0.235358859531462,Na,1
屏障,0.235358859531462,Na,1
暗黑面,0.23466605276727698,Na,1
清代人,0.23466605276727698,Na,1
二級,0.23065378350391408,Na,3
涼爽,0.22822388913976602,VH,1
平台,0.22822388913976602,Na,1
砲座區,0.22110991661912485,Nc,4
現代人,0.21978627271372136,Na,1
毒蛇,0.21978627271372136,Na,1
作用,0.21978627271372136,Na,1
稜堡,0.21034187573533492,Nc,4
掩蔽部,0.21034187573533492,Nc,4
要領,0.2100397578141387,Na,4
登山,0.2081920669472906,VA,2
蓄水池,0.20272372757692958,Na,2
洞窟,0.20272372757692958,Na,2
機械,0.19318071513088295,Na,1
東棱堡,0.19318071513088295,Nc,1
南棱堡,0.19318071513088295,Nc,1
北棱堡,0.19318071513088295,Nc,1
儲彈室,0.19318071513088295,Nc,1
