words,tfidf,pos,freq
步道,3.895763353178959,Na,12
頂山,1.3754091324555309,Nc,7
郊山,1.2731013297219556,Nc,3
大棟山,1.2648363798777111,Nc,6
大湖,1.2470548312506047,Nc,6
山頂,1.0755547770577687,Nc,3
龜山,1.0526708178063353,Nc,5
高地,0.6581693002883398,Na,3
產業道路,0.6573548631751772,Na,2
山林,0.652635795171326,Nc,1
新嶺,0.6287742417176043,Nb,4
健行,0.5773502691896257,VA,1
爬山,0.5773502691896257,VA,1
涼爽,0.5197753650720296,VH,1
山區,0.5120527851598061,Nc,5
桃園市,0.48573090680593856,Nc,1
龜山區,0.48573090680593856,Nc,1
天然,0.4741871291364878,A,1
五色鳥,0.44920646176283097,Na,2
礦務,0.44192698896126176,Na,1
稜線,0.41095133023472613,Na,2
生態,0.35991560037015286,Na,2
親民,0.33796114740012556,VH,1
先況,0.3039676976617377,Na,1
環垸,0.3039676976617377,Na,1
散步,0.2933817787358413,VA,1
踏青,0.2933817787358413,VA,1
公園,0.2887720072967403,Nc,3
龜崙嶺,0.2887720072967403,Nc,3
風景區,0.2887720072967403,Nc,3
桃園,0.2756857271067011,Nc,2
標高,0.23889953661825722,Na,1
自兔坑,0.23889953661825722,Na,1
平台,0.23889953661825722,Na,1
建設廳,0.23889953661825722,Nc,1
指標圖,0.23584615660797162,Na,1
標示牌,0.23584615660797162,Na,1
觀點,0.23584615660797162,Na,1
農藥,0.22460323088141548,Na,1
樹蛙,0.22460323088141548,Na,1
菜園,0.22460323088141548,Nc,1
藍鵲,0.22460323088141548,Na,1
健走,0.20547566511736307,VA,1
協会,0.20547566511736307,Nc,1
新嶺里,0.20547566511736307,Nc,1
群山,0.19870929653457364,Na,1
鶯歌石,0.19870929653457364,Na,1
輪胎,0.19870929653457364,Na,1
原始,0.19870929653457364,VH,1
榕樹,0.19870929653457364,Na,1
大湖頂山,0.19870929653457364,Nc,1
植物,0.1721471633147371,Na,1
路線圖,0.1721471633147371,Na,1
登山,0.1721471633147371,VA,1
昆蟲,0.1721471633147371,Na,1
大凍山,0.1721471633147371,Nc,1
o型,0.1714944861829634,Na,0
尖東,0.1714944861829634,Nc,1
山徑,0.1714944861829634,Na,1
新嶺山,0.1714944861829634,Nc,1
項圈,0.1714944861829634,Na,1
馬頭,0.1714944861829634,Na,2
馬頭厝山,0.1714944861829634,Nc,1
主管,0.0962573357655801,Na,1
保育區,0.0962573357655801,Nc,1
八卦山,0.0962573357655801,Nc,1
區公所,0.0962573357655801,Nc,1
土雞城,0.0962573357655801,Nc,1
層級,0.0962573357655801,Na,1
山坡地,0.0962573357655801,Na,1
觀音山,0.0962573357655801,Nc,1
