words,tfidf,pos,freq
龜山島,7.411238713852084,Nc,31
日出,4.306440042296891,VA,20
自行車道,3.652999834949077,Na,19
沙灘,2.8939155984921494,Na,14
觀景台,2.722542853253249,Nc,11
大福,2.564528693826932,Na,15
拍照,2.142134162859315,VB,8
福地,2.073740674410462,Nc,3
夕陽,1.9715139410262412,Na,4
海邊,1.7847113674058919,Na,8
平台,1.6102517696277223,Na,4
海灘,1.5761279383142266,Na,8
海岸,1.0590040195849888,Nc,4
海龜,1.0011043903573413,Na,2
觀點,1.0,Na,1
石花凍,1.0,Na,1
散步,0.9691681079742883,VA,2
釣魚人,0.8692794228203385,Na,1
天晴,0.8638787817141613,Nc,2
藝術,0.7988948701818748,Na,3
碉堡,0.7869305511199487,Na,6
海岸線,0.7815768511710212,Na,2
遼闊,0.7785903875573321,VH,2
夜總會,0.7212722489496395,Nc,3
墓地,0.6427083068344898,Nc,3
海天一色,0.6357230229665212,Na,2
海風,0.6282109946669765,Na,2
悠閒,0.6171405133703006,VH,1
墳墓區,0.5998118795098404,Nc,2
爆裂物,0.5976099127912078,Na,2
墳墓,0.5968503776400558,Na,4
公園,0.5903989439431283,Nc,2
軍事,0.5838481741941857,Na,2
腳踏車,0.5832631566284595,Na,3
一望無際,0.5773502691896257,VH,1
好兄弟,0.5251808155362298,Na,1
家路,0.5251808155362298,Nc,1
旭日,0.514186912282687,Na,4
雲層,0.4990360456874182,Na,3
看台,0.4904239747372358,Na,2
底盤,0.4891022607539961,Na,2
未爆彈,0.4882252535458719,Na,1
自行車,0.4666364239743475,Na,21
潮水,0.4580469900667415,Na,1
蘭陽,0.4354611279959405,Nc,3
螃蟹,0.4239621753711471,Na,1
手腳,0.41985768390848416,Na,1
檯面,0.41985768390848416,Nc,1
海濱,0.4049824211854815,Nc,1
濱海,0.3990009266676835,VH,6
濱刺麥,0.3940565400383253,Na,1
體驗,0.3940565400383253,VC,1
環島,0.3939071238206978,VA,1
墳場,0.39363984937442276,Nc,1
觀海,0.38313723359265855,VA,1
騎車,0.38199152437634143,VA,1
寬度,0.37632543641247196,Na,1
龜島,0.37632543641247196,Nc,1
羅東,0.37349518815708727,Nc,2
時機點,0.3659169844282022,Na,1
逆光,0.35939547892837304,Na,1
人像,0.35939547892837304,Na,1
腳踏車道,0.35436829271736897,Na,1
朝日,0.3504670860323006,Na,3
龜山,0.3504670860323006,Nc,34
視角,0.34652166055622075,Na,1
黃金龜,0.34652166055622075,Na,1
永鎮,0.3336072080617674,Nc,2
射擊場,0.3282654068615489,Nc,1
軍營,0.3142829640111613,Nc,1
步道,0.3142829640111613,Na,1
海景,0.31363197429809175,Na,4
海平面,0.28583902603911127,Na,5
玩水,0.28098309782498204,VA,1
大福村,0.2803251656749265,Nc,2
陰宅,0.27519876528064374,Na,1
祖宗,0.27519876528064374,Na,1
大車,0.27519876528064374,Na,1
亭子,0.27063657249416634,Na,1
商家,0.27063657249416634,Na,1
導覽車,0.27063657249416634,Na,1
日台,0.26729620618823724,Nc,4
安檢所,0.2452119873686179,Nc,1
炮彈聲,0.2386974511071449,Na,1
日落,0.2386974511071449,VA,1
試驗場,0.2386974511071449,Nc,1
兵器,0.2386974511071449,Na,1
海浪,0.23661481600726827,Na,2
平原,0.23607637733405787,Na,1
迷霧,0.23607637733405787,Na,1
匯車,0.21555049471874366,Nc,1
車身,0.21555049471874366,Na,1
路宅,0.21261516976786457,Nc,1
踏浪,0.21261516976786457,VA,1
卡到,0.21261516976786457,Na,1
反方向,0.21261516976786457,Na,1
濱海公路,0.2076356421384055,Nc,2
安危,0.1890661546819512,Na,1
威脅,0.1890661546819512,Na,1
亀山島,0.17150341562346677,Nc,3
亀頭,0.17150341562346677,Na,3
堤道,0.17150341562346677,Na,3
五結,0.1668036040308837,Na,1
盪鞦韆,0.13840816220038807,VA,1
ㄧ般人,0.13840816220038807,Na,1
效益,0.13840816220038807,Na,1
海潮,0.11682236201076686,Na,1
氣象局,0.11682236201076686,Nc,1
網站,0.11682236201076686,Nc,1
季風,0.11682236201076686,Na,1
宜蘭,0.11682236201076686,Nc,2
亀山,0.11433561041564451,Nc,5
窄道,0.057167805207822255,Na,1
草叢,0.057167805207822255,Na,1
紅彩,0.057167805207822255,Na,1
紅日,0.057167805207822255,Na,1
群星,0.057167805207822255,Na,1
白日,0.057167805207822255,Na,1
螢火蟲,0.057167805207822255,Na,1
觀日區,0.057167805207822255,Nc,1
觀日客,0.057167805207822255,Na,1
身型,0.057167805207822255,Na,1
週遭,0.057167805207822255,Nc,1
相機,0.057167805207822255,Na,1
表演,0.057167805207822255,VC,1
漁火,0.057167805207822255,Na,1
海灘區,0.057167805207822255,Nc,1
曙光,0.057167805207822255,Na,1
強光,0.057167805207822255,Na,1
宜蘭縣,0.057167805207822255,Nc,1
台北市,0.057167805207822255,Nc,1
北斗七星,0.057167805207822255,Nb,1
光芒,0.057167805207822255,Na,1
光柱,0.057167805207822255,Na,1
光景,0.057167805207822255,Na,1
拍攝,0.057167805207822255,VC,1
雪隧,0.057167805207822255,Nc,1
