words,tfidf,pos,freq
潤濟宮,0.8477531384796277,Nc,5
山頂,0.7280404756050727,Nc,4
環山,0.7071067811865475,VH,1
原始,0.6681785875550793,VH,4
o型,0.6091454904467204,Na,0
登山口,0.6057195608006971,Nc,3
郊山,0.45887432175319215,Nc,1
大茅埔山,0.41534004080342357,Nc,2
步道,0.3916947892253557,Na,2
雜草叢生,0.2875835621467517,VH,1
傷口,0.2875835621467517,Na,1
油桐花,0.2875835621467517,Na,1
分歧點,0.2524006915368811,Na,1
蔓草,0.24869129386603295,Na,1
荒煙,0.24869129386603295,Na,1
五寮尖,0.24869129386603295,Nc,1
三角點,0.24869129386603295,Nc,1
安坑,0.2311859768686134,Nb,1
新北市,0.2311859768686134,Nc,1
新店區,0.2311859768686134,Nc,1
潤濟山,0.2311859768686134,Nc,1
山徑,0.20940551521691558,Na,1
繩子,0.20940551521691558,Na,1
路跡,0.20940551521691558,Na,1
三段,0.20015723196803925,Nc,1
安康路,0.20015723196803925,Nc,1
手腳,0.20015723196803925,Na,1
新店,0.20015723196803925,Nc,2
灌木叢,0.20015723196803925,Na,1
繩索,0.20015723196803925,Na,1
