words,tfidf,pos,freq
步道,3.479206063538667,Na,17
木馬道,2.1009854546838684,Na,17
芬多精,1.647633394669486,Na,6
清幽,1.2317785288474052,VH,2
森林,1.0153355629793108,Na,4
大雪山,0.9729708353654302,Nc,6
林道,0.8189783929381751,Na,6
工作站,0.7694003710514766,Na,5
寧靜,0.7391387109017791,VH,1
鞍馬山,0.7125212552644757,Nc,6
踏青,0.6130451230238986,VA,1
木馬,0.6075844725364512,Na,20
檜木,0.5342878644570024,Na,3
三角型,0.4746183586795077,Na,1
天然,0.4608362740439845,A,2
鞍馬,0.44865508603170545,Nc,8
古道,0.43451197170903777,Na,1
神木群,0.43451197170903777,Na,1
筏木,0.42414266630257885,Na,1
健行,0.40635065550711513,VA,2
低溫,0.3794994888133215,Na,1
大自然,0.3794994888133215,Nc,1
清涼,0.3762438533512904,VH,2
山景,0.3751926546692282,Na,1
雲影,0.3751926546692282,Na,1
瀑布,0.35681359754323616,Na,2
避暑,0.35205623042090417,VA,1
巨木,0.35205623042090417,Na,1
林木,0.33658644615400024,Na,1
松針,0.33658644615400024,Na,1
登山口,0.32797234149183824,Nc,2
o型,0.32797234149183824,Na,1
健身,0.3203339126961102,VA,1
林像,0.3203339126961102,Nb,1
難易度,0.3203339126961102,Na,1
爬山,0.3203339126961102,VA,1
登山,0.31526422038998764,VA,4
小雪山,0.3094247000824472,Nc,2
涼爽,0.28193180901046067,VH,1
生態,0.2789757554456029,Na,1
神木,0.2789757554456029,Na,2
森林浴,0.2632609539199838,Na,1
楓樹,0.25976468138915965,Na,1
楓葉,0.25976468138915965,Na,1
清新,0.24445442969074865,VH,1
收費站,0.24445442969074865,Nc,1
木橋,0.24306966433295937,Na,2
岔路,0.22887948277567308,Na,3
闊葉森,0.19044477142570973,Na,1
山麓,0.19044477142570973,Na,1
香氣,0.19044477142570973,Na,1
原始,0.19044477142570973,VH,1
木棧道,0.18091706548676917,Nc,1
釘子,0.18091706548676917,Na,1
體驗,0.17924016459690995,VC,1
拍照,0.17924016459690995,VB,1
歷史,0.17924016459690995,Na,1
經理,0.17924016459690995,Na,1
遺跡,0.17924016459690995,Na,1
三叉,0.16398617074591912,Na,1
雪山,0.16398617074591912,Na,9
終點站,0.07629316092522437,Nc,1
郊山,0.07629316092522437,Nc,1
路跡,0.07629316092522437,Na,1
蟲鳴,0.07629316092522437,Na,1
散步,0.07629316092522437,VA,1
棧道,0.07629316092522437,Na,2
支線,0.07629316092522437,Na,1
地基,0.07629316092522437,Na,1
鐵橋,0.07629316092522437,Na,1
