words,tfidf,pos,freq
步道,2.3864131235785315,Na,13
腳踏車,1.3799020006969913,Na,7
山壁,0.9107841970966051,Na,3
溫泉,0.8784472989762692,Na,7
足湯,0.7428931652046072,Na,3
部落,0.7364964705746828,Nc,6
導覽,0.7358829803391871,VC,2
太麻里溪,0.5773502691896257,Nc,1
散步,0.575117391763029,VA,2
寧靜,0.5242025136590307,VH,1
生命力,0.5242025136590307,Na,1
拍照,0.517089390198118,VB,2
簡單版,0.505266071516579,Na,1
公園,0.47346996683801273,Nc,3
金峰鄉,0.4675169865931193,Nc,4
路口處,0.4203009933947934,Nc,1
曲線,0.38576894352620633,Na,1
嘉蘭,0.3754376208528434,Nc,4
遊客站,0.3714657921335519,Nc,2
玩水,0.3653621343053928,VA,1
邊邊,0.3488714931942771,Nc,1
涼爽,0.3119167535392124,VH,1
天然,0.30408290381154607,A,1
清新,0.30408290381154607,VH,1
自然,0.30408290381154607,VH,1
親子車,0.22196262222783752,Na,1
體驗,0.22065624670857953,VC,2
苔球,0.22065624670857953,Na,2
周三五,0.18951300914197133,Nb,1
保險,0.18573289606677595,Na,1
愜意,0.14713861352018964,VH,1
表演,0.14713861352018964,VC,1
市集,0.14713861352018964,Na,1
登高,0.1465096374266313,VA,1
台9線,0.1465096374266313,Nc,1
鳥糞,0.1465096374266313,Na,1
小棧,0.11032812335428976,Nc,1
自行車,0.11032812335428976,Na,1
種子,0.11032812335428976,Na,1
溫泉池,0.11032812335428976,Na,1
文化,0.11032812335428976,Na,1
傳統,0.11032812335428976,VH,1
客鄉,0.11032812335428976,Nc,1
土球,0.11032812335428976,Na,1
嘉蘭村,0.11032812335428976,Nc,1
療癒,0.11032812335428976,VC,1
馬可樓,0.11032812335428976,Nc,1
