words,tfidf,pos,freq
拍照,13.476592256165837,VB,52
體驗,12.321618622115865,VC,60
懷舊,8.530555634029419,VH,18
文創,5.690538961360115,Na,28
天送埤,4.666945379561618,Nc,25
繩索,4.517992154589855,Na,19
歷史,4.177314445591386,Na,18
蔥油餅,3.1100573048757525,Na,8
星空,3.038326005760219,Na,13
散步,2.9836040917700286,VA,9
復古,2.945797364221649,VHC,7
宜蘭,2.541006617915987,Nc,14
太平山,2.191490172253014,Nc,9
悠閒,2.128962847475818,VH,6
商店,2.020037866578755,Nc,11
鐵路,2.009532679121979,Na,9
愜意,1.6769888533987176,VH,4
遊園,1.6629075239892839,VA,8
鐵道,1.6422822274730913,Na,7
森林,1.6281962020959424,Na,7
文化,1.6215785951204258,Na,4
木馬,1.5475906978205765,Na,7
火車票,1.4054282057858472,Na,6
滑索,1.385211075055489,Na,6
古老,1.3395120774751803,VH,3
文創區,1.335762807216366,Nc,2
膽量,1.3332519595859056,Na,5
林鐵,1.3325816705486027,Nb,6
櫻花,1.2749176884800784,Na,4
diy,1.259414948073109,FW,2
古色古香,1.2514758971438833,VH,3
列車長,1.2366323663161407,Na,5
落羽松,1.1623565983239,Na,3
地熱,1.1216991975395965,Na,5
古樸,1.1015911150023854,VH,2
懷古,1.0800380791449802,VH,2
鋼索,1.047394436922174,Na,4
步道,1.0212110702147312,Na,2
攤位,1.0111119386130416,Na,2
羅東,1.0103015619303242,Nc,5
點數,1.0060958125788906,Na,3
機車位,1.0,Na,1
放電,0.9917265787511103,VA,2
遺跡,0.9260319045227077,Na,3
舊地,0.8880447704045995,Nc,2
攀爬,0.8702134016273007,VC,3
低空,0.8478120009561092,Nc,5
遊樂,0.842210397027565,VA,3
藝術,0.840742441067458,Na,3
古蹟,0.822589908521242,Na,2
環湖,0.8108856605673498,A,1
月台,0.8069999758668971,Nc,3
踏青,0.8052848374402876,VA,1
導覽,0.7906854083107091,VC,4
紀念品,0.7531803986823111,Na,4
伴手禮,0.7335884939439228,Na,2
拓也哥,0.7274514988312172,Nb,1
馬內利,0.7071067811865475,Nb,1
無華,0.7071067811865475,Nb,1
哈利路亞,0.7071067811865475,Nb,1
禮品,0.6925500339487209,Na,3
安農溪,0.6874427193273738,Nc,2
鐵軌,0.6865181254408862,Na,3
日式,0.6853411908634592,A,3
紀念,0.6786729549048666,VJ,5
手工,0.674763381898887,Na,2
車券,0.6721055929293209,Na,4
日本,0.6692786896829297,Nc,3
電視劇,0.667711218657192,Na,2
列車,0.6666739406872815,Na,8
公園,0.6551069436178756,Nc,2
清幽,0.6540584796011073,VH,2
麵包,0.6479156238306235,Na,3
愛情,0.6385161245440885,Na,1
教學,0.631412751561456,VA,2
珍香,0.628249228113889,Nb,5
關卡,0.6253073267921206,Na,3
親民,0.6244640024344589,VH,1
體育活動,0.6226157200841513,Na,1
青少年,0.6226157200841513,Na,1
拍攝點,0.6226157200841513,Na,1
體驗票,0.6137752380932399,Na,1
福美卜肉,0.6025488929759915,Nb,3
冰淇淋,0.5980332634521818,Na,2
風景區,0.5864463689515963,Nc,1
購物,0.5655250698779531,VA,2
療癒,0.5653310288309761,VC,2
美文,0.5596314777668135,Na,1
青風,0.5596314777668135,Na,1
蔥餅,0.5589806428892348,Na,2
售票機,0.5370233212124054,Na,2
建案,0.5336974307821967,Na,2
熱鬧,0.527933170388854,VH,2
人文,0.5204080510924899,Na,2
小物,0.5186122753569838,Na,1
冰沙,0.5144335126520049,Na,4
放風,0.506059496585316,VA,1
檸檬汁,0.5057286328283606,Na,1
比薩,0.5004492477402704,Na,1
索道,0.5004492477402704,Na,1
文青,0.49204401069073256,Nb,1
味珍香,0.48378479103519845,Na,2
起司,0.48267230682589785,Na,2
火車迷,0.48138413906207683,Na,1
菜單,0.4806665809232947,Na,1
品項,0.47688909377617744,Na,1
養分,0.4730111223509168,Na,1
桂花,0.46020020216068985,Na,1
福山街,0.4585188453485712,Nc,2
天送,0.452623125820115,Na,29
櫻花季,0.4498186819050885,Na,1
藤索,0.4494465173498283,Nb,1
清新,0.4448283852110155,VH,1
自然,0.4425547706577407,VH,1
自行車,0.4421306436430741,Na,2
發電廠,0.43912537107184824,Nc,2
登高,0.43045660476858905,VA,2
二手菸,0.42761446610274795,Na,1
私廚,0.4243348381516115,Nc,1
隧道段,0.42116445123127955,Nc,1
意願,0.41938133746741313,Na,2
小品,0.41357055468834863,Na,1
吊繩,0.4021985007840408,Na,1
三星鄉,0.4019378610221843,Nc,2
祈福亭,0.39761454644553706,Nc,2
黃犬,0.39014884074038414,Na,1
男女,0.38742607635987336,Na,1
文物,0.38702988594623866,Na,2
腳踏車,0.385633552023533,Na,2
蒸氣,0.38454139180578084,Na,2
情景,0.38243480122989326,Na,1
流籠,0.38243480122989326,Na,1
可愛店,0.3809780673033215,Nc,1
雨勢,0.38070130647477585,Na,2
纜繩,0.37622015784772567,Na,1
五分仔,0.37043648016737646,Na,1
在來,0.36971857930814894,Na,1
原木,0.3678263450816129,Na,2
號碼牌,0.3632248771798936,Na,1
教練群,0.3631523224457329,Na,1
刺激度,0.3631523224457329,Na,1
農村,0.3559686896493357,Nc,1
飛索,0.3559686896493357,Na,1
歷史感,0.35101324336037276,Na,1
拍攝,0.35070173444214686,VC,5
店貓,0.3503010354047703,Na,1
下午茶,0.3503010354047703,Na,1
還原度,0.3463683768486551,Na,1
歷史性,0.3463683768486551,Na,1
仆肉,0.3463683768486551,Na,1
熊貓,0.34241111285005404,Na,1
小木屋,0.3408709090275667,Nc,1
娛樂區,0.33932514708209155,Nc,1
祈福,0.3343919251899784,VB,3
許願盆,0.3343919251899784,Na,1
藝品,0.3343919251899784,Na,1
拍攝地,0.333855609328596,Nc,1
文康,0.3334848865992741,Nb,1
台北,0.3212962691107107,Nc,2
蔥花,0.3212962691107107,Na,1
中途點,0.3211667094557473,Nc,1
蛋糕,0.32044423220773,Na,1
精油,0.32044423220773,Na,1
布鞋,0.3199759534888542,Na,1
零嘴,0.3191348886354646,Na,1
綠意盎然,0.318435747572467,VH,2
新起里,0.3166263077008916,Nc,1
台北市,0.3166263077008916,Nc,1
萬華區,0.3166263077008916,Nc,1
吊橋,0.3092383330731147,Na,1
終點站,0.30503104719349605,Nc,1
全身,0.30328358481465306,Nc,1
林務,0.3014139464943201,Na,1
特點,0.3014139464943201,Na,1
小咪,0.30049103296007335,Nb,1
花生粉,0.2990166317260909,Na,1
花生糖,0.2990166317260909,Na,1
遊園區,0.29553538327683376,Nc,1
星光,0.29087415918125015,Na,1
頭尾,0.29053226794059084,Na,1
站長,0.28485574580517425,Na,2
桌遊,0.28441238353758336,Na,1
模樣,0.2822709004489762,Na,1
門廊,0.2822709004489762,Na,1
手作,0.27805252527012503,Na,1
故事館,0.27805252527012503,Nc,1
電廠,0.2633012476721635,Nc,3
生機,0.2633012476721635,Na,1
創生,0.2633012476721635,Na,1
幽靜,0.2627886819776074,VH,1
體重,0.2584021763221053,Na,1
格子,0.2573502678025504,Na,1
原址,0.2548300565821422,Na,1
鐘头,0.2512197218800956,Na,1
餐具組,0.24955300788337406,Na,1
膽子,0.24955300788337406,Na,1
禮品店,0.24955300788337406,Nc,1
平原,0.2490510703851778,Na,1
鄉間,0.2490510703851778,Nc,1
遼闊,0.2490510703851778,VH,1
攤販,0.24864684858019134,Na,1
座墊,0.24479215047065095,Na,1
過年,0.23850483458751984,VA,1
宜蘭行,0.23850483458751984,Na,1
建商,0.23722799080251067,Na,1
女人,0.23485729416827839,Na,1
腦子,0.23485729416827839,Na,1
蔥油餅店,0.2302412598248355,Na,1
規道,0.2302412598248355,Na,1
店數,0.2302412598248355,Na,1
技能,0.22940143958924344,Na,1
上下客,0.2292594226742856,Na,1
小黃,0.22783330329816823,Nb,1
園區票,0.22760955440296585,Na,1
舊型,0.22760955440296585,Na,1
候車室,0.2272814739008662,Nc,1
保險櫃,0.2272814739008662,Na,1
站體,0.2272814739008662,Na,1
骨董級,0.2272814739008662,Na,1
三星蔥,0.22719163684017202,Na,1
蔥香,0.22719163684017202,Na,1
起士,0.22719163684017202,Na,1
紅磚,0.22719163684017202,Na,1
土司,0.22719163684017202,Na,1
多層次,0.2246687329930658,Na,1
偶像劇,0.22128315268079168,Na,2
乘車券,0.22040457960363594,Na,1
卜肉店,0.2203945938978973,Nc,1
站點,0.2203945938978973,Na,1
列車亭,0.21213967374798617,Na,1
格位,0.21213967374798617,Na,1
體驗式,0.21213967374798617,Na,1
女士,0.20730303249655996,Na,1
成年人,0.20432785252514873,Na,1
林場,0.20429874156974828,Nc,1
工人,0.20429874156974828,Na,1
閥木,0.20429874156974828,Nb,1
蔣經國,0.20429874156974828,Nb,1
胖子,0.20429874156974828,Na,1
土場,0.20429874156974828,Nc,1
姨丈,0.20429874156974828,Na,1
爬山,0.20429874156974828,VA,1
劍橋,0.20248663799294842,Nc,1
英國,0.20248663799294842,Nc,1
蘭陽,0.20248663799294842,Nc,1
毛毛蟲,0.1904227923758057,Na,1
油味,0.1904227923758057,Na,1
消費額,0.1904227923758057,Na,1
薯泥條,0.1904227923758057,Na,1
荒地,0.18888713956681877,Na,1
工地,0.18888713956681877,Na,1
天送碑,0.18857468316064216,Nb,1
