words,tfidf,pos,freq
海景,7.289662705322305,Na,19
台東,5.827380482056773,Nc,18
日出,5.673348802501146,VA,14
拍照,5.124107868114403,VB,21
海岸線,4.660631672858586,Na,13
曙光,3.944263815767482,Na,11
海灣,3.378592584952478,Na,14
多良,3.215618720403852,Nb,13
太麻里,2.7941243234935493,Nc,13
觀景台,2.490856909899829,Nc,12
華源,2.138550226918866,Nb,18
平台,2.0490275047905646,Na,4
海岸,1.8876284565407917,Nc,20
遼闊,1.663530574565762,VH,4
綠島,1.6108835780779671,Nc,7
南迴,1.5400235959471908,Na,10
鐵路,1.3499007326309505,Na,4
華源灣,1.173056116835906,Nc,5
沙灘,1.0263008678706231,Na,3
海灘,0.8925353395961719,Na,2
海邊,0.8607735637070849,Na,3
天氣棒,0.8067243255162405,Na,1
蘭嶼,0.7953306160685993,Nc,3
秀麗,0.7502704210726097,VH,1
家鄉,0.7299459843667484,Nc,1
鐵軌,0.7284166263736718,Na,2
海天,0.7071067811865475,Na,2
月光海,0.6948187308762401,Na,1
台九,0.6129502162827335,Nc,3
拍攝,0.6066235450826085,VC,3
鐵道迷,0.6046710507436577,Na,3
登高,0.5895830413046843,VA,1
水池,0.5788108979593625,Na,2
山嶽,0.5773502691896257,Na,1
露日,0.5773502691896257,Na,1
海天一色,0.5588220649587724,Na,1
環景,0.5513662920242955,Na,1
藝術,0.5273077451911056,Na,2
鐵道,0.5202429413215592,Na,6
大巴,0.5185633724993306,Na,1
紀念,0.5160301574244687,VJ,2
南迴公路,0.4844390841731088,Nc,2
東部,0.4587719792549593,Ncd,1
拍照點,0.45036705326909426,Na,1
玩水,0.41653268838550855,VA,1
三仙台路,0.41112787218997215,Nc,1
愛琴海,0.4074357697760972,Nc,1
至高點,0.40010593991743737,Na,1
公路線,0.39935048951021546,Na,1
鐵道線,0.39935048951021546,Na,1
快門,0.39829772013503706,Na,1
快感,0.37296249694355116,Na,1
景觀區,0.3700049832806527,Nc,1
美麗灣,0.3700049832806527,Nb,1
山巒,0.363571459373878,Na,1
山坡,0.3503573546404836,Na,1
度假,0.33866441923123086,VA,1
下午茶,0.33866441923123086,Na,1
境連,0.33849110002701505,Na,1
雜草叢生,0.32900163454761283,VH,1
南迴海,0.3206241860182165,Na,1
容貌,0.3182664080912161,Na,1
黑人,0.3175629001227066,Na,1
貝貝,0.3175629001227066,Nb,1
冰沙,0.3175629001227066,Na,1
台11線,0.3170051868589899,Nc,1
劉慶保,0.31092154081908374,Nb,1
導遊級,0.31092154081908374,Na,1
一望無際,0.304538978009875,VH,1
高點,0.304538978009875,Na,4
文化,0.29684211593383114,Na,3
觀點,0.28552045503507073,Na,1
劃面,0.2797956300588206,Na,1
美圖,0.2797956300588206,Nb,1
花東線,0.2797956300588206,Nc,1
台鐵,0.2797956300588206,Nc,1
祕境,0.27659823383738014,Nc,1
清幽,0.2741111702764719,VH,1
叉路,0.27254932298414,Na,1
無華,0.27254932298414,Nb,1
華園,0.27254932298414,Nc,1
騎車,0.26702373741654245,VA,1
英文字,0.26702373741654245,Na,1
軌道,0.2622227812154707,Na,1
玩伴,0.2581988897471611,Na,1
美国,0.2581988897471611,Nc,1
趣味,0.2581988897471611,Na,1
月亮海,0.2540301503718308,Na,1
山脈,0.23858597546922825,Na,1
南迴路幅,0.23858597546922825,Na,1
公園,0.20427782574941536,Nc,1
平交道,0.20427782574941536,Nc,1
觀景臺,0.20427782574941536,Nc,1
巨人,0.20427782574941536,Na,1
優點,0.19499868179900393,Na,1
正港,0.19499868179900393,Nc,1
影子,0.18669541809250734,Na,1
時刻表,0.18669541809250734,Na,1
體驗,0.18585105880833394,VC,1
貨櫃,0.18585105880833394,Na,1
過年,0.18585105880833394,VA,1
內急,0.17302697576444204,Na,1
南北坑,0.17302697576444204,Nc,1
眼簾,0.17302697576444204,Na,1
列車,0.16237888667370523,Na,2
華源村,0.16237888667370523,Nc,2
普悠瑪,0.16237888667370523,Nb,2
台東縣,0.16237888667370523,Nc,2
台9線,0.16237888667370523,Nc,2
都蘭山,0.16237888667370523,Nc,2
分局,0.16237888667370523,Nc,2
w型,0.16237888667370523,Na,0
歷史,0.0989473719779437,Na,1
大自然,0.0989473719779437,Nc,1
古蹟,0.0989473719779437,Na,1
博物館,0.0989473719779437,Nc,1
震撼,0.0989473719779437,VJ,1
佳餚,0.0989473719779437,Na,1
傳統,0.0989473719779437,VH,1
悠閒,0.0989473719779437,VH,1
自然,0.0989473719779437,VH,2
村落,0.08118944333685262,Na,1
華源段,0.08118944333685262,Nc,1
眼底,0.08118944333685262,Na,3
熱點,0.08118944333685262,Na,1
漁網,0.08118944333685262,Na,1
涵洞,0.08118944333685262,Na,1
水保局,0.08118944333685262,Nc,1
山海,0.08118944333685262,Nb,1
晨光,0.08118944333685262,Na,1
太麻里鄉,0.08118944333685262,Nc,1
危險性,0.08118944333685262,Na,1
北坑,0.08118944333685262,Nc,2
世人,0.08118944333685262,Na,1
三和,0.08118944333685262,Nb,1
高雄,0.08118944333685262,Nc,1
