words,tfidf,pos,freq
拍照,4.01835793367295,VB,16
太麻里,3.0091024541008533,Nc,27
日出,1.6868410909373817,VA,14
鐵路,1.2496147160039235,Na,4
海岸線,1.2361046862560077,Na,2
台東,1.0985587226294318,Nc,4
平交道,1.0148515387577786,Nc,4
海景,1.0000132739546717,Na,2
風景照,1.0,Na,1
電影感,0.7071067811865476,Na,1
太麻里站,0.6025563470976301,Nc,2
日昇路,0.5441199122912013,Nc,2
曙光,0.5084356550882033,Na,5
電桿,0.5031067245569883,Na,1
解憂號,0.44839459655773495,Na,1
藍皮,0.44839459655773495,Nb,1
中線,0.4028093166362198,Na,1
路人,0.4028093166362198,Na,2
海邊,0.3883062761153219,Na,1
剪影,0.3722075186679288,Na,1
海天一線,0.3685552399893623,Na,1
高手,0.3669414668231996,Na,1
櫻木,0.30338941504445816,Na,3
用路人,0.2962168778834984,Na,1
台鐵,0.28968618451133116,Nc,1
藍海,0.2829823942158269,Na,3
朝聖,0.277032308984457,VA,1
太麻里鄉,0.2711567378835273,Nc,2
臺東縣,0.2711567378835273,Nc,2
管理局,0.2711567378835273,Nc,2
南迴線,0.2711567378835273,Na,2
遼闊,0.259006252238849,VH,1
多良,0.24442864426030558,Nb,2
海空,0.2360329304808774,Na,1
正對面,0.2210284679279199,Na,1
海平線,0.2210284679279199,Na,1
老天,0.2210284679279199,Na,1
浪漫,0.12611003556055395,VH,2
相機,0.12611003556055395,Na,2
關鍵字,0.1256751132295349,Na,1
眼簾,0.1256751132295349,Na,1
眼球,0.1256751132295349,Na,1
自然,0.06305501778027697,VH,2
愜意,0.06305501778027697,VH,1
大自然,0.06305501778027697,Nc,1
