words,tfidf,pos,freq
奇美,12.710062255820578,Nb,80
體驗,5.878614385351442,VC,28
煎餃,5.70644246429819,Na,49
號碼牌,5.692375913810636,Na,41
diy,4.986281961897679,FW,1
鳳梨酥,4.070416225932023,Na,22
雞翅,4.0691049762296885,Na,34
自助餐,3.9246891318774777,Na,15
拍照,3.1787305154380263,VB,19
麵包,2.9245242263195705,Na,21
蛋糕,2.8328540739388686,Na,18
手作,2.6462617848986465,Na,13
品項,2.556403226842929,Na,10
佛心,2.5454234843976358,Na,10
水餃,2.5088148222484494,Na,16
餃子,2.3949517941141876,Na,13
伴手禮,2.1641988699437835,Na,11
教學,1.982822766138979,VA,8
台南,1.8203183335598165,Nc,19
肉包,1.670624035026811,Na,11
沙拉,1.656409760949605,Na,16
時蔬,1.6101340323757647,Na,11
樣式,1.544844671199108,Na,5
澱粉類,1.4854087922146815,Na,6
號碼,1.419247874046406,Na,49
奶黃包,1.402221351440949,Na,7
購物,1.338513959129929,VA,8
可樂,1.3074780718421506,Na,6
包子類,1.273317784751561,Na,6
主食,1.2358658682077461,Na,5
安親班,1.1490981889879852,Nc,6
自家,1.1410826287641789,Nc,6
生菜,1.1202939927472435,Na,7
支架,1.1193332450940034,Na,4
鳳梨,1.1046036922633669,Na,26
豆芽菜,1.1037924697197723,Na,10
熱鬧,1.0901581825703544,VH,3
青菜,1.0705029183228132,Na,8
主菜,1.065213220695866,Na,4
柯南,1.0570121309537006,Nb,6
廚師,1.0088536388482425,Na,6
賀價,1.0,Na,1
佳餚,0.9843307648289994,Na,2
肉類,0.9599238951978326,Na,6
大阪燒,0.9593994102811856,Nc,6
親民,0.9188992831740755,VH,2
糕點,0.9031849210214409,Na,3
盤子,0.9008869627158527,Na,6
博物館,0.8881088314837289,Nc,6
麵食,0.8791919544498694,Na,4
鮮肉包,0.8435525788733854,Na,3
滷肉飯,0.8427918387380114,Na,3
雞腿,0.8413167149027931,Na,5
肉片,0.8297638098809674,Na,8
誠意,0.8169793291247758,Na,4
禮品,0.8114785239134918,Na,3
正對面,0.8092507232442034,Na,5
豬肉片,0.7575624472150819,Na,4
生產線,0.7386858925222601,Na,2
麻醬麵,0.7345310064935077,Na,2
水果酥,0.7332589180275516,Na,2
飲料機,0.7273394126671648,Na,5
清幽,0.7242496733267676,VH,1
鍋貼,0.7172795451966161,Na,7
仙草,0.7084714262817473,Na,8
消費者,0.6879294192653735,Na,6
咖哩,0.677416657037783,Na,6
餐觀,0.6717489433772177,Na,1
遊樂,0.6649169582188318,VA,1
手工,0.6643615144798516,Na,4
雞丁,0.6630559408806366,Na,6
用餐地,0.6605619199687172,Nc,1
反應,0.6520955671674658,Na,4
場品,0.6367654525964843,Na,1
麵粉類,0.6207798171935383,Na,2
導覽,0.616798459109789,VC,2
盒子,0.6116998377869864,Na,5
早午餐,0.6030437576842411,Na,3
難民餐,0.5924346743608502,Na,2
抵用券,0.5844863709264961,Na,2
雞肉,0.5842574354005543,Na,3
环境,0.5773502691896257,Na,1
餐盤,0.5764996251304846,Na,5
鮮肉,0.5715159871062879,Na,8
團體客,0.5681364617677211,Na,2
芝麻,0.5603867775729122,Na,7
低價位,0.5466581606097081,Na,1
甜品,0.5388415421523672,Na,3
寓教於樂,0.5345031017030584,VA,3
他處,0.5341322655186982,Nc,1
翻桌率,0.5294195977119303,Na,4
沙丁魚,0.5185181432831886,Na,1
飯點,0.5175567083549513,Na,1
禮品區,0.5075920629875446,Nc,1
廠家,0.5065283856231614,Na,1
銀絲捲,0.5049000410807737,Na,4
紀念日,0.5,Na,1
健康值,0.49485128948556223,Na,1
洋蔥,0.49227911035908734,Na,2
牛肉麵,0.49169487144706575,Na,1
湯汁,0.4868864330658522,Na,3
日式,0.4829439411584129,A,3
奶黃,0.47838701245870136,Na,11
菜品,0.47693251315503776,Na,1
扣環,0.47672466249442047,Na,3
和風,0.4754989235489509,Na,3
汽水,0.4734939956067701,Na,3
餅干,0.47290545697455366,Na,2
星星數,0.47192629819117415,Na,1
分數,0.47192629819117415,Na,1
中式,0.4716732272391738,A,2
菜單,0.4679476031260426,Na,2
網購,0.4661456437107071,Na,1
包子館,0.46531365241066003,Nc,2
豆芽,0.4588470977678951,Na,12
檯面,0.45187055511849894,Nc,3
煎餃類,0.4517054367363338,Na,2
餃類,0.43891501218395335,Na,4
幼稚園團,0.4331978952165908,Nc,3
吃食,0.42488611187007774,Na,1
展覽區,0.42476093117474933,Nc,2
肉絲,0.42370130510045523,Na,1
廣告,0.4219827133386749,Na,3
刈包,0.4209986411127979,Na,5
總和,0.41325517886280244,Na,1
咖哩飯,0.4123351128954833,Na,2
蒸籠,0.4108171120818944,Na,2
門市,0.4108159145622619,Nc,3
紅蘿蔔,0.4052567493439251,Na,2
岡上,0.40520044997860655,Nb,1
涼麵,0.40221488057826016,Na,3
粥品,0.40147386197000323,Na,1
航空站,0.39875073519524196,Nc,3
豬肉,0.3925164984229993,Na,7
翅腿,0.39234922418580137,Na,2
包子粥,0.39234922418580137,Na,1
善事,0.3905758033347054,Na,1
雞翅神,0.3905758033347054,Na,1
主餐,0.38954475520404747,Na,2
肉燥飯,0.3871962239803871,Na,3
億品鍋,0.3838191109537192,Nb,1
烤雞翅,0.3824995700499823,Na,1
號碼單,0.38011256122501635,Na,1
集全,0.3773843331055715,Na,1
沙拉吧,0.37389931262318565,Na,2
烘培部,0.3663903554246487,Nc,2
豆菜,0.36619068265174076,Na,1
信心,0.36450436119177615,Na,1
宣傳,0.36330442321681305,Na,3
三色豆,0.3620559423886544,Na,1
專用餐,0.36168386293162624,Na,1
小棒,0.36147999045250995,Na,1
瘦肉粥,0.36147999045250995,Na,1
醬汁,0.3592915593462862,Na,3
芋泥,0.3530597905598704,Na,3
豆腐,0.35126013876724504,Na,2
小資組,0.34966027243548625,Na,1
好朋友,0.34966027243548625,Na,1
麵包子,0.34947902512269746,Na,2
胃口,0.3451198856174203,Na,2
定價,0.3438960187939198,Na,1
享兔,0.3412556617435651,Nb,1
野餐會,0.3412556617435651,Na,1
補餐,0.33991707798187243,Na,1
市場,0.33873311166247316,Nc,3
竹筍包,0.33850044634767396,Na,1
早餐類,0.3372779413542921,Na,1
鳥不拉雞,0.3372779413542921,Na,1
互動區,0.33306382516899735,Nc,1
吊飾,0.33306382516899735,Na,1
水餃餡,0.33303447870529646,Na,2
童趣,0.3329151573375168,Na,2
空位,0.33104551949479455,Na,2
仙草湯,0.329127500964994,Na,2
空點,0.32891468197324103,Na,1
支撐架,0.3273981397959802,Na,1
失誤,0.32661273289175236,Na,1
訂單,0.32661273289175236,Na,1
中餐,0.3186394158865725,Na,1
烤翅麵,0.3186394158865725,Na,1
故事館,0.3176461079678344,Nc,1
規矩,0.31635834981607597,Na,2
電扇,0.3147617776965264,Na,1
棒腿,0.31436252925007313,Na,2
麻糬,0.31436252925007313,Na,1
指數,0.3119573789503647,Na,4
義義,0.3093088069477483,Na,1
麵食控,0.3093088069477483,Na,1
網評,0.3076050262917161,Na,4
蛋糕卷,0.30658545387713426,Na,1
香料味,0.30658545387713426,Na,1
嘴巴,0.3060842877466504,Na,2
吊環,0.3053825501894501,Na,1
魯雞翅,0.2984027656027358,Na,1
炸雞翅,0.2984027656027358,Na,1
男生,0.29247716825050907,Na,1
醬瓜,0.29212871770027715,Na,1
烘焙坊,0.2903162189860106,Nc,1
校園,0.2866078046445429,Nc,1
冰淇淋,0.2866078046445429,Na,1
黑芝麻包,0.2835984306741279,Na,1
長者,0.28154394375912845,Na,1
飽足感,0.28154394375912845,Na,1
工坊,0.27785691248649014,Nc,1
食安,0.27785691248649014,Na,1
小人頭,0.2758536659912561,Na,1
桌面,0.2730515966687037,Nc,2
見面會,0.26783116509459043,Na,1
玉米粥,0.26730693501207714,Na,1
麵條,0.26730693501207714,Na,1
動向,0.26730693501207714,Na,1
節假日,0.266926287425501,Na,1
餡料,0.26643173578778667,Na,2
鹹蛋黃,0.26580516307808477,Na,1
安格斯,0.26544431834319265,Nb,1
客層,0.26544431834319265,Na,1
精品級,0.26544431834319265,Na,1
肉量,0.26544431834319265,Na,1
牛肉包,0.26544431834319265,Na,1
瓜仔,0.26522237635225465,Na,2
收據,0.2640592011912986,Na,2
調味料,0.263390575522885,Na,2
天菜,0.26214975018824416,Na,1
黑橋牌,0.25932582663574183,Na,1
麵包區,0.2565004077891701,Nc,2
食慾,0.25470441465325105,Na,1
漏洞,0.254167843434501,Na,1
制度,0.254167843434501,Na,1
笨蛋,0.254167843434501,Na,1
亂局,0.2538139188557338,Na,1
服務生,0.2538139188557338,Na,1
秩序,0.2538139188557338,Na,1
舉動,0.2538139188557338,Na,1
麵包店,0.2535296884493175,Nc,2
原茶,0.25281446766876653,Na,1
節翅,0.25281446766876653,Nb,1
企劃,0.25051775177110736,Na,2
人性,0.25051775177110736,Na,3
台南市,0.2495242037846802,Nc,2
空格,0.2481705465657401,Na,1
甜包,0.24720397583754353,Na,4
白眼,0.2445564108778379,Na,1
紅茶水,0.2445564108778379,Na,1
肉品,0.2424029833285158,Na,3
柴魚,0.2420995720821285,Na,2
土匪,0.24195979288419894,Na,1
高中生,0.24195979288419894,Na,1
烏龍茶,0.24058927169780223,Na,1
糖水,0.24058927169780223,Na,1
來人,0.23995479474935189,Na,1
念頭,0.23995479474935189,Na,1
叉燒,0.23815315551735583,Na,3
桂圓酥,0.2332045471453394,Na,2
號碼機,0.2317776885195973,Na,1
手做,0.23133445179274892,Na,1
試吃品,0.23133445179274892,Na,1
鍋貼炒麵,0.22520631894622228,Na,1
