words,tfidf,pos,freq
展望台,1.2441063266951118,Nc,5
騎車,1.1641879984407904,VA,3
汐止,0.9276267226526866,Nc,3
平溪,0.8868875565593305,Nc,4
汐平路,0.8750133064128486,Nc,5
清幽,0.7625744782144853,VH,1
觀景台,0.7620876938728504,Nc,2
步道,0.6236759927707882,Na,4
區間,0.6063801061603757,Na,1
同樂會,0.541739402298994,Na,1
溪流,0.541739402298994,Na,1
視線,0.5368610595938953,Na,1
散步,0.5,VA,1
悠閒,0.4824340478647606,VH,1
腳踏車,0.4275857636586242,Na,1
雕像,0.39351891020469837,Na,2
跑山,0.3666359325636626,VA,1
七堵,0.3437266163595442,Nc,1
羌仔寮山,0.3437266163595442,Nc,1
羌仔頭山,0.3437266163595442,Nc,1
雜種,0.3365190036058888,Na,1
大隊,0.3365190036058888,Na,1
蟬鳴,0.3054288562277543,Na,1
午蟬,0.3054288562277543,Na,1
體驗,0.3054288562277543,VC,1
瞭望台,0.2994329151872762,Nc,1
小百岳,0.2322913671193582,Nb,1
枕木,0.2322913671193582,Na,1
步道口,0.2322913671193582,Na,1
動物,0.2212867639138819,Na,1
貓貓,0.21982206479337163,Na,1
爛泥,0.21982206479337163,Na,1
石磚,0.21982206479337163,Na,1
草地,0.21982206479337163,Nc,1
夜景,0.2105500131559627,Na,1
山頂,0.2105500131559627,Nc,1
反應,0.20037183612928663,Na,1
善心,0.20037183612928663,Na,1
留言,0.20037183612928663,Na,1
貓咪,0.20037183612928663,Na,1
基隆市,0.16013549476736766,Nc,1
海天,0.16013549476736766,Na,1
煙囪,0.16013549476736766,Na,1
老天,0.16013549476736766,Na,1
綠林,0.14785138383344892,Nc,1
健行,0.14785138383344892,VA,1
山巒,0.14785138383344892,Na,1
髮夾彎,0.14785138383344892,Na,1
