words,tfidf,pos,freq
散步,14.941118272665225,VA,58
安農溪,5.042431055545052,Nc,27
步道,4.620932813277177,Na,14
悠閒,4.573791495809079,VH,11
野餐,4.555420788285992,VA,18
公園,4.360210593634429,Nc,18
分洪堰,3.4328590539499357,Na,18
風景區,3.2730339515532463,Nc,12
腳踏車,2.87616502587015,Na,10
草地,2.5992203086385572,Nc,9
愜意,2.363845410973674,VH,5
草皮,2.3598700237876,Na,8
放電,1.9674738097158002,VA,4
清新,1.8148807857771354,VH,5
拍照,1.770186671677661,VB,10
宜蘭,1.7617576474486856,Nc,13
幽靜,1.5401343027851055,VH,2
龜山島,1.5155853393393044,Nc,3
遼闊,1.4997605267881273,VH,5
溪水,1.4184176504916146,Na,5
草原,1.3453959860021072,Na,3
黃昏,1.2793714521191484,Nd,4
池塘,1.2613821905225504,Nc,6
秀麗,1.1875055310025926,VH,2
自行車道,1.1786653573946435,Na,4
綠意盎然,1.1561546078252942,VH,3
遛小孩,1.1500911750199976,VA,2
情人,1.1204059637732133,Na,5
自行車,1.1082753453762089,Na,6
放風,1.1018463439270048,VA,2
落羽松,1.0831853060384888,Na,7
分紅堰,1.0310412463764527,Nc,2
休閒區,1.0,Nc,1
落雨松,0.9971058008113345,Na,2
騎車,0.971706458192972,VA,5
歷史,0.9328378123638031,Na,3
寧靜,0.9153078778155028,VH,2
夕陽,0.8698425519687369,Na,2
泛舟,0.8670794220989599,VA,4
自然,0.8439032686199545,VH,6
歐洲,0.8433234197428576,Nc,2
三星鄉,0.8184557070171421,Nc,8
山水,0.7933150413214523,Na,2
踏青,0.7918449760990034,VA,2
山明水秀,0.7844737482894936,VH,1
水利,0.7549170228888819,Na,3
落羽松林,0.6950913908139189,Na,3
約會,0.6820771140473553,VB,2
溪流,0.6678004282827655,Na,3
健走,0.6527028164397013,VA,2
粉紅橋,0.6411602082186358,Nc,2
超氣派,0.637734762023705,Na,1
下午茶,0.6365091576917444,Na,2
生態,0.6354107971145887,Na,2
河川,0.6245083028597607,Na,4
拍攝,0.6208815938058727,VC,2
壯觀,0.6153395216300063,VH,2
一望無際,0.5974528960101545,VH,1
青天,0.5914316066985179,Nc,1
垂櫻,0.5912693051388314,Na,1
療癒,0.5634078961403963,VC,1
水門,0.5541135925987692,Na,3
草坪,0.5415852929895427,Na,1
魚池,0.5342698713414403,Nc,2
大自然,0.5255699119930402,Nc,2
海口,0.5184222556425798,Nc,1
詩意,0.5128171414226298,Na,1
河流,0.4913426091443829,Na,2
河景,0.4894018322982947,Na,1
隔扣,0.48100753321972767,Na,1
雲層,0.4732481466024258,Na,2
鵲橋,0.4711563502490925,Nc,1
河道,0.4598745960352236,Na,2
細流,0.4563635403400794,Na,1
綠草如茵,0.4563635403400794,VH,1
防護,0.45358406561528103,Na,1
