words,tfidf,pos,freq
南港,2.1787018385308805,Nc,30
步道,2.151964899828098,Na,12
南港山,1.5713225150494514,Nb,14
桐花,1.444279347809214,Na,12
山頂,1.2931291530198896,Nc,5
散步,1.1195259444297787,VA,4
油桐花,0.9512857350996491,Na,2
三角點,0.9393655737514217,Nc,7
石階,0.8964761062112421,Na,4
登山,0.7967672731877314,VA,19
爬山,0.7767660231229894,VA,2
基隆河,0.7521683952825908,Nc,3
台北市,0.7438698106681976,Nc,4
汐止,0.7409784688845007,Nc,6
夕陽,0.7391387109017791,Na,1
登山口,0.712854651000727,Nc,10
夜景,0.6987196987566549,Na,5
展覽館,0.5810635710675485,Nc,8
展覽館站,0.5718571164327876,Nc,3
橫科路,0.5622262140151761,Nc,6
台北,0.5541350675259589,Nc,8
百岳,0.3930391294856882,Neu,1
信義區,0.38094335766960863,Nc,1
象山,0.37109320537189017,Nc,1
三聖宮,0.36689884397510286,Nc,5
區公所,0.3365190036058888,Nc,1
登山道,0.3365190036058888,Na,1
百合,0.3365190036058888,Na,1
地段,0.2924393725623776,Nc,1
花香,0.2924393725623776,Na,1
健身,0.28792385951188476,VA,2
夜路,0.28779731104098377,Na,1
濕度,0.28779731104098377,Na,1
清幽,0.27171356809940855,VH,1
桐花季,0.27171356809940855,Na,1
雪花,0.27171356809940855,Na,1
北二高,0.26239161992042564,Nc,2
民權路,0.2531321434693905,Nc,2
空檔,0.23526969986655386,Na,1
路人,0.217572566681542,Na,1
登山版,0.217572566681542,Na,1
橫科站,0.21691324183853558,Nc,2
休息椅,0.21350925139407656,Na,2
寧靜,0.20750306566465423,VH,1
寺廟,0.20750306566465423,Nc,1
交界處,0.20750306566465423,Nc,1
健走,0.20750306566465423,VA,1
住宅區,0.20750306566465423,Nc,1
騎車,0.20518050293205523,VA,1
登山客,0.18118668674873753,Na,1
途徑,0.18118668674873753,Na,1
白匏湖,0.18118668674873753,Nc,1
大同路,0.18118668674873753,Nc,1
巷道,0.18118668674873753,Na,1
慈上堂,0.18118668674873753,Nc,1
消防局,0.18118668674873753,Nc,1
引擎聲,0.15963837378080056,Na,1
操島腐,0.15963837378080056,Nb,1
防護,0.15963837378080056,Na,1
蟲鳴,0.15963837378080056,Na,1
療癒,0.15963837378080056,VC,1
綠意盎然,0.15963837378080056,VH,1
石椅,0.15963837378080056,Na,1
1巷,0.14711808486281364,Nc,4
民權街,0.14711808486281364,Nc,2
路境,0.14019280801147593,Na,1
桐花樹,0.11385115178474275,Na,1
樹梢,0.11385115178474275,Nc,1
白雪,0.11385115178474275,Na,1
拍攝,0.11385115178474275,VC,1
陰雨天,0.10845662091926779,Na,1
三角柱,0.10845662091926779,Na,1
小溜,0.10845662091926779,Nb,1
路標牌,0.10845662091926779,Na,1
陸橋,0.10845662091926779,Na,1
動植物,0.10675462569703828,Na,1
環東大道,0.10675462569703828,Nc,1
山林,0.10675462569703828,Nc,1
大屯山,0.10675462569703828,Nc,1
台北市景,0.10675462569703828,Nc,1
七星山,0.10675462569703828,Nc,1
公園,0.10675462569703828,Nc,1
五指山,0.10675462569703828,Nc,1
盆地,0.10675462569703828,Na,1
生態,0.10675462569703828,Na,1
終南洞,0.09659353212750896,Nc,1
植物,0.07355904243140682,Na,2
筆記,0.07355904243140682,Na,1
科大,0.07355904243140682,Nc,1
親民,0.07355904243140682,VH,1
大尖山,0.07355904243140682,Nc,1
單槓,0.07355904243140682,Na,1
健行,0.07355904243140682,VA,1
隱密度,0.07355904243140682,Na,1
