words,tfidf,pos,freq
火山群,0.459770318855169,Na,1
大屯,0.459770318855169,Nc,1
展望點,0.35355339059327373,Nc,1
平台,0.35355339059327373,Na,1
溫泉,0.30595700039848717,Na,2
硫磺,0.30595700039848717,Na,3
陽明山,0.30595700039848717,Nc,2
箱根,0.18423599201757665,Nc,1
風景區,0.18423599201757665,Nc,1
熱氣,0.15297850019924358,Na,1
硫磺孔,0.15297850019924358,Na,1
熱源,0.15297850019924358,Na,1
震撼,0.15297850019924358,VJ,1
岩層面,0.15297850019924358,Na,1
小油坑,0.15297850019924358,Nc,1
含水層,0.15297850019924358,Na,1
細縫,0.15297850019924358,Na,1
