words,tfidf,pos,freq
基隆山,1.4824419714734582,Nc,7
登高,1.2844570503761732,VA,2
地質,1.057797482539324,Na,2
不厭亭,1.02477305217761,Nc,5
九份,0.9187105892937881,Nc,6
步道,0.8340352512647766,Na,7
遼闊,0.8205318642572068,VH,1
金瓜石,0.625066952977428,Nc,3
秋芒,0.5773502691896257,Na,1
河馬頭,0.5657353861347039,Na,1
海景,0.5590223149520059,Na,1
日落,0.48716135024088325,VA,1
夕照,0.48716135024088325,Na,1
半山,0.47300629400398075,Nc,1
半海,0.47300629400398075,Nc,1
金礦,0.43476983789070833,Na,2
山城,0.40195850438500164,Na,1
山海,0.3971370579268052,Nb,2
山劍龍稜,0.38066438403222436,Na,1
象山,0.37449264952969985,Nc,1
高山,0.3693101864615613,Na,1
力氣,0.3693101864615613,Na,1
雜草叢生,0.3689971584786314,VH,2
泥流,0.34361270152809603,Na,1
坡地,0.34361270152809603,Na,1
沙石,0.32767246336371453,Na,1
健行處,0.3210343287675946,Nc,1
茶壺山,0.31974262147990057,Nc,3
o型,0.24567169340075243,Na,0
小石子,0.23215290380825265,Na,1
探險感,0.23215290380825265,Na,1
清幽,0.23014773732117197,VH,1
礦脈,0.23014773732117197,Na,1
五分山,0.23014773732117197,Nc,1
山遍野,0.22647868965462112,Na,1
山坡,0.22164854713534,Na,1
礦體,0.22164854713534,Na,1
騎車,0.21361120367117667,VA,1
大粗坑,0.20729949708198422,Nc,3
樹梅坪,0.19204650253543645,Nc,2
鐵柵欄,0.16617015646479288,Na,1
高難度,0.16617015646479288,Na,1
虎頭蜂,0.16617015646479288,Na,1
登山,0.16617015646479288,VA,1
結尾,0.16617015646479288,Na,1
草坪,0.15831050693088838,Na,1
採源地,0.15831050693088838,Nc,1
軌道,0.15831050693088838,Na,1
寧靜,0.15831050693088838,VH,1
鐵門,0.1494319417695478,Na,1
大屯山,0.1494319417695478,Nc,1
陰陽海,0.1494319417695478,Na,1
野柳,0.1494319417695478,Nc,1
觀景台,0.1494319417695478,Nc,1
礦石,0.1494319417695478,Na,1
礦山,0.1494319417695478,Na,1
峽灣,0.1494319417695478,Na,1
基隆嶼,0.1494319417695478,Nc,1
坑道,0.1494319417695478,Na,1
北海岸,0.1494319417695478,Nc,1
採礦,0.1494319417695478,VA,1
可能性,0.12262916572402191,Na,2
美國,0.12262916572402191,Nc,2
邊緣,0.12262916572402191,Nc,2
石頭路,0.10342317067744441,Nc,1
電線桿,0.10342317067744441,Na,1
高跟鞋,0.10342317067744441,Na,1
泥路,0.10342317067744441,Na,1
拍照,0.10342317067744441,VB,1
科羅拉多,0.061314582862010955,Nc,1
評語,0.061314582862010955,Na,1
老外,0.061314582862010955,Na,1
老街,0.061314582862010955,Nc,1
胭脂,0.061314582862010955,Na,1
舊地重遊,0.061314582862010955,Nc,1
芋圓店,0.061314582862010955,Nc,1
視野面,0.061314582862010955,Na,1
清靜,0.061314582862010955,VH,1
遠景,0.061314582862010955,Na,1
金山,0.061314582862010955,Nc,1
鐵塔,0.061314582862010955,Na,1
阿柑姨,0.061314582862010955,Nb,1
頂上,0.061314582862010955,Nc,1
高原,0.061314582862010955,Na,1
短文,0.061314582862010955,Na,1
石板,0.061314582862010955,Na,1
大海岸,0.061314582862010955,Nc,1
洛磯山,0.061314582862010955,Nc,1
大粗坑山,0.061314582862010955,Nc,1
乾草堆,0.061314582862010955,Na,1
作家,0.061314582862010955,Na,1
古道,0.061314582862010955,Na,1
基隆,0.061314582862010955,Nc,9
壯年,0.061314582862010955,Na,1
一望無際,0.061314582862010955,VH,1
客廳,0.061314582862010955,Nc,1
欽賢,0.061314582862010955,Nb,1
山頂,0.061314582862010955,Nc,1
岩塊,0.061314582862010955,Na,1
岩面,0.061314582862010955,Na,1
崙頂路,0.061314582862010955,Nc,1
布爾克夏山,0.061314582862010955,Nc,1
文章,0.061314582862010955,Na,1
高地,0.061314582862010955,Na,1
