words,tfidf,pos,freq
燈塔,3.098265881100875,Na,20
夕陽,1.8290671489817871,Na,5
拍照,1.7725422100097117,VB,8
小門嶼,1.6246846195361853,Nc,13
澎湖,1.577818283238263,Nc,9
鯨魚洞,1.523133421547338,Na,7
海景,1.2786162536694359,Na,6
海膽,0.7963237277641172,Na,1
燈杆,0.5027628846134211,Na,2
悠閒,0.46090525801309234,VH,1
草原,0.411839560177711,Na,3
天然,0.39583361144047363,A,1
騎車,0.35162905929581406,VA,1
日出,0.3362027753330693,VA,1
散形,0.32791321528765843,Na,1
懸崖,0.3274381153590816,Nc,1
遼闊,0.3110513052212712,VH,2
地質,0.2934024914580553,Na,2
彩霞,0.28368999263012334,Na,1
海岸,0.2684945854976983,Nc,2
海岸線,0.2684945854976983,Na,1
海岬,0.2518179822784384,Na,1
石階道,0.2518179822784384,Na,1
藍海,0.2518179822784384,Na,1
海天一色,0.2518179822784384,Na,1
清新,0.25138144230671056,VH,1
新舊,0.25138144230671056,Na,1
澎湖島,0.25138144230671056,Nc,1
稜線,0.25138144230671056,Na,1
海鷗,0.23099344449000728,Na,1
鯨魚,0.23099344449000728,Na,8
山坡,0.22069132376585185,Na,2
西嶼,0.20631582030130474,Nc,1
攝影師,0.12466060936673566,Na,1
嚮導,0.12466060936673566,Na,1
塔公,0.11034566188292592,Nb,1
塔婆,0.11034566188292592,Nb,1
居高點,0.11034566188292592,Na,1
搜索館,0.11034566188292592,Nc,1
村落,0.11034566188292592,Na,1
條紋,0.11034566188292592,Na,1
谷歌,0.11034566188292592,Nb,1
姿勢,0.10006168488813283,Na,1
一望無際,0.10006168488813283,VH,1
大頭貼,0.10006168488813283,Na,1
海風,0.10006168488813283,Na,1
