words,tfidf,pos,freq
步道,4.126763959352978,Na,49
尖山,3.0445129311494994,Nc,29
硬漢嶺,2.717403081971536,Nc,24
平台,1.364570498662264,Na,7
禪寺,1.3305089837152027,Nc,14
登山,1.2796950055274798,VA,12
土路,1.253922136107994,Na,5
手腳,1.087447952064824,Na,3
爬山,0.9000847495814815,VA,2
攀岩,0.8636315955088361,VA,3
觀音山,0.7585749230220742,Nc,6
健走,0.6813734521842654,VA,1
峭壁,0.6602645503410677,Na,2
叉路,0.6578735454951602,Na,5
強度,0.6363396019911247,Na,1
山頂,0.5767821594030959,Nc,5
淡水河,0.573650842957848,Nc,3
老少咸宜,0.541739402298994,VH,1
鷹仔尖,0.5409305266711962,Na,4
凌雲寺,0.5370745442473912,Nc,5
樹廕,0.5287409610370621,Na,1
古道,0.4824340478647606,Na,1
岩壁,0.4477724840644847,Na,2
石階,0.4403094058018545,Na,7
肌肉,0.43437293402990695,Na,1
崩壁,0.42103402613524676,Na,2
關渡橋,0.41301433016937855,Nc,1
繩索,0.38334046110791836,Na,3
山徑,0.37202887401227824,Na,3
步道口,0.36181113651669694,Na,4
舊名,0.3249393606058009,Na,1
岔路,0.3041824269220088,Na,2
登山口,0.2960800300460528,Nc,3
石壁,0.2899255135126397,Na,1
落腳處,0.2899255135126397,Nc,1
五股,0.2899255135126397,Nc,1
入門版,0.2899255135126397,Na,1
副峰,0.28529951339155435,Na,1
富士山,0.28529951339155435,Nc,1
山形,0.28529951339155435,Na,1
日本,0.28529951339155435,Nc,1
閩南語,0.28529951339155435,Na,1
觀景台,0.2660706542468809,Nc,2
產道,0.2587640995036674,Na,6
原始,0.2573686621598142,VH,1
意志力,0.2485894192325488,Na,1
運動感,0.24236546212624038,Na,1
遼闊,0.2316499418968297,VH,1
親民,0.2316499418968297,VH,1
盤絲,0.22388624203224236,Na,2
攀爬,0.22388624203224236,VC,1
至高點,0.2149545771682759,Na,1
坐椅,0.2149545771682759,Na,1
臀部,0.19979460144348418,Nc,1
北橫,0.18628175049926257,Nc,2
淩雲,0.18436796320230797,Nb,2
觀景臺,0.1833401501195309,Nc,1
風櫃斗湖,0.1833401501195309,Nc,1
平臺,0.18090556825834847,Na,2
主峰,0.14943813843218268,Na,2
東明宮,0.14943813843218268,Nc,2
石階路,0.14897737120920038,Na,1
陽明山,0.14897737120920038,Nc,1
關渡大橋,0.14897737120920038,Nc,1
貼布,0.14897737120920038,Na,1
河流,0.14897737120920038,Na,1
支線,0.14897737120920038,Na,1
大殿,0.14897737120920038,Nc,1
主線,0.14897737120920038,Na,1
三峰,0.11223646345620283,Nc,1
二峰,0.11223646345620283,Nc,1
大屯山,0.11223646345620283,Nc,1
木棧,0.11223646345620283,Na,1
登山級,0.11223646345620283,Na,1
電塔,0.11223646345620283,Na,1
右路,0.10633678963710015,Nc,1
土徑,0.10633678963710015,Na,1
橘20,0.10350563980146697,Na,2
福隆山,0.09218398160115399,Nc,1
雲霄飛車,0.09218398160115399,Na,1
公m,0.09218398160115399,Na,1
梯面,0.09218398160115399,Na,1
捷徑,0.09218398160115399,Na,1
雜貨店,0.051752819900733486,Nc,1
階差,0.051752819900733486,Na,1
觀音,0.051752819900733486,Nb,7
蘆洲站,0.051752819900733486,Nc,1
總站,0.051752819900733486,Nc,1
站牌,0.051752819900733486,Na,1
看門狗,0.051752819900733486,Na,1
盤絲亭,0.051752819900733486,Nc,1
田埔巷,0.051752819900733486,Nc,1
潮音洞,0.051752819900733486,Na,1
時刻表,0.051752819900733486,Na,1
平常心,0.051752819900733486,Na,1
峰頂,0.051752819900733486,Nc,1
天山,0.051752819900733486,Nc,1
墓地,0.051752819900733486,Nc,1
叩叩聲,0.051752819900733486,Na,1
八里,0.051752819900733486,Nc,1
三岔,0.051752819900733486,Na,1
七星山,0.051752819900733486,Nc,1
騎車族,0.051752819900733486,Na,1
