words,tfidf,pos,freq
大雪山,3.7747025114488126,Nc,15
林道,1.6826299692235493,Na,6
登山口,1.6262309776210695,Nc,9
步道,1.5694766279903216,Na,4
麗陽,1.358255363225195,Nb,7
登山,1.2925394430526522,VA,15
散步,0.7071067811865476,VA,1
體驗,0.7071067811865476,VC,1
登山手,0.7071067811865476,Na,1
古關,0.6363396019911247,Nc,1
谷關,0.591142668490128,Nc,4
涼爽,0.5244482014806415,VH,1
北峰,0.5244482014806415,Nc,1
山頂,0.5156295788612153,Nc,2
大雪山線,0.5156295788612153,Nc,2
麗陽線,0.49877855723239184,Na,1
森林,0.4021202662134823,Na,3
拍照,0.3918899567795937,VB,1
碎石,0.3686727558201094,Na,3
東卯山,0.33107092742953925,Nc,1
山林,0.3246539205574552,Nc,1
虎頭蜂,0.3246539205574552,Na,1
麗揚,0.30639962074201116,Nb,1
屋我尾山,0.2973907724962887,Nb,2
水晶蘭,0.2864259023335732,Na,1
菌菇,0.2864259023335732,Na,1
後平路,0.28438509564102615,Nc,1
攀岩,0.28438509564102615,VA,2
絲帶,0.25530812564742644,Na,1
植物,0.25530812564742644,Na,1
屋我,0.25530812564742644,Na,3
山友,0.25476265128155107,Na,1
彩帶,0.25476265128155107,Na,1
原始,0.24482417632052872,VH,1
自然,0.24482417632052872,VH,1
三角點,0.24482417632052872,Nc,1
綠樹,0.24482417632052872,Na,1
落葉路,0.24482417632052872,Na,1
七雄屋,0.24118372973864477,Nb,1
八仙山,0.20009193771471787,Nc,2
緩升段,0.1492631682301632,Na,1
老三,0.1492631682301632,Na,1
攀爬,0.1492631682301632,VC,1
山壁,0.1492631682301632,Na,1
地形,0.10004596885735893,Na,1
谷關七雄,0.10004596885735893,Nc,1
