words,tfidf,pos,freq
老街,2.4198863311984034,Nc,22
寧靜,2.2232181411805763,VH,6
嶺腳,1.6589059626334333,Nc,21
商店,1.009197564657391,Nc,5
雜貨店,0.8053937919514449,Nc,5
懷舊,0.7849285259868026,VH,1
平溪,0.7837038816849989,Nc,6
瀑布,0.7518445037818756,Na,5
步道,0.6815358229387061,Na,3
人情味,0.6511837363266271,Na,3
商店街,0.6146071275781486,Nc,2
村莊,0.571138324373009,Nc,1
煤礦,0.5470184153228295,Na,5
村落,0.5214883801036361,Na,2
街區,0.5194054444793462,Nc,1
平溪線,0.4708857987820413,Nc,2
巷道,0.4113023444888694,Na,1
清幽,0.4082482904638631,VH,1
傳統,0.3745595292105873,VH,1
住戶,0.3745595292105873,Na,1
嶺腳老街,0.3700837989891263,Nc,3
熱鬧,0.36198406819552403,VH,1
鐵道,0.35877972534139374,Na,2
貓貓,0.3320924314938604,Na,1
深坑,0.3320924314938604,Nc,1
柑仔店,0.3266347284645513,Nc,2
歷史,0.31343752512104583,Na,1
健行,0.31343752512104583,VA,1
洋樓,0.3098134414325179,Na,2
自然,0.30322559319616565,VH,1
鄉下,0.30322559319616565,Nc,1
福隆線,0.2824404975415421,Na,1
双溪,0.2824404975415421,Nc,1
登山,0.2824404975415421,VA,1
單線道,0.2722989028190088,Na,1
小吃店,0.26427978624219367,Nc,1
水餃,0.26427978624219367,Na,1
野薑花,0.26427978624219367,Na,1
古老,0.24482836188615792,VH,1
時空,0.24482836188615792,Na,1
桃花源,0.24482836188615792,Nc,1
老者,0.24482836188615792,Na,1
月台,0.2368495894848334,Nc,1
溪水,0.2368495894848334,Na,1
弧型,0.2368495894848334,Na,1
自行車,0.2250565078527024,Na,1
嶺腳村,0.19966858839986606,Nc,2
永昌,0.19966858839986606,Nb,2
英隆,0.19966858839986606,Nb,2
時刻表,0.18621733364357873,Na,1
興化人,0.12336126632970877,Na,1
飲食店,0.12336126632970877,Nc,1
順隆,0.12336126632970877,Nb,1
路口處,0.12336126632970877,Nc,1
薑子寮山,0.12336126632970877,Nc,1
山城,0.12336126632970877,Na,1
牡丹老街,0.12336126632970877,Na,1
河川,0.12336126632970877,Na,1
林國華,0.12336126632970877,Nb,1
嶺腳寮莊,0.12336126632970877,Nc,1
嶺腳寮,0.12336126632970877,Nc,2
古味,0.09683207760800693,Na,1
古橋,0.09683207760800693,Nc,1
石窟,0.09683207760800693,Na,1
蔡家,0.09683207760800693,Nc,1
觀音,0.09683207760800693,Nb,1
遺址,0.09683207760800693,Nc,1
