words,tfidf,pos,freq
工研,1.3689304198938967,Na,6
diy,1.0126318452582543,FW,0
咖哩,0.9288159273632822,Na,4
手作,0.7625744782144853,Na,1
嚮導,0.5773502691896257,Na,1
體驗,0.5698429976141175,VC,2
文化館,0.5591801316031343,Nc,2
產地,0.5392215847052556,Nc,1
葡萄乾,0.4864427419423982,Na,3
米製,0.3810385130935519,Na,2
化學,0.19051925654677596,Na,1
原料,0.19051925654677596,Na,1
氣泡,0.19051925654677596,Na,1
瓶身,0.19051925654677596,Na,1
咖哩飯,0.10267996311866692,Na,1
梅子,0.10267996311866692,Na,1
歷史,0.10267996311866692,Na,1
納豆,0.10267996311866692,Na,1
