words,tfidf,pos,freq
巨人,14.954326672587165,Na,117
拍照,10.280682000724717,VB,50
藝術,4.403182932235139,Na,34
騎車,4.26186523629736,VA,22
深山,3.5964614180298886,Na,11
產業道路,3.1756583431069525,Na,15
底盤,2.841949199827077,Na,12
祕境,2.288786727043108,Nc,5
森林,2.286129425995946,Na,13
雪山坑,2.200089402106743,Nc,20
部落,2.1782935036509588,Nc,14
公園,2.012814176965093,Nc,9
林道,1.8384362748017324,Na,7
步道,1.7927462213608054,Na,8
目的地,1.770031465979058,Nc,8
藝術品,1.6706795643764285,Na,8
山蘇林,1.5414128256646182,Na,6
壯觀,1.4900957781946698,VH,3
桃山,1.4729706036647534,Nb,9
原始,1.459894590636901,VH,5
轎車,1.443162538897378,Na,7
路小,1.4024427177568737,Na,2
寧靜,1.2601999475990002,VH,3
大雪山,1.243372065427699,Nc,4
水泥路,1.2105625686193537,Na,6
地盤,1.2034573235455497,Na,5
水泥地,1.1202851197199197,Na,4
農場,1.0879136185551894,Nc,10
花園,1.0142952571508963,Nc,9
雪山,1.0142952571508963,Na,34
人煙稀少,1.0,Na,1
傳奇,1.0,Na,1
手手,1.0,Na,1
蜜蜂,0.9300476410987737,Na,3
張力,0.895267459455564,Na,3
攀爬,0.8862688763435669,VC,3
山區,0.8778437056659766,Nc,3
雕塑,0.8758623317330895,Na,4
牌子,0.8511770781937744,Na,4
谷歌,0.8195832680084899,Nb,3
導航點,0.8166340481029326,Na,3
值回票價,0.8059664145244467,VH,1
騎車手,0.787536118450431,Na,2
東勢,0.7723147818023472,Nc,5
紀念,0.769050142236287,VJ,4
體驗,0.7363035138811982,VC,3
工人,0.6826418957053545,Na,6
導行,0.6794076435281717,Na,2
爬山,0.6715024011496942,VA,2
纖維,0.6593556912120042,Na,2
散步,0.6593072783366943,VA,2
站牌,0.6582132318730068,Na,1
原住民,0.6496608860953682,Na,2
司馬庫斯,0.6433990371435786,Nc,1
賽車道,0.6404657687946316,Na,1
腳踏,0.6378533974090608,Na,1
定位點,0.6305117366083579,Na,2
台中市,0.6280964068918956,Nc,2
路况,0.6245754399102611,Na,1
雜草叢生,0.618778763931557,VH,2
山林,0.5947830236509195,Nc,2
死路,0.5900089176034133,Na,2
傑克,0.5764009308951192,Nb,1
石像,0.5764009308951192,Na,1
苗栗,0.5758482071417671,Nc,1
咬人貓,0.5566046535153408,Na,1
雕像,0.5528745721181406,Na,3
單車,0.549162587171452,Na,1
和平區,0.5403412497186403,Nc,1
清幽,0.5358074403946587,VH,2
清新,0.5284713254008812,VH,1
萊爾富,0.5171264547563152,Nc,2
爸媽,0.5169268198984948,Na,1
部位,0.5128615963391189,Na,2
東崎路,0.512291835894794,Nc,2
加油站,0.4915346640118815,Nc,2
檔車,0.4856373657072416,Na,1
森林口,0.4767486973271344,Nc,1
巡管,0.47561091027936203,Na,1
空拍機,0.4704415486567525,Na,2
翻版,0.46547977758641484,Na,1
格佛烈,0.46547977758641484,Nb,1
休旅車,0.4653701848743919,Na,2
自行車,0.4601374544253344,Na,1
塑像,0.457966293882055,Na,4
雪山坑橋,0.456729201226976,Nc,4
雕刻,0.455875399944046,Na,1
柏油,0.44352268220899105,Na,3
歷史,0.4419589858633801,Na,2
誤差值,0.4200598637026746,Na,1
樹枝,0.4130181144266484,Na,2
女性,0.41185324926709704,Na,1
高山,0.4090037444991377,Na,1
平台,0.4049446098102373,Na,2
工地,0.39872293581845764,Na,1
王道,0.3979101850970089,Na,1
山巔,0.3903909732401135,Na,1
露營,0.386697686750913,VA,1
營地,0.386697686750913,Nc,1
路路牌,0.38508944932106753,Na,1
山景,0.3845100435490219,Na,1
細雨,0.3829865133313356,Na,1
鬼打牆,0.3797232006545661,Na,1
標示牌,0.3797232006545661,Na,1
產道,0.3767542093043059,Na,4
鐵門,0.374763049291396,Na,1
巨人點,0.37390709784849835,Na,1
顛坡,0.37388407613129293,Na,1
人文,0.37244729864920384,Na,1
持久性,0.36984192435073304,Na,1
鐵橋,0.36672438554908676,Na,1
百川山,0.36509228004182964,Nc,1
巨人手,0.36457770126823186,Na,2
石頭路,0.364438418130387,Nc,1
谷哥,0.3633733323154009,Nb,1
攤販,0.3609414089089447,Na,1
荒山野嶺,0.3609414089089447,Nc,1
手臂,0.34722906116668156,Na,3
遺跡,0.34722906116668156,Na,3
車速,0.34603219916384875,Na,1
庭園式,0.34330903131387064,Na,1
佈景,0.34330903131387064,Na,1
車身,0.33524208506453457,Na,1
四驅,0.3341496395233787,Na,2
士林霸,0.3329137874181972,Nc,2
木棧道,0.33166087483566514,Nc,1
自然,0.33166087483566514,VH,3
雕塑品,0.3294060409707337,Na,1
髮夾彎,0.3294060409707337,Na,1
地形,0.3273151046436304,Na,1
高低盤,0.3273151046436304,Na,1
蟲子,0.3271257476539755,Na,1
卓蘭,0.31276702588480665,Nc,2
震撼,0.31273239650438905,VJ,2
登山客,0.31273239650438905,Na,1
路超,0.3121175623881029,Nb,1
野外,0.31066757726110805,Nc,2
境點,0.3091981088780849,Na,1
商業隊,0.3081446497822163,Na,1
