words,tfidf,pos,freq
埤塘,0.6151285906013652,Na,3
步道,0.5785762832601788,Na,4
休閒區,0.39105192975907627,Nc,1
南港里,0.39105192975907627,Nc,1
佳草,0.2503106479967955,Nc,1
歷史性,0.2503106479967955,Na,1
療癒,0.2467743563217135,VC,1
繁花,0.2467743563217135,Na,1
苦楝,0.2467743563217135,Na,1
植物,0.2467743563217135,Na,1
印度,0.2467743563217135,Nc,1
夕陽,0.19833692413499074,Na,1
池面,0.19833692413499074,Nc,1
o型,0.19626599218847626,Na,0
喜來登,0.19626599218847626,Nb,1
大園,0.19626599218847626,Nc,1
文城路,0.19626599218847626,Nc,1
桃禧,0.19626599218847626,Nb,1
環線,0.19626599218847626,Na,1
航空城,0.19626599218847626,Nc,1
