words,tfidf,pos,freq
老街,2.402253953301539,Nc,9
古色古香,1.0,VH,1
牛肉麵,0.7071067811865476,Na,1
青茶,0.7071067811865476,Na,1
悠閒,0.6799450218061148,VH,2
三義,0.6439955500561636,Nc,2
熱鬧,0.6025496372657567,VH,2
人情味,0.5943953651378014,Na,1
紅棗,0.563310608198258,Na,2
思古,0.47300629400398075,VH,1
誠意,0.45499649897094474,Na,1
復古畫,0.4472102080946442,Na,1
體驗,0.4438140960745129,VC,1
門市,0.41491160117935727,Nc,1
元氣茶,0.39667483434839396,Na,1
天梯,0.38643416158818955,Na,1
傳統,0.37796447300922725,VH,1
市場,0.37796447300922725,Nc,1
賴家,0.37796447300922725,Nc,1
雞肉,0.37796447300922725,Na,1
小道,0.34947804213904493,Na,1
賽事,0.26288882358674187,Na,1
選手,0.26288882358674187,Na,1
參拜,0.2348845063497032,VC,1
五榖宮,0.2348845063497032,Nc,1
校門口,0.2348845063497032,Nc,1
神農大帝,0.2348845063497032,Nb,1
