words,tfidf,pos,freq
金門,4.021517005048297,Nc,20
文創,3.0952708242762683,Na,16
表演,1.9142789837562808,VC,10
藝文,1.7411529931506182,A,7
古色古香,1.484450865661803,VH,3
老街,1.3135867160685262,Nc,4
熱鬧,1.2397019392260513,VH,5
文藝,1.1941030469934568,Na,3
傳統,0.922172961992396,VH,2
市集,0.9077021147388644,Na,4
商店,0.9046392225462567,Nc,4
後浦,0.8714640939510458,Nc,5
伴手禮,0.8566489793048965,Na,3
花磚店,0.8534429436633597,Nc,2
點燈,0.8518106816860986,VA,2
拍照,0.8083891824471121,VB,3
旅遊區,0.7675261760569771,Nc,1
古蹟,0.7091408189180166,Na,3
文化,0.7052527341930819,Na,2
高粱酒杯,0.6814552791961379,Na,2
文青,0.6730917228510175,Nb,1
藝術,0.6693922620078427,Na,3
花磚,0.6448334946073351,Na,4
閩式,0.6376720666234061,Na,1
酒館,0.6088608780580788,Nc,1
夜生活,0.5976295951695382,Na,2
散步,0.5858824670078693,VA,2
文創點,0.5836855616033708,Na,1
體驗,0.5546328805051142,VC,2
晚風,0.5246510954044417,Na,2
古典,0.498914660401009,VH,1
夜景,0.4774207782013848,Na,1
陳氏,0.44684744439608926,Nb,2
杯墊,0.4392610834549068,Na,1
導覽,0.41894524270450645,VC,1
腳踏車,0.41894524270450645,Na,1
玩具屋,0.40864620528450374,Na,1
歌手,0.3974236066215095,Na,1
植物,0.36220382597022105,Na,1
店主,0.3480431240620254,Na,1
歷史,0.3480431240620254,Na,1
歴史,0.33607949443560475,Na,1
人文,0.33607949443560475,Na,1
過年,0.32205528359731506,VA,1
磚花,0.3185968555944622,Na,1
燈火,0.3164704781046511,Na,1
家廟,0.2831554868309124,Nc,1
廂房,0.2831554868309124,Nc,1
音樂人,0.2831554868309124,Na,1
商圈,0.28042997067137587,Nc,1
餐飲店,0.27974428675638796,Nc,1
小吃店,0.27974428675638796,Nc,1
泡菜店,0.27728564046247395,Nc,1
麵包店,0.27728564046247395,Nc,1
飾品店,0.27728564046247395,Nc,1
啤酒吧,0.27728564046247395,Na,1
植栽店,0.27728564046247395,Nc,1
模範街,0.2740752664015956,Na,1
夜風,0.2652125699274998,Na,1
高橋,0.2652125699274998,Nb,1
週遭,0.2594048613225484,Nc,1
騎車,0.2594048613225484,VA,1
外貌,0.25802916403784143,Na,1
手創,0.256304788685938,Na,1
手作,0.256304788685938,Na,1
行為,0.2339262038934477,Na,1
臺北,0.22081865619218352,Nc,1
酒漬,0.22081865619218352,Na,1
酒香,0.22081865619218352,Na,1
光拍,0.21604758868467616,Na,1
商家,0.2156672896520692,Na,1
啤酒,0.21297820086465036,Na,2
手工,0.21297820086465036,Na,1
為數,0.21297820086465036,Na,1
財產,0.19884775117479828,Na,1
閩南式,0.19884775117479828,Na,1
店屋,0.19884775117479828,Nc,1
宗親會,0.19884775117479828,Na,1
女孩,0.18879243683511526,Na,2
小丑,0.18879243683511526,Na,2
璇福,0.18879243683511526,Nb,2
蘿蔔腿,0.18879243683511526,Na,2
評達,0.18879243683511526,Nb,2
馬汀,0.18879243683511526,Nb,2
魔術秀,0.18879243683511526,Na,2
后浦,0.09439621841755763,Nc,1
