words,tfidf,pos,freq
公園,1.9728982811744227,Nc,6
溜滑梯,1.5901878409594505,VA,5
散步,1.1863923535076428,VA,3
藍莓,0.7071067811865476,Na,1
雞肉飯,0.7071067811865476,Na,1
放電,0.6511104908502486,VA,1
方電,0.6511104908502486,Nb,1
綠園道,0.513224061453514,Nc,1
拍照,0.43348836366353993,VB,1
孫女,0.4275857636586242,Na,1
夜燈,0.3612954039057093,Na,1
經心,0.3612954039057093,Na,1
髒污,0.3459139455265961,Na,1
國防部,0.34361270152809603,Nc,1
社會,0.34361270152809603,Na,1
新竹市,0.3167244974640326,Nc,1
磨石子,0.29969656574465553,Na,1
芬多精,0.2536803695531844,Na,1
攀岩,0.17213607725800595,VA,1
中老年人,0.17213607725800595,Na,1
滑板車,0.17213607725800595,Na,1
