words,tfidf,pos,freq
大自然,3.210165488267372,Nc,7
登山,2.456506869465552,VA,20
步道,2.2265491323363067,Na,11
德文山,2.0222364733452993,Nc,7
爬山,1.9911686580688506,VA,7
涼爽,1.9406553218034093,VH,4
公園,1.905313681785859,Nc,11
原住民,1.8622764556905327,Na,9
德文,1.701337981908136,Na,19
山景,1.6798569251160356,Na,2
部落,1.6591836083588936,Nc,8
登山口,1.6571764411039862,Nc,6
古道,1.2051494053827172,Na,2
櫻花,1.149393884874846,Na,3
三角點,1.076517462622597,Nc,3
平台,1.0565739245554973,Na,3
幽靜,1.0,VH,1
霧台,0.9463632806790081,Nc,4
德萊,0.9235155828539326,Nb,6
文化,0.9119497124796987,Na,3
德文村,0.7443564592345983,Nc,4
壯觀,0.7333447766035898,VH,1
世外桃源,0.7071067811865475,Na,1
蒜頭,0.700273672485898,Na,2
遼闊,0.6972191623650195,VH,2
捷徑,0.6797857779224123,Na,4
寧靜,0.6619910449796571,VH,1
山地,0.6012571502487354,Nc,1
散步,0.6012571502487354,VA,1
體驗,0.6012571502487354,VC,1
百步蛇,0.591369664387121,Na,2
雜草叢生,0.5773502691896257,VH,1
露營,0.5724698060681479,VA,2
雀榕,0.5656955523959017,Na,3
清幽,0.5356664978367318,VH,1
射箭,0.5251808155362298,VA,1
芬多精,0.48790533763755106,Na,1
平地,0.4684490273936961,Na,1
深山,0.4684490273936961,Na,1
洋蔥,0.4659976625811101,Na,1
人情味,0.4597179521040391,Na,1
旅行車,0.43082419470701844,Na,1
蜘蛛,0.4242104117060517,Na,1
稜線,0.417849171619374,Na,2
櫻花樹,0.40893559063020973,Na,1
餐飲區,0.3952749792575183,Nc,1
景觀點,0.38852148243924894,Na,1
峓火樹,0.38852148243924894,Na,1
機車格,0.3799743687171075,Na,1
山巒,0.36361373415320264,Na,1
虎頭蜂,0.35960866169738376,Na,1
蜜蜂,0.35960866169738376,Na,1
環山,0.3417242795843166,VH,1
樹種,0.3361794684521316,Na,2
賞景台,0.3336813429943726,Nc,1
專員,0.3282495949240239,Na,1
起始點,0.3282495949240239,Na,1
三地門,0.3282495949240239,Nc,2
避暑,0.31764741786926376,VA,1
商家,0.31764741786926376,Na,1
徳文山,0.31764741786926376,Nc,1
排灣族,0.3154000031554439,Nb,2
圖騰,0.31388086089043166,Na,1
斜對面,0.31388086089043166,Nc,1
青山,0.3114627386571721,Na,1
三德,0.31136649234658137,Na,1
石板屋,0.3109769259364089,Na,2
山徑,0.2991183967768803,Na,2
屏東市,0.2965233036541721,Nc,1
空品,0.2965233036541721,Na,1
手續,0.29263489809946114,Na,1
檢查哨,0.29263489809946114,Nc,1
質量,0.29263489809946114,Na,1
趣味,0.28918255620484007,Na,1
母親,0.286989930494452,Na,1
雲海,0.28654557909621736,Na,1
山林,0.28654557909621736,Nc,1
山頂,0.27524105182178965,Nc,1
獵人,0.2740222713133518,Na,1
草園,0.27307459700586484,Nc,1
展望度,0.2501643521400705,Na,1
山區,0.2501643521400705,Nc,1
賣店,0.2501643521400705,Nc,1
紀念,0.22455254449522988,VJ,1
屏31,0.22455254449522988,Nc,1
石雕像,0.22455254449522988,Na,1
山道,0.1721244142366032,Na,1
魯凱族,0.1721244142366032,Nb,1
深谷,0.1721244142366032,Na,1
峻嶺,0.1721244142366032,Na,1
三地門鄉,0.1721244142366032,Nc,1
屏東縣,0.1721244142366032,Nc,1
遊樂,0.16984037231541374,VA,1
林木,0.16984037231541374,Na,1
市集,0.16924575734107272,Na,1
村落,0.16924575734107272,Na,1
鄒族,0.1680897342260658,Nb,1
頭目家,0.1680897342260658,Na,1
阿美族,0.1680897342260658,Nb,1
傳統,0.1680897342260658,VH,1
原住民族人,0.1680897342260658,Na,1
原住民族,0.1680897342260658,Na,2
小吃店,0.16619732760034128,Nc,1
諾大,0.16619732760034128,Nc,1
卡拉,0.16154096531096263,Na,1
辣椒,0.16154096531096263,Na,1
魚干,0.16154096531096263,Na,1
產業道路,0.14955919838844015,Na,1
石牌,0.14955919838844015,Nc,1
百步蛇狀,0.14955919838844015,Na,1
瓢水,0.14955919838844015,Na,1
水泥路,0.14955919838844015,Na,1
水桶,0.14955919838844015,Na,1
好漢坡,0.10298516826700958,Nc,1
山角點,0.10298516826700958,Nc,1
水泥地,0.10298516826700958,Na,1
石頭路,0.10298516826700958,Nc,2
豬肉,0.10298516826700958,Na,1
