words,tfidf,pos,freq
公園,1.6456282102762232,Nc,8
北斗,1.1417068428951753,Nc,7
河濱,1.0132189968807621,Nc,6
美人樹,1.0023423048934288,Na,6
美人花,1.0,Na,1
夜景照,1.0,Na,1
涼爽,1.0,VH,1
散步,0.9217486061122779,VA,2
健走,0.6130451230238986,VA,1
拍照,0.48304859854254756,VB,2
幽靜,0.3984563245814913,VH,1
步道,0.3701170327354864,Na,1
溪流,0.3701170327354864,Na,1
彰化,0.3391993836457339,Nc,1
寶可夢,0.3387193359943795,Na,1
花海,0.3268812277077161,Na,1
浪漫,0.3086458382635704,VH,2
粉紅色,0.2566534809521193,Na,2
欒樹,0.2546430363700161,Na,2
單車,0.19529270031110754,Na,1
圈圈,0.19529270031110754,Na,1
帶動唱,0.19529270031110754,Na,1
樂活,0.19529270031110754,Na,1
輕旅,0.19529270031110754,Na,1
綠廊,0.19529270031110754,VH,1
扶輪,0.19177903619998599,Na,1
水池,0.19177903619998599,Na,1
花期,0.19177903619998599,Na,1
基金,0.17701844312835038,Na,1
米香,0.17701844312835038,Na,1
青農,0.17701844312835038,Na,1
愛心,0.1543229191317852,Na,2
拍攝,0.1543229191317852,VC,1
中段,0.12732151818500806,Na,1
四色樹,0.12732151818500806,Na,1
天璣橋,0.12732151818500806,Nc,1
愛心形,0.12732151818500806,Na,1
棚架,0.12732151818500806,Na,1
樹種,0.12732151818500806,Na,1
褐色,0.12732151818500806,Na,1
