words,tfidf,pos,freq
心型,6.324236225100927,Na,26
心形,2.985854966286258,Na,12
夕陽,2.3048186113545683,Na,10
愛心,2.274999848567702,Na,11
拍照,1.9911169413077707,VB,9
海景,1.850619300780557,Na,9
騎車,1.6126607520269916,VA,7
遼闊,1.376437390578539,VH,4
浪漫,1.269777612719647,VH,3
山坡,1.0643871894160126,Na,3
苗栗,1.0628003792908833,Nc,7
海邊,1.0012062367802335,Na,3
自然,0.9098264001294423,VH,2
環島,0.9016380728122406,VA,2
草原,0.8722665500092597,Na,2
邊坡,0.8643187521262613,Na,3
海風,0.772555792933316,Na,3
產業道路,0.7601716167739327,Na,2
日落,0.7532577814696619,VA,4
雜草叢生,0.7072525539835335,VH,2
標高,0.7071067811865475,Na,1
前鋒,0.7071067811865475,Na,1
圖樣,0.6795869182181298,Na,1
療癒,0.6284360067194826,VC,1
山區,0.6144904151386246,Nc,2
落日大道,0.6017178515166919,Na,2
觀景台,0.5967696520535152,Nc,2
省道,0.589666065135959,Nc,1
車軌,0.5569596659019255,Na,1
原始,0.5454799502598396,VH,1
紐澤西,0.5325031675205355,Nc,3
土地公廟,0.5293027567646571,Nc,2
碉堡,0.5256652867052768,Na,2
白沙屯,0.5251706778960186,Nc,2
死角,0.4947052540614508,Nc,2
眼力,0.4861658574287751,Na,1
山盟海誓,0.4861658574287751,Na,1
重點草,0.4836201393703696,Na,1
落日,0.4684490273936961,Na,3
觀海,0.4684490273936961,VA,1
多心型,0.46735410304647784,Na,1
台東,0.4646553804329474,Nc,1
通霄,0.46043290828885064,Nc,5
慧根,0.4435139387992528,Na,1
祕境,0.4417677300041231,Nc,1
有心型,0.4340766055195382,Na,1
新埔,0.4171370686386179,Nc,3
步道,0.4095997654942283,Na,2
草叢,0.40599473329770475,Na,3
風車,0.39794933730567994,Na,1
西濱,0.39541230901390034,Nc,1
高點,0.39270892782084466,Na,5
山色,0.38237927445536474,Na,1
山窩,0.37847268871603945,Nc,1
西海岸,0.37847268871603945,Nc,1
石頭墩,0.3738526199431149,Na,2
銅鑼,0.3701868330995131,Na,1
拍攝,0.36480516097682547,VC,2
菜鳥,0.3566838434749515,Na,1
成就感,0.3566838434749515,Na,1
山道,0.3521382041038938,Na,1
海岸線,0.3521382041038938,Na,1
寧靜,0.34343152863835225,VH,1
軍事,0.34343152863835225,Na,1
遺跡,0.34343152863835225,Na,1
愛人,0.34328253832866334,Na,1
圖案,0.33923778765486867,Na,1
路幅,0.33923778765486867,Na,1
拱天宮,0.3388253674992085,Nc,1
通霄鎮,0.33433186931121334,Nc,1
星空,0.3223952015880661,Na,1
野草,0.32089694473617153,Na,1
水泥地,0.32089694473617153,Na,1
瞭望台,0.30713802106138255,Nc,1
觀賞點,0.30675410887836096,Nc,1
路障,0.30675410887836096,Na,1
山頂,0.29893435973907423,Nc,1
轉角處,0.2631622169165753,Nc,1
碎石子,0.2609055170620046,Na,1
頂嶺,0.2609055170620046,Nc,1
野餐,0.25479029093544375,VA,1
嶺頂,0.22875894055946855,Nc,1
展覽點,0.2276631968331748,Na,1
燒窯,0.2276631968331748,Na,1
抹茶山,0.22575156108714178,Nc,1
霧霾,0.22575156108714178,Na,1
哨所,0.21351555906095082,Na,1
山海,0.21351555906095082,Nb,1
高地,0.21351555906095082,Na,1
鋪面,0.21147475957227738,Na,1
平地,0.21147475957227738,Na,1
山景,0.20054531879877624,Na,1
苗栗國,0.20054531879877624,Nc,1
一剎那,0.199659089231277,Na,1
海平面,0.199659089231277,Na,1
至高點,0.199659089231277,Na,1
叉路,0.1995770720467882,Na,1
群山,0.1995770720467882,Na,1
一望無際,0.18703480111900606,VH,1
熱點,0.18703480111900606,Na,1
芬多精,0.18703480111900606,Na,1
好奇心,0.18692630997155746,Na,1
小女子,0.18692630997155746,Na,1
空拍機,0.17868030510391783,Na,1
單車,0.162466449193144,Na,1
路跡,0.162466449193144,Na,1
單線道,0.162466449193144,Na,1
通霄人,0.15481136965372852,Nc,1
爬山,0.15481136965372852,VA,1
榮景,0.15481136965372852,Na,1
圖像,0.11114609844341937,Na,1
老妹,0.11114609844341937,Na,1
