words,tfidf,pos,freq
森林浴,2.5326490587879413,Na,4
步道,1.8573409501294873,Na,7
清新,1.6237851921277007,VH,3
老少咸宜,1.0,VH,1
涼爽,0.777481784842546,VH,2
林場,0.7168327671436922,Nc,4
自然,0.7164772457992654,VH,2
吊椅,0.639873221266608,Na,1
散步,0.6237692918665174,VA,1
小初山,0.5773502691896257,Nb,1
療癒,0.5292478356172562,VC,1
森林,0.5006488544501271,Na,6
芬多精,0.46305480867199905,Na,1
原始,0.46305480867199905,VH,1
大汗,0.4425418608116071,Na,1
登山,0.4425418608116071,VA,1
松針,0.2712634072831598,Na,1
藝術,0.2712634072831598,Na,1
黃昏,0.234163500081337,Nd,1
藍腹鷴,0.234163500081337,Na,1
生態,0.20344689182330625,Na,1
餐館,0.20344689182330625,Nc,1
臥室,0.20344689182330625,Nc,1
紀念品,0.20344689182330625,Na,1
松林,0.20344689182330625,Na,1
櫻花園,0.20344689182330625,Nc,1
楓葉排,0.20344689182330625,Na,1
商店,0.20344689182330625,Nc,1
實驗,0.18993703250652497,Na,1
林木,0.18993703250652497,Na,1
