words,tfidf,pos,freq
拍照,14.846476670983506,VB,78
庭園,7.4388812510948314,Na,40
文化,5.35343501565278,Na,38
散步,5.315090965253721,VA,20
植物,4.14234328906295,Na,22
古厝,4.085834813641567,Na,23
成美,4.006340858179323,Nc,39
落羽松,3.978617861295617,Na,18
花園,3.8094820234758804,Nc,16
魏家,3.753672837990671,Nc,20
日式,3.7468240559244737,A,18
歷史,3.654794015455511,Na,19
日本,3.5578458295038766,Nc,14
古色古香,3.4345643480505155,VH,10
庭院,3.35984784777966,Na,12
園藝,2.9978385159052667,Na,10
導覽,2.8523929207445304,VC,16
松柏軒,2.6605952133437105,Nc,9
公園,2.6147149271049663,Nc,10
彰化,2.304916618746185,Nc,19
花草,2.27300724514236,Na,10
花季,2.2502828771767183,Nd,11
古蹟,2.2163294193452234,Na,9
傳統,2.1045139181257584,VH,13
悠閒,1.9158458671602447,VH,6
文化園,1.6879822630357042,Nc,9
松柏,1.6799721934204102,Na,13
體驗,1.5895371763692692,VC,8
小編,1.487898214017966,Na,3
愜意,1.4746185613220308,VH,4
鳴海,1.4303798160023167,Nc,2
公堂,1.3564143322179656,Nc,8
集團,1.3406303250893212,Na,6
三合院,1.3403807823204232,Nc,5
紫薇,1.3256292912594252,Na,16
步道,1.3249437226537588,Na,7
祖厝,1.299432551358071,Na,4
老厝,1.28394266705055,Na,3
文物,1.280654120854776,Na,4
人文,1.1932446307444615,Na,5
踏青,1.1629632596434023,VA,3
浪漫,1.093983033594226,VH,7
花樹,1.0925325371450987,Na,4
花盆,1.0,Na,1
植物園區,1.0,Na,1
景觀樹,1.0,Na,1
抵用券,0.9711800792308982,Na,4
拍攝,0.9625219475854956,VC,5
伴手禮,0.9514313675665114,Na,3
落雨松,0.9342091596171135,Na,4
高水準,0.9267285342033558,Na,1
紫薇花,0.9213519522500844,Na,8
花賞,0.8995642260926566,Na,1
冰淇淋,0.8648773780221471,Na,3
綠意盎然,0.8641204464292653,VH,4
古物,0.8577647934646422,Na,3
松樹,0.8509606461899877,Na,4
紀念,0.8239410542017832,VJ,2
紫藤花,0.820070953960162,Na,5
有錢人,0.8017775503509899,Na,1
閩客,0.752510952167015,Nc,3
朝聖,0.7441282201590019,VA,1
放電,0.7226520563037949,VA,1
復古,0.6525398155758291,VHC,1
亭園,0.6499142663097823,Na,1
中式,0.6436744855615186,A,3
紫藤,0.6383480616583683,Na,8
差額,0.6164734383467065,Na,3
閩式,0.6142981368590457,Na,2
成本,0.6051437189258762,Na,4
園林,0.6030483806578284,Na,4
老屋,0.5966503266081598,Na,2
永靖鄉,0.5905813118460456,Nc,4
漢服,0.5873418960086313,Na,2
左丹妮絲,0.5850370293155351,Nb,1
老公,0.5815916270673375,Na,1
魏厝,0.5789730598135729,Nc,1
古典,0.5740502532366638,VH,1
文學,0.5740502532366638,Na,1
長期,0.573106984930028,Na,1
果樹,0.5723392256676111,Na,2
模式感,0.5672343254185817,Na,1
遺產,0.5639461267119312,Na,1
客家人,0.5501700456099188,Na,2
玉蘭花,0.5441630544121022,Na,2
永靖,0.5405294726459386,Nb,9
購物,0.5350271102843679,VA,2
林木,0.5331292913256028,Na,1
植物園林,0.5286181087707729,Na,1
東西園,0.5281836539383354,Nc,1
藝術,0.520135889370977,Na,2
四合院,0.517218683501432,Na,1
品項,0.5130452502774352,Na,2
櫻花雨,0.5123800241832157,Na,1
盤子,0.5041686162761285,Na,1
療癒,0.5006286916891541,VC,3
客家,0.4998708156625195,Na,7
花花草草,0.4957240891961692,Na,2
佳珍,0.49075629080164657,Nb,1
祖先,0.4796011471296955,Na,2
值回票價,0.47950163174260774,VH,2
冰塊,0.4778580319207194,Na,2
林園,0.47745345943708956,Nc,2
谷香,0.47708332026547123,Nb,1
谷色,0.47708332026547123,Na,1
歐洲,0.46921431130298624,Nc,1
額度,0.4684655287234802,Na,1
瀑布,0.4661156887659219,Na,3
在來,0.466066808378996,Na,1
舒適度,0.4659735739505714,Na,1
慈濟,0.45938077183880033,Nb,3
神木,0.45773218780924024,Na,1
黑松,0.45201042378939665,Nb,2
洋裝,0.4409863614160965,Na,2
彰化縣,0.4394441190338055,Nc,3
女性,0.43372717572198816,Na,2
優惠票,0.43287110765712955,Na,2
冰品,0.4285898344779855,Na,1
拍照點,0.4278810567218946,Na,1
和園,0.42478153236169014,Nc,3
閩南,0.4245605957878846,Nc,2
森林,0.42393415964435666,Na,2
畫園,0.423801537317427,Nc,1
企鵝妹,0.4170387311607244,Na,1
公關,0.4170387311607244,Na,1
魏氏,0.41684477169502687,Nb,3
後代,0.4151612928429219,Na,2
優待票,0.41366775689436464,Na,2
老房,0.40880812368318986,Na,1
乘涼區,0.40712787436201564,Nc,1
座位數,0.40712787436201564,Na,1
松方,0.4071050604710375,Nb,1
田尾,0.4047879196450166,Nc,2
停車區,0.4046926636592284,Nc,1
諾大,0.4046926636592284,Nc,1
魏成美堂,0.4010028385935653,Nb,2
中國風,0.40086003852320023,Na,1
許願藤,0.3965934090625445,Na,2
票務,0.3945553996321081,Na,1
魏應充,0.39399507821363133,Nb,2
植栽園,0.38758390002324383,Nc,1
晚餐,0.38758390002324383,Na,1
古宅,0.3866740059459269,Na,4
茶水間,0.3835671591803507,Na,1
自然,0.38356352960881784,VH,5
婚紗照,0.3825117196980792,Na,3
少女心,0.38172917628779474,Na,1
硬件,0.38133844877335493,Na,1
軟件,0.38133844877335493,Na,1
樹種,0.38037759036827473,Na,1
日式風,0.38025287793716883,Na,1
金魚,0.3734916398024812,Na,1
池塘,0.3734916398024812,Nc,1
草坪,0.3734916398024812,Na,1
紫檀,0.36813148429416465,Na,2
祠堂,0.36160558414778654,Nc,2
協調性,0.3611225097237733,Na,1
夜景,0.35797159501084264,Na,1
記憶體,0.3511237424025533,Na,1
怪石,0.35079542653095264,Na,1
古代,0.35055650440357994,Nd,1
幽靜,0.3474381353520119,VH,1
大戶人家,0.34163282801708383,Na,1
淵源,0.3401179139364173,Na,1
皋月,0.34011379515258344,Nb,1
杜鵑,0.34011379515258344,Na,1
花傘,0.335035023039922,Na,2
