words,tfidf,pos,freq
夜景,12.512949726578123,Na,30
台北,1.4265661592692491,Nc,7
台北市,1.2567392971297315,Nc,2
香腸攤,1.2421630314850143,Nc,3
校園,1.0973553489109589,Nc,3
日落,1.0,VA,1
遼闊,0.8955789948531068,VH,2
竹炭味,0.7905499585150366,Na,1
夕陽,0.7905499585150366,Na,1
熱鬧,0.7071067811865475,VH,1
夕照,0.7071067811865475,Na,1
浪漫,0.6401901322785741,VH,1
文化,0.6012571502487354,Na,1
熱戀期,0.5505317327599768,Na,1
台妹,0.5152877413255519,Na,1
車禍,0.5090231215877978,Na,1
美軍,0.4951505586637326,Na,2
黃昏,0.4752124751494969,Nd,1
天然,0.413531819593861,A,1
長廊,0.4131157171305981,Nc,1
約會,0.4104785571547884,VB,1
騎車,0.38079502790992664,VA,1
青年人,0.31635634643845045,Na,1
骰子,0.30714641737896736,Na,1
碰撞聲,0.30714641737896736,Na,1
山腳,0.2749629453316867,Nc,1
俱樂部,0.2566318398708169,Nc,1
熙熙果,0.2566318398708169,Na,1
陽明山,0.2468089717114732,Nc,1
高樓,0.2468089717114732,Na,1
乘客,0.16798353615589287,Na,1
小黃,0.16798353615589287,Nb,1
計程車,0.16798353615589287,Na,1
