words,tfidf,pos,freq
放電,22.19114924066811,VA,67
公園,21.315515376470614,Nc,145
溜滑梯,14.166957382997332,VA,68
野餐,11.629959552556933,VA,49
遊樂,11.084838776577076,VA,62
散步,8.122447844587091,VA,35
放風,5.362128796209607,VA,13
新北,4.851256312790777,Nc,47
大都會,4.605293994394069,Nc,31
腳踏車,4.171562861594186,Na,16
水樂園,3.83142007761675,Nc,16
玩水,3.7959522394539866,VA,14
遛小孩,3.3963482232653353,VA,9
燈會,3.079749129402808,Na,13
草地,3.0540080687119966,Nc,13
滑梯,2.6887487400915173,Na,78
騎車,2.2000081284790043,VA,5
新北市,2.191014774931442,Nc,16
遊樂場,2.1775404525535,Nc,11
滑草,2.0797576136179434,VH,12
遼闊,1.98261073042319,VH,6
市集,1.7275518337532874,Na,7
三重站,1.6746863537736378,Nc,7
疏洪道,1.6720288971009092,Na,9
浪漫,1.53708255724799,VH,3
音樂祭,1.531759841213797,Na,3
自行車,1.3492400328317764,Na,8
拍照,1.2990416746463513,VB,7
遊具,1.2724717466246591,Na,6
單車,1.242945389135237,Na,3
消暑,1.195250421675675,VA,2
草皮,1.1801411419945442,Na,4
悠閒,1.1047727310049544,VH,6
夕陽,1.094724796386152,Na,4
市場,1.0719981436261539,Nc,2
郊遊,1.062545641612376,VA,2
攤位,1.0500321155244687,Na,4
體驗,1.0414791953793152,VC,5
戲水區,1.00204287982561,Nc,5
乞丐,1.0,Na,1
滑草區,0.9612337655520583,Nc,3
花海,0.930931280455547,Na,4
放風箏,0.9144442973640958,VA,2
夜景,0.9098772534378801,Na,2
幅員,0.8916867175752131,Na,2
熱鬧,0.8868819018628352,VH,3
辰光橋,0.8689521685757968,Nc,5
遮蔽處,0.8649771215892414,Nc,2
約會,0.859639515502554,VB,2
空拍,0.8564195430789198,Na,1
三重,0.8553493441866222,Nc,14
大安,0.8301285746087244,Nc,4
森林,0.8301285746087244,Na,4
攀爬,0.79163628132613,VC,5
藝術,0.7875957195034117,Na,12
爸媽,0.7798500957799661,Na,2
磨石子,0.7616266348433809,Na,1
音樂節,0.7412083844829185,Nd,1
健走,0.7108991879927868,VA,3
植物,0.6889093250531048,Na,4
親水區,0.6836211025720784,Nc,2
惡魔,0.6644186276251809,Na,1
豆腐渣,0.6606300316377898,Na,1
盜賊,0.6580053609955053,Na,1
屁孩,0.6574063784246608,Na,1
步道,0.6486759725742337,Na,2
秩序,0.6401777075747543,Na,3
愜意,0.6370420729131184,VH,4
攤販,0.6334887854923892,Na,3
二重,0.6244974622651509,Nc,7
踏青,0.613281129334111,VA,1
文創,0.6099331959437392,Na,2
河濱,0.6028444844846321,Nc,4
外縣市,0.5898212010429367,Nc,2
成年人,0.5804022858886185,Na,2
方便橋,0.5773502691896257,Nc,1
野餐棒,0.5773502691896257,Na,1
生態,0.5767376435239551,Na,13
台北,0.5507203302183126,Nc,9
警察局,0.5303460747977404,Nc,1
錢包,0.5303460747977404,Na,1
新加坡,0.5238842083429995,Nc,1
河流,0.5233923846412599,Na,1
堤坡,0.5200952165725148,Na,3
森樂園,0.5179538403767528,Nc,5
熊猴,0.5179538403767528,Na,6
攀爬架,0.5158369841125392,Na,2
官商,0.5145234776336903,Na,1
計程車,0.5119999225698764,Na,1
兔子,0.5098943073889994,Na,2
音樂會,0.5063752713803548,Na,2
管子,0.500898926623186,Na,1
年齡段,0.4917361291753844,Na,2
老少咸宜,0.49107067877333754,VH,1
