words,tfidf,pos,freq
散步,2.330032930171713,VA,10
公園,1.6174991114965716,Nc,10
草地,0.8157075727918364,Nc,2
綠園道,0.6528575240995872,Nc,4
新竹,0.49597254661753454,Nc,3
東大路,0.4020694762547774,Nc,3
藝術,0.379832441334246,Na,3
鄉間,0.37796447300922725,Nc,1
小道,0.37796447300922725,Na,1
鸚鵡,0.3518664798240582,Na,1
妻子,0.3518664798240582,Na,1
丈夫,0.3518664798240582,Na,1
健走,0.3299114273742511,VA,1
文化,0.31041482636820555,Na,2
經國路,0.3099635428358852,Nc,2
悠閒,0.28772650791535376,VH,2
姿色,0.2689156465845041,Na,1
樹梢,0.2689156465845041,Nc,1
綠茵,0.2270469297514011,Na,1
線形,0.18493801280768035,Na,1
子女,0.18493801280768035,Na,1
台一線,0.18493801280768035,Nc,1
遊樂,0.15520741318410278,VA,1
中隊,0.15520741318410278,Nc,1
文物館,0.15520741318410278,Nc,1
民主路口,0.15520741318410278,Nc,1
民權路,0.15520741318410278,Nc,1
車流,0.15520741318410278,Na,1
光橋,0.13080510558806688,Nc,1
現代感,0.13080510558806688,Na,1
曲幽,0.13080510558806688,Nb,1
浪漫,0.13080510558806688,VH,1
休閒風,0.13080510558806688,Na,1
攀爬,0.13080510558806688,VC,1
男女,0.13080510558806688,Na,1
