words,tfidf,pos,freq
散步,1.0390646704226814,VA,2
青山綠水,0.7716488535479212,Na,1
大自然,0.7508501278798951,Nc,4
生態,0.5770078916742903,Na,5
蝴蝶,0.5584687407926068,Na,2
自然,0.5398989806434952,VH,6
公園,0.48164459585361385,Nc,3
幽靜,0.42374479187837266,VH,2
烤肉區,0.40131382085760775,Nc,3
清幽,0.39643547932542544,VH,2
拍照,0.3445223305895678,VB,1
用具,0.33270571552891515,Na,2
涼爽,0.3310198586222738,VH,2
浮生,0.3188023753914359,Na,1
步道,0.30698288122697204,Na,2
壽山路,0.30412817647629553,Nc,2
大坑裡,0.2797951623190354,Nc,1
河床,0.2797951623190354,Na,1
蜻蜓,0.27730424592117636,Na,1
狗群,0.2706570848544951,Na,2
新莊,0.22984439899867987,Nc,1
烤肉爐架,0.22984439899867987,Na,1
嵐風,0.22796539114551798,Na,1
名單,0.22796539114551798,Na,1
溪流,0.22796539114551798,Na,1
蜂鳥,0.22796539114551798,Na,1
野菊,0.22796539114551798,Na,1
口袋,0.22796539114551798,Na,1
邊邊,0.22779277457861294,Nc,1
遛小孩,0.22779277457861294,VA,1
溜滑梯,0.22779277457861294,VA,1
原住民,0.19466661465921037,Na,2
監視器,0.1873673603226768,Na,1
溪水,0.1736393992702105,Na,1
蝌蚪,0.1736393992702105,Na,1
石碑,0.16533316104348958,Na,1
水井,0.16533316104348958,Na,1
石門,0.16533316104348958,Nc,1
生態池,0.16533316104348958,Na,1
水道頭,0.16533316104348958,Nc,1
水庫,0.16533316104348958,Na,1
水道記,0.16533316104348958,Na,1
建成,0.16533316104348958,Nb,1
商店,0.16533316104348958,Nc,1
一二號,0.16533316104348958,Nc,1
坑頭,0.16533316104348958,Nc,1
踏青,0.16533316104348958,VA,1
烤肉架,0.15349144061348602,Na,1
石椅,0.15349144061348602,Na,1
石桌,0.15349144061348602,Na,1
廢油氣,0.15349144061348602,Na,1
悠閒,0.15349144061348602,VH,1
地步,0.14097986835633164,Na,1
攝影機,0.14097986835633164,Na,1
檳榔攤,0.14097986835633164,Nc,1
水源物,0.14097986835633164,Na,1
襯衫,0.14097986835633164,Na,1
轎車,0.14097986835633164,Na,1
民家,0.13532854242724754,Na,1
藻類,0.13532854242724754,Na,1
健行,0.13532854242724754,VA,1
優點,0.13532854242724754,Na,1
刁民,0.09733330732960518,Na,1
噪音,0.09733330732960518,Na,1
牌子,0.09733330732960518,Na,1
長期,0.09733330732960518,Na,1
