words,tfidf,pos,freq
夕陽,2.981308689217971,Na,8
散步,1.8233355247536955,VA,4
沙灘,1.4381623506903087,Na,4
自行車道,1.0898533427386807,Na,5
生態,0.7391387109017791,Na,1
海風,0.7288877774092501,Na,2
海岸線,0.7106654802436938,Na,2
騎車,0.6788963399175398,VA,1
文化,0.6521053801602845,Na,2
寧靜,0.5109488602265194,VH,1
致遠,0.5109488602265194,Nb,1
紅毛港,0.4848282318505184,Nc,4
觀海,0.4688051375116662,VA,1
步道,0.4688051375116662,Na,1
老少皆宜,0.4508492433560583,Na,1
踏青,0.4253023187186192,VA,1
海景,0.418134463027893,Na,1
新竹,0.418134463027893,Nc,1
新豐,0.4159343083457627,Nc,2
消暑,0.3795603105468205,VA,1
漲潮期,0.3777268503661116,Na,1
螃蟹,0.3777268503661116,Na,1
南美,0.32901541525359546,Nc,1
日落,0.32901541525359546,VA,1
新屋,0.3231366084609696,Nc,1
趣味,0.3231366084609696,Na,1
隧道,0.3231366084609696,Na,1
永安,0.3231366084609696,Nc,1
荷蘭,0.1212070579626296,Nc,2
福爾摩沙,0.1212070579626296,Nc,1
竹塹,0.1212070579626296,Na,1
維基百科,0.1212070579626296,Nb,1
舊港,0.1212070579626296,Nc,1
船難,0.1212070579626296,Na,1
許厝港,0.1212070579626296,Nc,1
荷蘭人,0.1212070579626296,Na,1
雄市,0.1212070579626296,Nc,1
環淡,0.1212070579626296,Na,1
雞籠,0.1212070579626296,Na,1
香山港,0.1212070579626296,Nc,1
相錯,0.1212070579626296,Na,1
匪船,0.1212070579626296,Na,1
狗隻,0.1212070579626296,Na,1
器物,0.1212070579626296,Na,1
來源,0.1212070579626296,Na,1
化局,0.1212070579626296,Nc,1
滬尾港,0.1212070579626296,Nc,1
南嵌港,0.1212070579626296,Nc,1
匪艇,0.1212070579626296,Na,1
洋船,0.1212070579626296,Na,1
海難,0.1212070579626296,Na,1
淡水廳,0.1212070579626296,Nc,2
淡水廳志,0.1212070579626296,Nb,1
港門,0.1212070579626296,Nc,1
攤販,0.09692742456214071,Na,1
木麻黃樹,0.09692742456214071,Na,1
池和宮,0.09692742456214071,Nc,1
海濱路,0.09692742456214071,Nc,1
潮汐表,0.09692742456214071,Na,1
遮陰處,0.09692742456214071,Nc,1
