words,tfidf,pos,freq
糖廠,7.956373327427445,Nc,58
紅豆,6.015181727634808,Na,31
酵母,4.68701661661898,Na,23
冰品,4.548863848417136,Na,24
旗山,3.8724132540061698,Nc,27
冰淇淋,3.7256014158154134,Na,14
酵母冰,2.9187474045576374,Na,7
旗尾山,2.0277051496350706,Nc,6
散步,1.7663532562925188,VA,7
懷舊,1.5642518568087926,VH,3
悠閒,1.564155418054542,VH,3
消暑,1.4748472111153452,VA,4
表演,1.1963456623986906,VC,4
清幽,1.0513701959884718,VH,2
爬山,1.0113382567553624,VA,2
市集,0.9893272718716348,Na,2
懷念,0.957293005351022,VJ,2
糖場,0.9384622524541276,Nc,2
攤販,0.9253792416363082,Na,4
古蹟,0.8926905028435907,Na,3
紅豆冰,0.8321516666166721,Na,2
化學,0.8276249048190593,Na,2
旗尾,0.7109836620471535,Nc,12
農創,0.7088742999823676,Na,3
零嘴,0.6829194452520937,Na,1
商店,0.6811391823547617,Nc,7
拍照,0.6218189831275848,VB,2
美濃,0.6215929812792858,Nc,4
公式,0.5773502691896258,Na,1
紅豆清,0.5634756334903571,Na,1
涼爽,0.557600125908556,VH,2
ubike,0.5314927922814687,FW,0
木棍,0.5230857460014349,Na,1
化學味,0.5230857460014349,Na,1
登山口,0.5173437507456932,Nc,2
步道,0.5083033419116341,Na,1
廠區,0.507757195220018,Nc,4
古早味,0.4946065388744969,Na,1
旗美,0.49091192903144343,Nb,4
酵母粉,0.48866577629428104,Na,1
放風,0.478401720967429,VA,1
商店街,0.4768401594535805,Nc,4
旗糖,0.471726893988919,Nc,2
紅豆湯,0.443307902481726,Na,1
傳統,0.443307902481726,VH,1
香蕉味,0.43874894168624856,Na,1
熱鬧,0.42735377596902635,VH,2
紙風車,0.42294458643820865,Na,1
童樂,0.42294458643820865,Na,1
劇團,0.42294458643820865,Na,1
高雄,0.4137118868111851,Nc,4
支仔冰,0.41246631758057273,Na,1
工藝,0.3870582942863885,Na,2
山友,0.3860402257328573,Na,1
起始點,0.3860402257328573,Na,1
廣告,0.358167069771233,Na,2
冰琪琳,0.3527012873998307,Nb,1
週遭,0.3479428786960612,Nc,1
發票,0.344157021957627,Na,3
冰清,0.338017831938271,Nb,1
體驗,0.3357598687544844,VC,1
植物,0.3357598687544844,Na,1
丸子,0.3357598687544844,Na,1
糖業,0.33137597497431215,Na,3
歷史,0.3218256728638916,Na,3
包廂,0.31113092126109626,Na,1
火鍋店,0.31113092126109626,Nc,1
懷古園,0.31113092126109626,Nc,1
木雕,0.31113092126109626,Na,1
旅館,0.3101741965441695,Nc,2
商家,0.30538935193601774,Na,2
過年,0.3034589142027044,VA,1
評語,0.29694423881300186,Na,1
消批宴,0.29694423881300186,Na,1
林正男,0.29694423881300186,Nb,1
小便宜,0.29694423881300186,Na,1
紅豆餅,0.2949187172360188,Na,1
容器,0.2940736882551045,Na,1
公園,0.2790326980999842,Nc,2
脆片,0.2729605092390657,Na,1
米麩,0.2729605092390657,Na,1
健素糖,0.2729605092390657,Nb,1
糖廠村,0.266059074834094,Nc,2
農特產,0.26450952986046716,Na,1
休憩區,0.26450952986046716,Nc,1
高砂,0.25887433320484954,Nb,2
製糖所,0.25887433320484954,Nc,2
鹽水港,0.25887433320484954,Nc,2
岐山,0.2471781501233207,Nc,2
橋頭,0.2471781501233207,Nc,2
舊址,0.2471781501233207,Nc,2
土地人,0.24602162364829183,Na,1
肝糖,0.2452360382179202,Na,1
旗靈,0.2452360382179202,Na,1
黑輪,0.2401298285126955,Na,1
火鍋,0.2401298285126955,Na,2
六龜,0.23764534234224705,Nc,2
茂林,0.23764534234224705,Nb,2
旗山區,0.232517679368816,Nc,2
高雄市,0.232517679368816,Nc,2
載具,0.229438014638418,Na,2
農民,0.2247595057362739,Na,1
農業,0.2247595057362739,Na,1
草地,0.21648503021329615,Nc,1
山城,0.21609000199050737,Na,3
柑仔店,0.21525089432781175,Nc,1
薩克斯風,0.21525089432781175,Na,1
黑蘿蔔乾,0.21525089432781175,Na,1
騎車,0.2149774316591805,VA,1
文化,0.21192765523826773,Na,2
冰店,0.2000963574591315,Nc,1
喜宴,0.2000963574591315,Na,1
地方性,0.2000963574591315,Na,1
枝仔冰,0.19552519448959277,Na,1
人客,0.19312460537955037,Na,1
話題,0.19312460537955037,Na,1
小吃部,0.19312460537955037,Na,1
教學,0.19011896372459997,VA,1
中段,0.19011896372459997,Na,1
香氣,0.1806051506691369,Na,1
登山客,0.14997476578134855,Na,1
半途,0.14624759761578573,Nc,1
情景,0.14624759761578573,Na,1
模樣,0.14624759761578573,Na,1
旗山橋,0.14406000132700492,Nc,2
祕境,0.14378083277913456,Nc,1
企劃,0.14378083277913456,Na,1
手作,0.14378083277913456,Na,1
整體性,0.14378083277913456,Na,1
花台,0.14359994019904704,Na,1
生机,0.14359994019904704,Na,1
工法,0.14359994019904704,Na,1
原則,0.14359994019904704,Na,1
九重葛,0.14359994019904704,Na,1
自然,0.14359994019904704,VH,1
花草,0.14359994019904704,Na,1
音樂會,0.1432662763810454,Na,1
糖廠里,0.1432662763810454,Nc,1
蒸氣,0.1432662763810454,Na,1
前身為,0.1432662763810454,Na,1
忠孝街,0.1432662763810454,Nc,1
甘蔗量,0.1432662763810454,Na,1
東九道,0.13421489048232338,Nc,1
文創業,0.13421489048232338,Na,1
寧靜,0.13421489048232338,VH,1
簡史,0.133029537417047,Na,1
導覽,0.133029537417047,VC,1
午飯,0.12358907506166035,Na,1
石窯,0.12358907506166035,Na,1
磁山,0.12358907506166035,Nc,2
磁山站,0.12358907506166035,Nc,1
老太太,0.12358907506166035,Na,1
車程,0.12358907506166035,Na,1
結帳室,0.114719007319209,Nc,1
____________________________,0.114719007319209,Nb,1
保麗龍盒,0.114719007319209,Na,1
老街,0.10596382761913387,Nc,1
藝術,0.10596382761913387,Na,1
禮修,0.10596382761913387,Na,1
西式,0.10596382761913387,A,1
悠久,0.10596382761913387,VH,1
觀光業,0.07203000066350246,Na,1
太陽光,0.07203000066350246,Na,1
楠梓仙溪,0.07203000066350246,Nc,1
如來,0.07203000066350246,Nb,1
遊園,0.07203000066350246,VA,1
功用,0.07203000066350246,Na,1
六龜甲仙茂林,0.07203000066350246,Nc,1
清新,0.07203000066350246,VH,1
遊興,0.07203000066350246,Na,1
