words,tfidf,pos,freq
太麻里,6.562994541418237,Nc,23
遼闊,3.3871358466889983,VH,6
海景,2.602258219848733,Na,7
觀景台,2.1101175261453684,Nc,6
日出,2.0938992910404703,VA,6
金針山,1.9992392060274742,Nc,7
綠島,1.7699226498536167,Nc,3
釋迦,1.5073655495262241,Nb,7
海岸線,1.4809762038162853,Na,5
平台,1.3161712823585496,Na,5
日昇台,1.2423480971703835,Nc,6
拍照,1.0094818542808255,VB,4
登高,0.9425305162833245,VA,2
海岸,0.8864804341266079,Nc,7
景觀點,0.862850767303467,Na,1
商店,0.8562304274567004,Nc,3
椰子水,0.766647727645003,Na,3
阿軒,0.7071067811865475,Nb,1
湘南,0.6864021615922253,Nc,1
椰子汁,0.6274034767296018,Na,2
台東,0.6245803384699132,Nc,2
身清氣爽,0.591369664387121,Na,1
視角,0.5672762587266075,Na,1
秘億,0.5469167747990218,Nb,1
新佳崙,0.5180082861547388,Nc,1
產業道路,0.5180082861547388,Na,1
蘭嶼,0.5152877413255519,Nc,1
海灣,0.5090231215877978,Na,1
眼野,0.5090231215877978,Na,1
華源,0.5090231215877978,Nb,1
台東縣,0.4596511080327319,Nc,1
高點,0.4596511080327319,Na,1
日落,0.4316824954003359,VA,1
觀海,0.4316824954003359,VA,1
花季,0.41926587165580964,Nd,1
愜意,0.4023420799682891,VH,1
花海,0.39023333708780655,Na,1
商家,0.3790724903253774,Na,2
時侯,0.37214065386544803,Na,1
目地,0.37212279027548895,Na,1
街區,0.3617966028951622,Nc,1
大自然,0.3611396562948759,Nc,1
太麻里溪,0.3611396562948759,Nc,1
騎車,0.34976184805765026,VA,1
商販,0.3485574554986698,Na,1
山景,0.3485574554986698,Na,1
拍攝,0.34679790849452696,VC,1
夜景,0.34679790849452696,Na,1
椰子,0.3366904666724028,Na,6
涼水店,0.3366904666724028,Nc,1
看板,0.33577315494682386,Na,1
衛星,0.33577315494682386,Na,1
夫妻,0.32630194405605695,Na,1
天際,0.31711166983857825,Nc,1
太麓,0.31711166983857825,Nb,1
心境,0.31711166983857825,Na,1
幽靜,0.31711166983857825,VH,1
消暑,0.3149679419449991,VA,1
馨風臺,0.3149679419449991,Nc,1
商店處,0.3107453111629668,Nc,1
鐵道,0.2790087782887924,Na,2
朝陽,0.26472606756341205,Na,1
果肉,0.26472606756341205,Na,1
正港,0.26472606756341205,Nc,1
祕境,0.26472606756341205,Nc,1
導覽,0.26472606756341205,VC,1
天侯,0.24317996537845304,Na,1
海風,0.22381515755970147,Na,1
海浪,0.18409078433989637,Na,1
道德,0.16378697722576177,Na,1
面包,0.16378697722576177,Na,1
職業,0.16378697722576177,Na,1
太麻里鎮,0.16145038525200153,Nc,1
廣告牌,0.16145038525200153,Na,1
釋迦冰,0.16145038525200153,Nb,1
金針花,0.16145038525200153,Na,1
浪濤聲,0.1395043891443962,Na,1
榕樹,0.1395043891443962,Na,1
過客,0.1395043891443962,Na,1
波麗士,0.1395043891443962,Nb,1
熱鬧,0.1395043891443962,VH,1
廟會,0.1395043891443962,Na,1
峽灣,0.1395043891443962,Na,1
層次,0.1395043891443962,Na,1
雲層,0.1395043891443962,Na,1
