words,tfidf,pos,freq
櫻花,2.7485706407341586,Na,12
公園,2.3605990129660217,Nc,14
步道,2.3510794362184932,Na,10
新埔,1.8657587149039347,Nc,12
散步,1.4791372635434596,VA,5
日本,1.015674451579706,Nc,6
粄條,0.8935357453777635,Na,2
新竹縣,0.7071067811865476,Nc,1
登高,0.6906876096228318,VA,2
新埔鎮,0.6379218146662995,Nc,3
療癒,0.5991046607044477,VC,1
關西,0.5943953651378014,Nc,1
拍照點,0.5943953651378014,Na,1
荒地,0.5530289635114651,Na,1
消食,0.5521202670633358,Na,1
花期,0.5203658573079183,Na,1
土地公,0.5,Nb,1
保佑,0.5,VJ,1
燈籠花,0.49799903021296393,Na,1
自行車,0.4977140875171353,Na,2
櫻花樹,0.4645041225674713,Na,2
妻子,0.4203009933947934,Na,1
新竹,0.4203009933947934,Nc,2
板條,0.41312408644376214,Na,1
騎車,0.39863054579459717,VA,1
健身,0.373458580646604,VA,1
丘陵,0.373458580646604,Na,1
時程,0.3484891322214434,Na,1
健走,0.34109794896938367,VA,1
遺跡,0.34109794896938367,Na,1
完整度,0.31842261405525574,Na,1
連結點,0.31842261405525574,Na,1
茂盛,0.2788273179632593,VH,1
平台,0.2788273179632593,Na,1
樹葉,0.2788273179632593,Na,1
山坡,0.26164459414243463,Na,2
拍照,0.25740116714572264,VB,2
景館台,0.25335893328772346,Nc,1
私宅,0.25335893328772346,Na,1
蛋黃區,0.23529150076740069,Nc,1
山脈,0.23529150076740069,Na,1
力氣,0.23529150076740069,Na,1
花燈巷,0.22945476875874024,Nc,1
高點,0.22945476875874024,Na,1
廢區,0.22757052130849423,Nc,1
叉路,0.16124485520206103,Na,1
柿子,0.16124485520206103,Na,1
農場,0.16124485520206103,Nc,1
住宅區,0.12587669179918273,Nc,1
台文,0.12587669179918273,Na,1
天洋,0.12587669179918273,Nc,1
小宅,0.12587669179918273,Nc,1
岔路口,0.12587669179918273,Na,1
成功街,0.12587669179918273,Nc,1
新浦城,0.12587669179918273,Nc,1
柿餅園,0.12587669179918273,Nc,1
鮮花,0.12587669179918273,Na,1
