words,tfidf,pos,freq
散步,7.3705465098105165,VA,35
公園,3.2036395525779127,Nc,27
拍照,3.0922335969884847,VB,8
悠閒,2.541771866806665,VH,5
糖廠,2.5005123103304046,Nc,20
生態,2.4790432790271937,Na,27
星泉湖,1.989023401976551,Nc,8
夜景,1.9456214086456296,Na,5
生態湖,1.737022000678766,Na,8
帝國,1.6959533644824885,Na,12
步道,1.5283426946480998,Na,9
歷史,1.3866520194406642,Na,6
愜意,1.372286077446145,VH,3
浪漫,1.1809600006752088,VH,2
湖面,1.1142854338670165,Na,8
環湖,1.0558702398449022,A,5
湖畔,1.0280784794106874,Na,3
三井,0.977098075458064,Nb,6
日落,0.9526280250073385,VA,2
自行車道,0.826811693521158,Na,4
運動處,0.7997591275990292,Nc,1
湧泉,0.7865490995575539,Na,7
寧靜,0.7799636879415794,VH,1
釣魚,0.7334342551419928,VA,1
水池,0.7071067811865475,Na,1
涼爽,0.7071067811865475,VH,1
秀泰,0.7044403124236759,Nb,4
夕陽,0.6732261712065053,Na,4
水中,0.6697099548828823,Na,1
自然,0.6372464531500215,VH,5
約會,0.6245803384699132,VB,1
恐懼症,0.5773502691896257,Na,1
機台,0.5773502691896257,Na,1
觀景台,0.568438621040823,Nc,1
湖泊,0.5618074539638125,Na,3
東區,0.5478497206837317,Nc,2
影城,0.534332944914728,Nc,3
湖濱,0.5232135526759342,Nc,6
大魯閣,0.5217110487672885,Nc,2
腳踏車,0.4875307291048355,Na,3
夜鷺,0.4644368606080403,Na,2
市場,0.45632514975422334,Nc,2
自行車,0.4523624555067296,Na,6
悠久,0.4222077624274765,VH,1
新公園,0.4222077624274765,Nc,1
度假,0.4164435394655085,VA,1
攝影點,0.4018320070410453,Na,1
廢氣,0.3948680859606254,Na,1
購物,0.35948380547008696,VA,2
臺中,0.34886400053512506,Nc,6
動植物,0.3421392446535901,Na,1
棲地,0.3421392446535901,Na,1
教材,0.3421392446535901,Na,1
雕塑,0.3409594793175406,Na,1
市景,0.3404783718324646,Na,1
晚餐,0.3404783718324646,Na,1
地下水,0.3374596967921195,Na,2
池塘,0.3341423283473566,Nc,2
mall,0.32750446262991983,FW,2
生態池,0.32192794797897895,Na,2
湖景,0.3202481848375157,Na,2
水裡,0.30721628324516487,Na,1
鳥群,0.30721628324516487,Na,1
台中站,0.3050360464851724,Nc,1
台鐵,0.3050360464851724,Nc,1
窪地,0.30022211995097065,Nc,2
畫作,0.30022211995097065,Na,2
天然,0.30022211995097065,A,2
裡魚,0.2947288838650536,Na,1
新時代,0.2928245263702342,Na,1
文化,0.29195330112077805,Na,1
腳步,0.28948879703732594,Na,1
北漂仔,0.2872216503583933,Nb,1
日明湖,0.27837062191676,Nc,1
優點,0.27682236602532734,Na,1
白鷺,0.2727117311332073,Na,1
高樓,0.26993222196261824,Na,1
樂樂寶,0.26603385091486637,Nb,1
植物,0.26603385091486637,Na,2
遺址,0.26603385091486637,Nc,1
營業所,0.266009359447882,Nc,4
腥味,0.2529626074524777,Na,1
魚隻,0.2529626074524777,Na,1
魚兒,0.2529626074524777,Na,1
缺氧,0.2529626074524777,Na,1
文明,0.2459510406196233,Na,2
商場,0.23301832038490536,Nc,1
遛小孩,0.23301832038490536,VA,1
臭水味,0.22751552124999055,Na,1
閃光,0.22751552124999055,Na,1
水草,0.22034846108213735,Na,2
指輪,0.20771199651389854,Na,2
天光,0.20624762046480197,Na,1
工法,0.20624762046480197,Na,1
水影,0.20624762046480197,Na,1
節氣,0.1876819900754305,Na,1
站前,0.18719055685198532,Nc,1
東光園路,0.18719055685198532,Nc,1
文創,0.18719055685198532,Na,1
地利,0.18719055685198532,Na,1
早市,0.18719055685198532,Nc,1
綠樹,0.18719055685198532,Na,1
綠園道,0.18719055685198532,Nc,1
平台,0.17928831202274934,Na,2
皇糖廠,0.1670711641736783,Nc,1
瞭望塔,0.1670711641736783,Na,1
長廊,0.1670711641736783,Nc,1
工地,0.1670711641736783,Na,1
外縣市,0.16608037135548312,Nc,1
清新,0.16419416531991793,VH,1
休閒感,0.16419416531991793,Na,1
單車,0.16419416531991793,Na,1
海灘,0.16419416531991793,Na,1
熱量,0.16419416531991793,Na,1
細沙,0.16419416531991793,Na,1
綠洲,0.16419416531991793,Na,1
百貨公司,0.16006512352929841,Nc,1
